cell_type,gene,detection_rate,fold_change
Astrocyte,SDC4,0.43047246,33.20618
Astrocyte,MLC1,0.43086648,31.474195
Astrocyte,ETNPPL,0.6202406,30.677277
Astrocyte,PRDM16,0.72168547,29.143515
Astrocyte,GLI3,0.752103,20.237003
Astrocyte,STON2,0.76997876,18.178946
Astrocyte,BMPR1B,0.8559491,9.184823
Astrocyte,ATP1A2,0.89562225,5.4780293
Astrocyte,NKAIN3,0.92966026,3.146699
Astrocyte,ADGRV1,0.9894507,3.096554
Chandelier,NOG,0.27174693,99.928635
Chandelier,LINC00943,0.45378453,29.792826
Chandelier,PVALB,0.52588063,24.207132
Chandelier,NPNT,0.7635822,21.86087
Chandelier,CA8,0.9020746,6.1830945
Chandelier,ANK1,0.9359146,4.907256
Chandelier,MYO16,0.97170585,3.687264
Chandelier,ZNF804A,0.97617334,2.4905553
Chandelier,ZNF385D,0.99465954,2.4648876
Endothelial,CLDN5,0.6066881,112.11716
Endothelial,MECOM,0.6722624,18.628172
Endothelial,FLT1,0.72131747,17.57266
Endothelial,UTRN,0.74805653,2.1567078
L2/3 IT,CNGB1,0.34995514,24.16454
L2/3 IT,LINC00507,0.7205783,20.514462
L2/3 IT,TESPA1,0.8875249,8.180809
L2/3 IT,CUX2,0.95177054,6.810534
L2/3 IT,CBLN2,0.95801246,5.534826
L2/3 IT,SV2B,0.9594143,3.2369547
L2/3 IT,LINC01250,0.96019125,3.221897
L2/3 IT,RGS6,0.98669827,2.6705976
L2/3 IT,LDB2,0.99233454,2.310495
L2/3 IT,CHRM3,0.9928582,2.1660461
L2/3 IT,HS6ST3,0.99712396,2.036395
L4 IT,CCDC168,0.27540788,15.785226
L4 IT,TWIST2,0.3027933,14.435574
L4 IT,VIPR2,0.4946687,8.12175
L4 IT,COBLL1,0.74263936,6.6844006
L4 IT,FOXP2,0.9362906,4.91634
L4 IT,RORB,0.9735913,3.3115664
L4 IT,POU6F2,0.97439045,2.9993172
L5 ET,ABCB11,0.2778865,28.665438
L5 ET,CACNA1H,0.42298016,18.73155
L5 ET,ATP10A,0.6013419,12.437992
L5 ET,RBM20,0.62845963,10.656457
L5 ET,CHST8,0.6715125,9.00739
L5 ET,CCBE1,0.69946885,5.539627
L5 ET,HS3ST2,0.7967571,4.698295
L5 ET,BCL11B,0.83729386,4.129159
