cell_type,gene,mean,pct,scaled_mean
Sst_23,SST,0.6253178119659424,0.45436016887465425,0.18506082627449916
Sst_23,CALB1,0.5810455083847046,0.4856602125491338,0.637173732606434
Sst_23,GAD1,1.335381269454956,0.8274858057941477,0.39604188038844346
Sst_23,GAD2,0.6583444476127625,0.5315184160722085,0.32463929702241345
Sst_23,SLC32A1,0.12702533602714539,0.14878439365264232,0.2701664841186809
Sst_23,SEMA3D,0.34255075454711914,0.3026641432522929,1.0
Sst_23,SNTG2,0.5459567904472351,0.3970010190711894,1.0
Sst_23,HTR2C,0.99448162317276,0.5520454214587276,0.880689847794794
Sst_23,FREM2,0.0859215185046196,0.07264521764448974,0.2740287722895083
Sst_23,MSR1,0.91413813829422,0.44664434415489884,0.7316052038504571
Sst_23,ANOS1,0.9377689957618713,0.6543892851943515,0.9898920694304871
Sst_23,ADAMTSL1,0.6070228219032288,0.3277041781918765,0.27310294777774746
Sst_23,ITPR2,0.4510066509246826,0.32886883097976416,0.24624007085999686
Sst_23,EYA2,0.15058773756027222,0.11835783956907847,0.10175304006449537
Sst_23,SYNDIG1,0.3289461135864258,0.2659775804338332,0.209492501838974
Sst_23,MME,0.35547682642936707,0.30455670403261026,0.47955829702490516
Sst_23,TAC1,0.1991618573665619,0.16669093026641432,0.1501626873691199
Sst_23,PLPP4,0.10705962032079697,0.11355364681904208,0.36038983617086706
Sst_23,HPSE2,0.31581491231918335,0.22346775367593535,0.2550017324599183
Sst_23,SEMA6D,1.2378134727478027,0.7204833309069734,0.9080896473424599
Sst_23,TRPC7,0.05927460640668869,0.05488426262920367,0.16985941834659826
Sst_23,ADGRG6,0.006101209670305252,0.006551171931867812,0.0013986378858929357
Sst_23,PROM1,0.01684698835015297,0.017615373416800115,0.0
Sst_23,STK32A,0.04107652232050896,0.048187509098849904,0.02104164254013409
Sst_23,SYT9,0.033808812499046326,0.042655408356383755,0.00207207956080976
Sst_23,EDNRA,0.013417270965874195,0.015431649439510847,0.002055946814520364
Sst_23,QRFPR,0.008369998075067997,0.008734895909157082,0.006501818691265141
Sst_23,FREM1,0.12742002308368683,0.131751346629786,0.021863364495307826
Sst_23,SGCD,0.19098824262619019,0.1844518852817004,0.012176491544327478
Sst_23,BMP3,0.002828664146363735,0.00320279516669093,0.0018369574201605628
Sst_23,NR2F2,0.011206047609448433,0.014558159848595138,0.01239379720713862
Sst_23,NR2F2-AS1,0.030293455347418785,0.030280972485077887,0.007353844524780782
Sst_23,ALDH1A3,0.012778772972524166,0.01674188382588441,0.04395283734777099
Sst_23,RGS5,0.18255580961704254,0.15853836075120104,0.2339260937538403
Sst_23,GPR149,0.007970382459461689,0.008880477507643035,0.006831018835825561
Sst_23,SAMD3,0.014169877395033836,0.01703304702285631,0.006706890125114437
Sst_23,PRR16,0.06245894357562065,0.06289125054593099,0.021911005616704254
Sst_23,TMEM200A,0.004135745577514172,0.004367447954578541,0.010327890006055385
Sst_23,HCRTR2,0.010769967921078205,0.01383025185616538,0.014507464324135747
Sst_23,LINC00943,0.002566110109910369,0.0030572135682049788,0.0023783606866515958
Sst_23,VCAN,0.08447671681642532,0.08632988790216917,0.059667852270923825
Sst_23,MAML3,0.07021582126617432,0.07380987043237734,0.021772569954218043
Sst_23,TH,0.00041881631477735937,0.00043674479545785413,0.0018379695352026817
Sst_23,WNT16,0.0007040735799819231,0.0008734895909157083,0.00021689915020156717
Sst_23,CPED1,0.01983383297920227,0.02402096375018198,0.024668492498014883
Sst_23,LYPD6,0.007376591209322214,0.007715824719755423,0.0
Sst_23,THSD7B,0.06111222505569458,0.06565730091716407,0.01168604030494355
Sst_25,SST,0.909798264503479,0.6351610095735422,0.5263713296288108
Sst_25,CALB1,0.9052314758300781,0.6998259355961706,1.0
Sst_25,GAD1,1.3216526508331299,0.8392515230635335,0.3783187086849451
