cohort,donors,donors_ok,cells,cells_ok,counts,counts_ok,groups,gene_order_ok,gene_matrix_mismatches,max_abs_diff,per_group_ncells_ok,per_group_ncounts_ok,n_genes,size_mb,md5,status
Batiuk,15,True,11576,True,98377040,True,234,True,0,0.0,True,True,60617,89.9,330e2f69c0c04068a50a7a67047959d4,PASS
HBCC,125,False,26194,True,405055712,True,1743,True,0,0.0,True,True,34890,275.2,7fa626e79e37f0a1bb1738f658fec4e3,FAIL
McLean,32,True,11199,True,100614726,True,459,True,0,0.0,True,True,17658,78.0,a577c9d3d2adf0221ce1befcdde0cb3e,PASS
MSSM1,35,True,1573,True,12835163,True,335,True,0,0.0,True,True,17658,11.6,d114e7fd5a50a84a20d69af7655c2ff6,PASS
MSSM2,181,False,27346,True,396029499,True,2301,True,0,0.0,True,True,34890,279.3,d0ac09dca37b89813b318cc8c4750f43,FAIL
Multiome,11,True,2251,True,17519983,True,154,True,0,0.0,True,True,33822,14.7,cc967caebb77f16bb118c9c81d915ce7,PASS
OFC,61,True,21427,True,94044511,True,919,True,0,0.0,True,True,26191,113.9,30f7e5378d236ea056a303047833f192,PASS
