subclass,beta,se,p,k,I2,Q_p,fdr,dropped
Chandelier,-0.013180947084711257,0.04792456015893042,0.7832890973267208,7,0,0.9419022920245886,0.965193558308686,none
L2/3 IT,-0.07427629266889393,0.05412535617622425,0.1699696839672407,7,0,0.9494005389673396,0.487888977535241,none
L4 IT,-0.019335475355722925,0.04280768150609745,0.65149781536461,7,39.767420943868714,0.1262875643257786,0.9020738981971523,none
L5 ET,0.05540184771799787,0.07452701031829621,0.4572519841022489,7,0,0.4488410638059603,0.7482305194400437,none
L5 IT,-0.006672475169050369,0.03769216284333133,0.8594883348785478,7,0,0.9385417542064535,0.965193558308686,none
L5/6 NP,0.05025512020654336,0.04967721882891448,0.31171350077424725,7,0,0.9881022851205867,0.5610843013936451,none
L6 CT,0.1256064261783023,0.06499996721181817,0.05330922520075935,7,58.42869629896494,0.02515578754197784,0.3198553512045561,none
L6 IT,0.10110940593660783,0.0634254769741935,0.11090356563303032,7,0,0.9141390124123724,0.487888977535241,none
L6 IT Car3,0.06864541248845311,0.05028520055451757,0.17221484010770283,7,43.32146174758257,0.10204517985151976,0.487888977535241,none
L6b,0.14515623248951745,0.07096797386661113,0.040817744931093816,7,0,0.8064818807482087,0.3198553512045561,none
Lamp5,0.0019986175981573755,0.0458007223705126,0.965193558308686,7,0,0.6978339532989987,0.965193558308686,none
Lamp5_Lhx6,-0.0032051065510001323,0.04226262062239089,0.9395480978354616,7,0,0.575356485493912,0.965193558308686,none
Pax6,-0.03204032249481954,0.06305903205094963,0.6113829004384534,7,0,0.938288062727361,0.9020738981971523,none
Pvalb,-0.04939891948532159,0.037684201405631716,0.18990320879655617,7,0,0.4240255527687388,0.487888977535241,none
Sncg,-0.06861336315036057,0.0647533849138262,0.28932185875394156,7,0,0.4379766096552824,0.5610843013936451,none
Sst,-0.16947025883441538,0.048516977615985404,4.776096977695466e-4,7,0,0.4671667902523569,0.008596974559851839,none
Sst Chodl,-0.007460075538712972,0.07244663920194681,0.9179840957781569,7,29.773706658384892,0.20090562511595478,0.965193558308686,none
Vip,-0.055405429360350034,0.04486357834090925,0.21683954557121823,7,0,0.8199308121231723,0.487888977535241,none
Chandelier,-0.007069796808733562,0.04829501215196822,0.8836153193910887,6,0,0.9833292923921948,0.9211393892693353,Batiuk
L2/3 IT,-0.07287838491542442,0.05504652354741055,0.18552242605850686,6,0,0.8983256142125434,0.6678807338106247,Batiuk
L4 IT,-0.014874793085655938,0.043148645326660115,0.730294564237782,6,46.13502594709653,0.09831408762636192,0.8984953485003335,Batiuk
L5 ET,0.051233118122942185,0.07602436587147397,0.500372400218236,6,12.251164761293492,0.336713884851525,0.8187912003571136,Batiuk
L5 IT,-0.012975212157486204,0.03830997371768769,0.7348431339512518,6,0,0.9674923132880601,0.8984953485003335,Batiuk
L5/6 NP,0.04643640669776406,0.05111122341745774,0.3635948937190403,6,0,0.9750913279648886,0.7647989384963412,Batiuk
L6 CT,0.10015475155877694,0.0671987431865538,0.1361122699711681,6,59.03141097493405,0.03209095232250351,0.6678807338106247,Batiuk
L6 IT,0.09230935140782395,0.06457348885335243,0.1528536848948523,6,0,0.9092817398051868,0.6678807338106247,Batiuk
L6 IT Car3,0.04889207591318905,0.05169609921032511,0.3442712770025666,6,36.50127942737832,0.16330781643215794,0.7647989384963412,Batiuk
L6b,0.1409780243897713,0.07184839181896197,0.049743885360225344,6,0,0.7184839664734699,0.4476949682420281,Batiuk
Lamp5,0.015642743517745725,0.04662592122357392,0.7372520380941472,6,0,0.9240105589067387,0.8984953485003335,Batiuk
Lamp5_Lhx6,0.005255036227197417,0.04321384720835372,0.9032115540283316,6,0,0.5673225337622146,0.9211393892693353,Batiuk
Pax6,-0.020555023616680452,0.06417566009508906,0.7487461237502779,6,0,0.9732178414798117,0.8984953485003335,Batiuk
Pvalb,-0.033772066489113343,0.03866364676784802,0.3823994692481706,6,0,0.7419976263286097,0.7647989384963412,Batiuk
Sncg,-0.04628373750237367,0.06630164929958605,0.48512827639423056,6,0,0.636730905619424,0.8187912003571136,Batiuk
Sst,-0.15768606919243633,0.04984437441325174,0.001558479250979416,6,0,0.47247582560369383,0.02805262651762949,Batiuk
Sst Chodl,-0.007284633283789516,0.0735832020540122,0.9211393892693353,6,41.47681857187934,0.12871160320295694,0.9211393892693353,Batiuk
Vip,-0.045420618260502574,0.045699651672189166,0.32027438346511683,6,0,0.9019358121424061,0.7647989384963412,Batiuk
Chandelier,0.0018350379412912486,0.06036470181362969,0.9757486921453424,6,0,0.9044055193072553,0.977693505619014,Fröhlich
L2/3 IT,-0.09120267209074218,0.06530254891898793,0.1625286734221188,6,0,0.9211311883769979,0.4875860202663564,Fröhlich
L4 IT,0.0015286522556394256,0.05467148293480138,0.977693505619014,6,47.83501404446825,0.08788607119795415,0.977693505619014,Fröhlich
L5 ET,0.07966358023779807,0.08296027118866836,0.33692346506989307,6,6.2260005272643255,0.3767230089633037,0.6064622371258075,Fröhlich
L5 IT,0.01919360108378969,0.04880274452353983,0.6941057619134434,6,0,0.9552721898468751,0.8485154668253505,Fröhlich
L5/6 NP,0.07027576626401778,0.06289374432197899,0.26383491202115256,6,0,0.9850237062498716,0.5352576920974764,Fröhlich
L6 CT,0.12524146528041877,0.0709506708180568,0.07753171873834958,6,65.35685172862189,0.01308143642370943,0.34889273432257306,Fröhlich
L6 IT,0.1125166998333286,0.07436517692742309,0.1302721883320113,6,0,0.8528344309186533,0.46897987799524066,Fröhlich
L6 IT Car3,0.04251694306807368,0.06186269526558705,0.49190681018812704,6,50.29927567621093,0.073546933930476,0.7891347165568953,Fröhlich
L6b,0.15750884034984172,0.08124973132999745,0.0525528965126074,6,0,0.7121149720336345,0.34889273432257306,Fröhlich
Lamp5,-0.016922868856376984,0.05405651427303337,0.7542359705114227,6,0,0.6371535824007764,0.8485154668253505,Fröhlich
Lamp5_Lhx6,0.024175872835696315,0.0484571810734579,0.6178413258992269,6,0,0.6351070296982259,0.8485154668253505,Fröhlich
Pax6,-0.024066756589809106,0.07512210252541972,0.7486889885468861,6,0,0.8828118796888317,0.8485154668253505,Fröhlich
Pvalb,-0.048537873011325644,0.04378542086770162,0.2676288460487382,6,16.542243546615634,0.3070902898575592,0.5352576920974764,Fröhlich
Sncg,-0.13952128949278977,0.07660442798580307,0.06855800444519876,6,0,0.7203142860029095,0.34889273432257306,Fröhlich
Sst,-0.1331151640476858,0.05470114184231926,0.014953684225399288,6,0,0.6160429850195228,0.26916631605718716,Fröhlich
Sst Chodl,0.05260876246148969,0.08298092336387054,0.5260898110379302,6,21.1361802013738,0.27452288317378937,0.7891347165568953,Fröhlich
Vip,-0.06858344661643392,0.05344451932187843,0.19939947622973458,6,0,0.7453315524600588,0.5127415103050318,Fröhlich
Chandelier,-0.025303988052833334,0.0524463253706623,0.629469268512399,6,0,0.9224111391337269,0.8010039933270021,HBCC
L2/3 IT,-0.07779358764889263,0.057811497220048885,0.17841795001344948,6,0,0.8996119662749037,0.40144038753026134,HBCC
L4 IT,-0.04576209633775664,0.045747276444787266,0.31715375976002647,6,31.305658139827887,0.20072988696692126,0.4957860058048225,HBCC
L5 ET,0.08763847871598755,0.083034709822511,0.29122235001314445,6,0,0.41588863136755927,0.4957860058048225,HBCC
L5 IT,-0.006196537212793118,0.040690923994251026,0.8789637086515895,6,0,0.8784169232310522,0.912224110663716,HBCC
L5/6 NP,0.057426697795414317,0.0537425289233712,0.2852714947144644,6,0,0.9764942734430699,0.4957860058048225,HBCC
L6 CT,0.13749946952102673,0.06957935647284047,0.04813742601247983,6,64.7974681836389,0.014367003184347292,0.28882455607487895,HBCC
L6 IT,0.1214885315974956,0.06710834531191483,0.07024397888344447,6,0,0.9452916125168832,0.3160979049755001,HBCC
L6 IT Car3,0.0792156666250021,0.053201747541156,0.1364959588412776,6,51.05637321773032,0.06934561588757038,0.40144038753026134,HBCC
L6b,0.1736528539999037,0.07528798388924744,0.02108188049341485,6,0,0.884644822327875,0.18973692444073367,HBCC
Lamp5,-0.011344353330326625,0.04982038450809813,0.8198755433503935,6,0,0.6415580067513044,0.912224110663716,HBCC
Lamp5_Lhx6,-0.020444152549266074,0.047591350863626425,0.6675033277725018,6,0,0.5299826730374367,0.8010039933270021,HBCC
Pax6,-0.04845268473670782,0.06690370321903284,0.4689335738888017,6,0,0.9402956938852705,0.64929264076911,HBCC
Pvalb,-0.05845969744334017,0.04122650709612158,0.15618715041455628,6,12.262893224460479,0.33663412094437073,0.40144038753026134,HBCC
Sncg,-0.06688591556483009,0.06873778353900725,0.3305240038698817,6,14.731089771526513,0.3196980178441519,0.4957860058048225,HBCC
Sst,-0.18551999460557478,0.05614952059021627,9.530385238121491e-4,6,5.602784107993976,0.3807458520782763,0.017154693428618684,HBCC
Sst Chodl,-0.009166532231750277,0.0831555143287165,0.912224110663716,6,41.46611632479049,0.12878402136879108,0.912224110663716,HBCC
Vip,-0.0721044395267887,0.048760833787697674,0.13921067171492882,6,0,0.8284879995220898,0.40144038753026134,HBCC
Chandelier,-0.017864892897522806,0.05026641692376914,0.7222868445090751,6,0,0.8956663022327129,0.7984867421117873,McLean
L2/3 IT,-0.08090680336480259,0.05781612210066096,0.16169865459220492,6,0,0.9087524676354825,0.7095784995886882,McLean
L4 IT,0.019623343434836838,0.046747471826068934,0.6746510260438454,6,11.654685640713344,0.3407612638135131,0.7984867421117873,McLean
L5 ET,0.0683460711015014,0.08310645515368627,0.4108539183726004,6,11.524452586505662,0.3416425343209058,0.7095784995886882,McLean
L5 IT,-0.0029109218606979052,0.042100389506253284,0.9448762735374266,6,0,0.8834775149687193,0.9448762735374266,McLean
L5/6 NP,0.04541702962088361,0.05515662272827006,0.410269571415164,6,0,0.9709425047874226,0.7095784995886882,McLean
L6 CT,0.08099715310675096,0.0715533493740325,0.257641710742927,6,59.04761304077759,0.032029743404024924,0.7095784995886882,McLean
L6 IT,0.07894418197727467,0.07339315067000592,0.2820908914737469,6,0,0.8889853161164274,0.7095784995886882,McLean
L6 IT Car3,0.03659432873003333,0.05586994696273,0.5124733608140526,6,43.52354903236569,0.11506274499094776,0.7095784995886882,McLean
L6b,0.1614555189400024,0.081963122553826,0.04885491807526062,6,0,0.7214329226592705,0.37371744204679214,McLean
Lamp5,0.015707473340350938,0.05015107965410707,0.7541263675500213,6,0,0.6395806551923324,0.7984867421117873,McLean
Lamp5_Lhx6,-0.022603154545645102,0.045374440688729326,0.6183802328769115,6,0,0.6420674767557235,0.7950602994131719,McLean
Pax6,-0.048547645833712294,0.0721038935428862,0.5007556208126818,6,0,0.9056703239592727,0.7095784995886882,McLean
Pvalb,-0.07715657861697203,0.04138740574532264,0.062286240341132025,6,0,0.6444760071347863,0.37371744204679214,McLean
Sncg,-0.05213129603923862,0.06994962501963502,0.4561090402507499,6,8.78077259003043,0.36000070244149,0.7095784995886882,McLean
Sst,-0.1787427000035104,0.05360142664236864,8.540279753495644e-4,6,8.3178014085169,0.3630582684950839,0.015372503556292159,McLean
Sst Chodl,-0.07221658376768963,0.07756001164496099,0.3517987914927688,6,0,0.6881450673926959,0.7095784995886882,McLean
Vip,-0.0448222310061823,0.04891103040555877,0.3594553908158136,6,0,0.7589468456491759,0.7095784995886882,McLean
Chandelier,-0.016101701518409412,0.04857235810783155,0.7402673882033679,6,0,0.9006856858808692,0.8509223796194473,MSSM 1
L2/3 IT,-0.07970773493089257,0.05568571312879528,0.15231969693809838,6,0,0.9163564776283518,0.49318456744801437,MSSM 1
L4 IT,-0.03610275771474129,0.04390889902567157,0.41095192144190157,6,28.747556096478167,0.21935662742362563,0.6724667805412935,MSSM 1
L5 ET,0.034523340882760246,0.07765411453426393,0.6566244703212367,6,0,0.4333080039847627,0.8509223796194473,MSSM 1
L5 IT,-0.009569095450494404,0.03849864947747459,0.803703742358885,6,0,0.8955851798613242,0.8509804330858782,MSSM 1
L5/6 NP,0.044362824644461535,0.05063264038692802,0.3809373640092312,6,0,0.9894015399569451,0.6724667805412935,MSSM 1
L6 CT,0.10139966410264356,0.06637818845645743,0.1266105964693378,6,55.34463629380866,0.047613493315077714,0.49318456744801437,MSSM 1
L6 IT,0.09680632378081136,0.0646873711188371,0.13451667381985555,6,0,0.8566969898430873,0.49318456744801437,MSSM 1
L6 IT Car3,0.06252117764779114,0.05088498106968406,0.2191931410880064,6,49.83907106788414,0.07614941083295232,0.49318456744801437,MSSM 1
L6b,0.12461587017501399,0.07342000441190519,0.08963970840673274,6,0,0.8725096905261112,0.49318456744801437,MSSM 1
Lamp5,-0.0033881297796088984,0.04685711609147768,0.9423570457480044,6,0,0.6162672520533277,0.9423570457480044,MSSM 1
Lamp5_Lhx6,-0.013511301349858154,0.043550571133992313,0.7563754485506198,6,0,0.5791744165771611,0.8509223796194473,MSSM 1
Pax6,-0.035156979444382466,0.06504204968744047,0.5888336941814081,6,0,0.8828242844715245,0.8509223796194473,MSSM 1
Pvalb,-0.04836893617508648,0.03842537187690244,0.2081112489067272,6,16.300343512707915,0.30878250765382,0.49318456744801437,MSSM 1
Sncg,-0.06756725731895173,0.06631205369996959,0.30823679830527095,6,14.734776791062622,0.3196725014859077,0.6164735966105419,MSSM 1
Sst,-0.1599060088462174,0.04933363750774389,0.001189783664601486,6,0,0.4833025384129674,0.02141610596282675,MSSM 1
Sst Chodl,-0.02968121630184036,0.07467019102504359,0.6910006095413164,6,28.920159847780262,0.21809865591304262,0.8509223796194473,MSSM 1
Vip,-0.05681085476948296,0.045902319962365254,0.2158470908167784,6,0,0.7169312483227043,0.49318456744801437,MSSM 1
Chandelier,-0.012609434111841122,0.05835268966491756,0.8289175756929885,6,0,0.8837160558248613,0.8854210796826095,MSSM 2
L2/3 IT,-0.0447398106566342,0.06670596646171645,0.5024105266415544,6,0,0.9567604690632745,0.8506465260508115,MSSM 2
L4 IT,-0.034618245511440646,0.049625154031502576,0.48543068353431196,6,47.866404566765134,0.08769741721518498,0.8506465260508115,MSSM 2
