subclass,beta,se,p,k,I2,Q_p,fdr,dropped
L5 ET,0.03629351602446448,0.08789904736687468,0.6796798863594827,6,10.826736085556147,0.3463489243737161,0.8738741396050493,MSSM 2
L5 IT,-0.018386427950405196,0.04157250107095446,0.6582910889677946,6,0,0.9311002704305177,0.8738741396050493,MSSM 2
L5/6 NP,0.04565790945514649,0.055168565791216456,0.4078929155157339,6,0,0.9706526972493059,0.8506465260508115,MSSM 2
L6 CT,0.2749211757975909,0.0851784961709544,0.0012483820697296946,6,29.337669604875927,0.21505602779164149,0.011235438627567252,MSSM 2
L6 IT,0.11060634722576447,0.0746966734609544,0.13867588850602222,6,0,0.8489183794306835,0.5893487634727866,MSSM 2
L6 IT Car3,0.15223676181999443,0.05918972690446041,0.010110902223492051,6,0,0.635825236754763,0.06066541334095231,MSSM 2
L6b,0.1174644167644029,0.0843424348103102,0.16370798985355184,6,0,0.7538087789064314,0.5893487634727866,MSSM 2
Lamp5,0.007941524433456883,0.055110997702918066,0.8854210796826095,6,0,0.5776726478146148,0.8854210796826095,MSSM 2
Lamp5_Lhx6,0.011317761686770357,0.05083734911072205,0.8238258948119006,6,0,0.4808685268948807,0.8854210796826095,MSSM 2
Pax6,-0.014592637186831937,0.07265198987596043,0.8408106448631856,6,0,0.9069686227417644,0.8854210796826095,MSSM 2
Pvalb,-0.02926510796186545,0.04547146829136036,0.5198395436977181,6,6.830192589731293,0.3728016200999772,0.8506465260508115,MSSM 2
Sncg,-0.06184035267219326,0.08033008408030838,0.4414018932902881,6,14.516961212760433,0.32117883585219104,0.8506465260508115,MSSM 2
Sst,-0.2100654096948298,0.056388280135154414,1.950535917092117e-4,6,0,0.6047926392944887,0.0035109646507658107,MSSM 2
Sst Chodl,0.03714106587401756,0.08619945984636061,0.6665603283640468,6,34.486965240515545,0.1777127887603135,0.8738741396050493,MSSM 2
Vip,-0.05069905609842625,0.053769106070222936,0.3457304757871972,6,0,0.7175884091883235,0.8506465260508115,MSSM 2
Chandelier,-0.011815457293283756,0.04809409497373815,0.8059347838723889,6,0,0.8980158930076594,0.9618908858494742,Multiome
L2/3 IT,-0.06937214978639795,0.05439388174713616,0.20217945130267218,6,0,0.9758618371621135,0.5198900176354427,Multiome
L4 IT,-0.018734116411538812,0.04293862580971562,0.6626191837326526,6,49.64336612066329,0.0772669971329612,0.917472715937519,Multiome
L5 ET,0.03607372960344744,0.07519759535195994,0.6314270799921083,6,0,0.841566680661826,0.917472715937519,Multiome
L5 IT,-0.0070198753769802795,0.03778057478956661,0.8525965276420626,6,0,0.8806325034222442,0.9618908858494742,Multiome
L5/6 NP,0.04855570581174099,0.04986754324141539,0.3302087148071199,6,0,0.9783968917089848,0.6420579150424776,Multiome
L6 CT,0.11223314054505915,0.06546204118844762,0.08644122335422043,6,56.393897254079,0.042879813346631296,0.5186473401253225,Multiome
L6 IT,0.09687903927658392,0.0638938210294431,0.12945601828319922,6,0,0.8813265182725997,0.5198900176354427,Multiome
L6 IT Car3,0.06675182965170323,0.050503893273110806,0.18626256822001794,6,52.030742822548135,0.06409108680474121,0.5198900176354427,Multiome
L6b,0.14098614144299507,0.07165627342652273,0.04912170079677659,6,0,0.7243794684413857,0.4420953071709893,Multiome
Lamp5,0.0033121050238167243,0.04598627879718051,0.9425829937304839,6,0,0.5870836577439357,0.9618908858494742,Multiome
Lamp5_Lhx6,-0.0020255415620405648,0.0423923158202986,0.9618908858494742,6,0,0.46266521688063184,0.9618908858494742,Multiome
Pax6,-0.0317518730384565,0.06359099105040016,0.6175581835563737,6,0,0.8780482245384722,0.917472715937519,Multiome
Pvalb,-0.049116451886781584,0.037758036550748296,0.19331968653924717,6,16.363101071623078,0.308343725200776,0.5198900176354427,Multiome
Sncg,-0.06016685223369383,0.06527999777597292,0.3566988416902653,6,0,0.4372862661022833,0.6420579150424776,Multiome
Sst,-0.16884788681556412,0.048699663949327746,5.260546040603257e-4,6,10.67287387639664,0.34738336387244845,0.009468982873085863,Multiome
Sst Chodl,-0.00619458347557846,0.07283997628857197,0.9322266229309111,6,41.285504004783306,0.13000768990108053,0.9618908858494742,Multiome
Vip,-0.05242088173181201,0.04503784153740643,0.2444524992655721,6,0,0.8000146918934753,0.5500181233475372,Multiome
