supertype,beta,se,p,k,I2,Q_p,dropped
Pvalb_6,-0.08369121500513413,0.06110080785627714,0.1707732166972893,6,0,0.595137077464864,Fröhlich
Pvalb_7,0.15285567876937767,0.07231052418626499,0.034525626657024196,6,44.31839102108585,0.10987959006426463,Fröhlich
Pvalb_8,0.05015000404029947,0.07558914768267673,0.5070391394788824,6,24.308542185645504,0.25164907097341416,Fröhlich
Pvalb_9,0.028048356921948434,0.06870782254874169,0.6831073624700237,6,0,0.6285465265485973,Fröhlich
Sncg_1,-0.037680469603685575,0.08053682388266245,0.6398801706480588,6,0,0.8250173758385568,Fröhlich
Sncg_2,0.1671509547379653,0.09578024722817571,0.08095865977030138,6,70.78504646830093,0.0042876445389639995,Fröhlich
Sncg_3,0.04566490982934865,0.0804727571191457,0.5704030537411013,6,32.47292010435536,0.1922569811811929,Fröhlich
Sncg_4,-0.0884051047093718,0.07747138719343201,0.25381485853956204,6,0,0.6515614479972743,Fröhlich
Sncg_5,0.021383470118673087,0.07921619270859784,0.787207859994761,6,0,0.49483271616004315,Fröhlich
Sncg_6,-0.03594537922615432,0.07175443816981565,0.616406376766382,6,24.54833393690221,0.24991089529407715,Fröhlich
Sncg_8,-0.08360463738597074,0.07624422358756469,0.27284369604346537,6,0,0.48449496052401625,Fröhlich
Sst Chodl_1,0.04795698523586982,0.08071848395879537,0.5524275502574569,6,18.094420986136328,0.2961744837868159,Fröhlich
