supertype,beta,se,p,method,k,I2,Q_p,fdr
L6 IT Car3_3,0.0835367743096128,0.0628200302811211,0.1835910063917,published FE meta,NA,NA,NA,0.5131133255562897
L6 CT_3,0.131444235983575,0.0740213144769062,0.0757721566988142,published FE meta,NA,NA,NA,0.3903343870462855
Pvalb_14,0.158780283491465,0.0619554054455309,0.0103827157361502,published FE meta,NA,NA,NA,0.16167371646291026
Pvalb_1,-9.7671338014527e-4,0.0578748050915545,0.986535288811571,published FE meta,NA,NA,NA,0.9956698748190856
Pvalb_12,0.119075676297048,0.0666610938727148,0.0740532112031961,published FE meta,NA,NA,NA,0.3903343870462855
L2/3 IT_13,-0.0703821418224023,0.0729471465821103,0.334626214864152,published FE meta,NA,NA,NA,0.6513260253605816
Vip_14,0.0695235995305419,0.0637252518928077,0.275277372815086,published FE meta,NA,NA,NA,0.5883379144479289
L5 IT_2,0.00906540634300588,0.0530108064807735,0.864215482395579,published FE meta,NA,NA,NA,0.961919380354394
Sst_23,-0.0654486788027768,0.0700522250641106,0.350157373023614,published FE meta,NA,NA,NA,0.6524829509890921
Pvalb_5,-0.0760606231404792,0.0615546320838198,0.216584812018757,published FE meta,NA,NA,NA,0.5490173141870818
L6 CT_2,0.0979330149930562,0.0762766895965434,0.199170647302325,published FE meta,NA,NA,NA,0.5199393549559016
Sst_12,-0.0614500257970238,0.0661862188405618,0.353178650837457,published FE meta,NA,NA,NA,0.6524829509890921
Pvalb_2,-0.08358702781814,0.0577625999171038,0.147874883743049,published FE meta,NA,NA,NA,0.49960493308549947
Lamp5_Lhx6_1,0.00204447664228724,0.0416093479821212,0.96081168565798,published FE meta,NA,NA,NA,0.9956698748190856
Vip_19,-0.00354749457961902,0.04136867900373,0.931662649267175,published FE meta,NA,NA,NA,0.9956698748190856
Lamp5_3,0.101828511468411,0.0651742578564092,0.118192880438295,published FE meta,NA,NA,NA,0.49960493308549947
Sst_13,-0.0817744078418891,0.0556219860096725,0.141512637776069,published FE meta,NA,NA,NA,0.49960493308549947
Sst_20,-0.174676636280529,0.0747117440175118,0.019386846286962,published FE meta,NA,NA,NA,0.19210602229807797
Sst_3,-0.186286911011216,0.0617411940282608,0.00255102610277124,published FE meta,NA,NA,NA,0.046343640867010864
L6 IT Car3_1,-0.0475631776962481,0.0816046156953244,0.559994880952075,published FE meta,NA,NA,NA,0.7869203056489974
Pvalb_9,0.0038736037517235,0.0585607569774225,0.94726099120489,published FE meta,NA,NA,NA,0.9956698748190856
Pvalb_6,-0.115169547076118,0.0513734717663942,0.0249736743761872,published FE meta,NA,NA,NA,0.22684420891703375
Vip_2,-0.0771042168942552,0.0567337884768138,0.174129842342005,published FE meta,NA,NA,NA,0.5129771031156364
L5/6 NP_1,0.036994958884966,0.0637298265675389,0.561579659970754,published FE meta,NA,NA,NA,0.7869203056489974
L2/3 IT_5,-0.04189726063948,0.0563552386355641,0.457209728300242,published FE meta,NA,NA,NA,0.7251618046650523
L6 IT Car3_2,0.027995281250069,0.0852044968888781,0.74248392328774,published FE meta,NA,NA,NA,0.9109994008239067
L5 ET_2,0.0627526232524604,0.0749759427050267,0.402609367618143,published FE meta,NA,NA,NA,0.6965781122282156
Vip_6,0.0151278477964083,0.0632472158452404,0.810961367501729,published FE meta,NA,NA,NA,0.961919380354394
Vip_4,-0.0687142701441916,0.0478809304254671,0.151256539374509,published FE meta,NA,NA,NA,0.49960493308549947
L5/6 NP_2,0.152629704450451,0.0760417986694187,0.0447303226202571,published FE meta,NA,NA,NA,0.3057038098280444
Pax6_1,-0.0332602293344894,0.0586025879247094,0.570336735286888,published FE meta,NA,NA,NA,0.7869203056489974
L5 IT_1,-0.00406946933134624,0.0525882032035817,0.938318313597857,published FE meta,NA,NA,NA,0.9956698748190856
Vip_21,0.0114308683093151,0.0608229756476285,0.850926285986344,published FE meta,NA,NA,NA,0.961919380354394
Vip_5,-0.0965279301348535,0.065405364906343,0.139986536167956,published FE meta,NA,NA,NA,0.49960493308549947
Lamp5_5,1.7888594263697e-4,0.0599011047709173,0.997617237275197,published FE meta,NA,NA,NA,0.997617237275197
Sncg_4,-0.00224649535545025,0.066013609441946,0.972852597134413,published FE meta,NA,NA,NA,0.9956698748190856
Sst_4,0.0416898873119017,0.0659924621571455,0.527558674671892,published FE meta,NA,NA,NA,0.7667186071898163
Sst_10,0.07088016835135,0.0582623091165044,0.223767921882224,published FE meta,NA,NA,NA,0.5528681603752129
L4 IT_2,-0.0171930519235433,0.0497270524300618,0.729531759937806,published FE meta,NA,NA,NA,0.9109994008239067
L6b_6,0.103381130437337,0.0807303536341445,0.200343604661907,published FE meta,NA,NA,NA,0.5199393549559016
Vip_16,0.0457961592876426,0.0638434279283233,0.473176750853715,published FE meta,NA,NA,NA,0.7251618046650523
L5 IT_3,-0.00988648493402515,0.0584138289044581,0.865600751478323,published FE meta,NA,NA,NA,0.961919380354394
Sst_11,-0.131932494421812,0.0767263892528842,0.085519886608411,published FE meta,NA,NA,NA,0.4052898974050782
Chandelier_1,-0.0241245868862856,0.0473058102000872,0.610071844737743,published FE meta,NA,NA,NA,0.8158256896181497
L6 IT_2,0.116559398604049,0.0776485279248144,0.13332572447658,published FE meta,NA,NA,NA,0.49960493308549947
Sst_7,0.0150039041691,0.0660530061246496,0.820307531462136,published FE meta,NA,NA,NA,0.961919380354394
Lamp5_2,0.0488169317946478,0.0405286456094816,0.228394684050607,published FE meta,NA,NA,NA,0.5528681603752129
Vip_11,-0.024353106073928,0.0544894798102726,0.654923974353508,published FE meta,NA,NA,NA,0.8398436847592045
Vip_23,-0.0011319693886932,0.0420144085596279,0.978505668113588,published FE meta,NA,NA,NA,0.9956698748190856
Vip_13,-0.0514919712288365,0.0629936005588751,0.41369078744768,published FE meta,NA,NA,NA,0.7045671223718301
Sncg_1,0.0135991464519112,0.0672549473249945,0.839758093724818,published FE meta,NA,NA,NA,0.961919380354394
L5/6 NP_6,0.123664118433929,0.0753219707519375,0.100630064064175,published FE meta,NA,NA,NA,0.45702820762479485
L6b_5,0.0554107958035253,0.075347749807879,0.462095432226026,published FE meta,NA,NA,NA,0.7251618046650523
L5/6 NP_3,0.0260923337813876,0.0798497806541309,0.743843547461722,published FE meta,NA,NA,NA,0.9109994008239067
L6 CT_4,0.120581929143985,0.0871666570840619,0.166557805585274,published FE meta,NA,NA,NA,0.5129771031156364
Chandelier_1,-0.024124586886285784,0.04730581020008723,0.6100718447377402,FE meta,7,0,0.9089611627347214,0.8158256896181504
Chandelier_2,0.15415204175456626,0.06998364898511407,0.02761684948906727,FE meta,7,0,0.8325540365637647,0.231556661100641
L2/3 IT_1,-0.04359298212537237,0.061015834979469816,0.4749467465907138,FE meta,7,0,0.5092890054659258,0.7251618046650474
L2/3 IT_10,-0.16906711029559665,0.08428768478158007,0.04487395373622708,FE meta,7,16.01957747549459,0.30768852486008863,0.305703809828047
L2/3 IT_12,-0.058888677112525795,0.0824681365615157,0.47517898574499506,FE meta,7,0,0.635065466929489,0.7251618046650474
L2/3 IT_13,-0.07038214182240243,0.07294714658211025,0.3346262148641512,FE meta,7,0,0.8587685735933733,0.6513260253605799
L2/3 IT_2,0.07580195609368785,0.08217360608700008,0.356288105453834,FE meta,7,0,0.5098124212676575,0.6524829509890895
L2/3 IT_3,-0.09361347431933033,0.07294239248177652,0.1993557768922498,FE meta,7,56.903983854893106,0.030515106769749476,0.5199393549559029
L2/3 IT_5,-0.041897260639480065,0.056355238635564124,0.45720972830024176,FE meta,7,0,0.9315867761554355,0.7251618046650474
L2/3 IT_6,-0.08856498757762303,0.07608242441295182,0.24439713751399042,FE meta,7,0,0.6974521852096452,0.566793361468616
L2/3 IT_7,0.20834490768677733,0.08836566540481719,0.01838564449973487,FE meta,7,30.637000747690237,0.19423059485155666,0.1921060222980779
L2/3 IT_8,-0.07505864055729088,0.08185618532244747,0.3591649271499575,FE meta,7,28.452493971850394,0.21116308714042784,0.6524829509890895
L4 IT_1,0.04919318401519074,0.0568427888277968,0.38680543404702306,FE meta,7,20.525036385469697,0.2729955386083803,0.6800289082439599
L4 IT_2,-0.017193051923543416,0.04972705243006179,0.7295317599378042,FE meta,7,0,0.5701025805497227,0.9109994008239092
L4 IT_3,0.04803221218840082,0.07368065071826677,0.5144674712769358,FE meta,7,62.86811945729405,0.012927436187243495,0.7627545370062739
L4 IT_4,0.027293107861109948,0.05792986893562204,0.6375403996291034,FE meta,7,12.367656636046524,0.3352490635436769,0.8339547296951288
L5 ET_1,0.16890379147393925,0.09025675164731439,0.06129379242854628,FE meta,7,0,0.6530600424066465,0.35163280919534445
L5 ET_2,0.0627526232524604,0.07497594270502672,0.4026093676181433,FE meta,7,0,0.6773690717235191,0.6965781122282162
L5 IT_1,-0.004069469331346313,0.052588203203581714,0.9383183135978561,FE meta,7,0,0.9444082301382885,0.995669874819086
L5 IT_2,0.009065406343006071,0.05301080648077352,0.8642154823955758,FE meta,7,0,0.9190048882398202,0.961919380354394
L5 IT_3,-0.009886484934025226,0.05841382890445805,0.8656007514783222,FE meta,7,0,0.4482462221420065,0.961919380354394
L5 IT_5,-0.045306458296817335,0.06400100908160301,0.4790059627145267,FE meta,7,15.044283234935582,0.315105646378042,0.7251618046650474
L5 IT_6,0.10596313391606575,0.07107653122530079,0.13600573100882696,FE meta,7,0,0.639150010889236,0.4996049330854972
L5 IT_7,-0.038762865040640644,0.06734128402451145,0.564873313227866,FE meta,7,30.36287076629023,0.19634748098370172,0.7869203056489974
L5/6 NP_1,0.03699495888496586,0.0637298265675389,0.561579659970755,FE meta,7,0,0.5622612118369947,0.7869203056489974
L5/6 NP_2,0.15262970445045135,0.07604179866941872,0.044730322620257154,FE meta,7,40.809944508446065,0.11900650169939839,0.305703809828047
L5/6 NP_3,0.0260923337813874,0.07984978065413091,0.743843547461724,FE meta,3,33.55758107681587,0.22200339523195997,0.9109994008239092
L5/6 NP_4,0.17391448422222905,0.07239788297176979,0.016296617365247904,FE meta,7,74.20378766883366,7.141461312656561e-4,0.1921060222980779
L5/6 NP_6,0.12366411843392806,0.07532197075193749,0.1006300640641769,FE meta,6,76.30045406111044,7.76426241780025e-4,0.45702820762480345
L6 CT_1,0.23081727372160035,0.09371060852270126,0.013774692965101368,FE meta,7,73.10396733640572,0.0010646223762738316,0.18768019164950614
L6 CT_2,0.09793301499305611,0.07627668959654335,0.19917064730232564,FE meta,7,62.70550977643812,0.013288480409496425,0.5199393549559029
L6 CT_3,0.13144423598357513,0.07402131447690621,0.07577215669881415,FE meta,7,0,0.973682519081354,0.39033438704628737
L6 CT_4,0.1205819291439848,0.0871666570840619,0.16655780558527444,FE meta,5,0,0.42661511149553244,0.5129771031156343
L6 IT Car3_1,-0.04756317769624807,0.08160461569532446,0.559994880952075,FE meta,7,13.382746655400293,0.32764855236181145,0.7869203056489974
L6 IT Car3_2,0.027995281250068917,0.08520449688887807,0.7424839232877407,FE meta,7,0,0.7521601433887718,0.9109994008239092
L6 IT Car3_3,0.08353677430961268,0.06282003028112111,0.18359100639170023,FE meta,7,39.493505379080105,0.12822174460387614,0.5131133255562903
L6 IT_1,0.10484426742289933,0.07870991446382247,0.18284907795120808,FE meta,7,0,0.8130794732390393,0.5131133255562903
L6 IT_2,0.1165593986040485,0.0776485279248143,0.13332572447658,FE meta,7,0,0.6188871504867729,0.4996049330854972
L6b_1,0.4812967965988712,0.10109524961884214,1.9280313345723837e-6,FE meta,7,61.626499673968745,0.015848236759186715,2.1015541546838982e-4
L6b_2,0.16719784573303115,0.08713136885706245,0.05499486670879049,FE meta,7,44.78197979101033,0.09260662802653151,0.3383041258515174
L6b_3,0.1232114207551987,0.08927208127987164,0.16753164543341395,FE meta,5,36.52407812796293,0.17772822968985397,0.5129771031156343
