class,subclass,supertype,median_MERFISH,median_Xenium,n_MERFISH,n_Xenium,q25_MERFISH,q25_Xenium,q75_MERFISH,q75_Xenium,delta_median,iqr_MERFISH,iqr_Xenium
GABAergic,Chandelier,Chandelier_1,0.47858645116981247,0.5360476327224957,830.0,4129.0,0.35499112801034155,0.43902216185758036,0.5766460453254875,0.5896929628615731,0.057461181552683205,0.22165491731514592,0.15067080100399277
GABAergic,Chandelier,Chandelier_2,0.2696888056838348,0.30514867018147385,273.0,6859.0,0.20463464260440678,0.22668340579384205,0.5032400416994491,0.46084039691042233,0.03545986449763905,0.29860539909504236,0.23415699111658028
GABAergic,Lamp5,Lamp5_1,0.46534794900478504,0.5529385243325382,1739.0,3056.0,0.3047465730947576,0.34760089561826935,0.6424252014207273,0.6932439079609117,0.08759057532775316,0.33767862832596973,0.3456430123426424
GABAergic,Lamp5,Lamp5_2,0.4115490646238177,0.45102454064367287,1528.0,3903.0,0.29871659656283256,0.32249963617510496,0.5237186342898381,0.5557718363403327,0.03947547601985518,0.22500203772700555,0.2332722001652277
GABAergic,Lamp5,Lamp5_3,0.36456365136192426,0.23790100991693447,872.0,1815.0,0.16581342500481708,0.17387524566963755,0.5587020757444491,0.341544412985863,-0.1266626414449898,0.392888650739632,0.16766916731622547
GABAergic,Lamp5,Lamp5_4,0.09485472829753791,0.12511051806921542,130.0,1625.0,0.04963226419929604,0.07367757315635116,0.24530073888096068,0.2168070136799969,0.030255789771677505,0.19566847468166465,0.14312944052364573
GABAergic,Lamp5,Lamp5_5,0.07985912581346337,0.09209386612619017,397.0,2187.0,0.05024701002492698,0.06362259521514624,0.11466769798509789,0.1466233745387026,0.012234740312726797,0.06442068796017092,0.08300077932355637
GABAergic,Lamp5,Lamp5_6,0.10541468682797465,0.12584980925065736,113.0,1522.0,0.07038406231570646,0.0803576605820661,0.15583251113220037,0.21115686889552102,0.02043512242268271,0.08544844881649391,0.13079920831345493
GABAergic,Pax6,Pax6_1,0.12490216345218237,0.10579012946034327,415.0,1802.0,0.08261824517228619,0.07193858051310123,0.19754164059666565,0.17028998748662733,-0.019112033991839097,0.11492339542437946,0.0983514069735261
GABAergic,Pax6,Pax6_2,0.2371871199288186,0.1766020789843208,120.0,2100.0,0.1518172666919407,0.1176180449673978,0.3264888842209367,0.23751801914796472,-0.06058504094449782,0.174671617528996,0.11989997418056692
GABAergic,Pax6,Pax6_3,0.36226636708120985,0.2733624822722711,164.0,520.0,0.24231578053072056,0.19462393968626074,0.5731204439806385,0.3876899139882556,-0.08890388480893874,0.330804663449918,0.19306597430199485
GABAergic,Pax6,Pax6_4,0.26545365551538647,0.18948318762180216,107.0,366.0,0.17322945139587503,0.13805304810972516,0.6347556418012881,0.3014480621670795,-0.0759704678935843,0.46152619040541304,0.16339501405735432
GABAergic,Pvalb,Pvalb_1,0.663345389733672,0.5895662443392095,87.0,296.0,0.5993238095144193,0.5352868819187458,0.7283435280317672,0.6376922778656847,-0.07377914539446251,0.12901971851734784,0.10240539594693887
GABAergic,Pvalb,Pvalb_10,0.7623353584562067,0.6614051188467582,257.0,1512.0,0.6659810615433509,0.5781620868126085,0.8402985977601589,0.8138519473724477,-0.10093023960944847,0.174317536216808,0.2356898605598392
GABAergic,Pvalb,Pvalb_12,0.7200295021766517,0.6091196245996394,420.0,1703.0,0.6401003928060975,0.5689059321428513,0.7941777962507525,0.6715494011805968,-0.11090987757701232,0.15407740344465493,0.10264346903774546
GABAergic,Pvalb,Pvalb_13,0.737596137206345,0.5927360339756135,193.0,693.0,0.6157408023279372,0.4004570944326129,0.8167796203404775,0.7893868239734687,-0.1448601032307315,0.2010388180125403,0.3889297295408558
GABAergic,Pvalb,Pvalb_15,0.5343020309946898,0.5262838642211689,2274.0,6072.0,0.45950510882023976,0.4169365363621381,0.6117019482289959,0.5776585771139093,-0.008018166773520852,0.15219683940875617,0.1607220407517712
GABAergic,Pvalb,Pvalb_2,0.3922709387782085,0.34998171164141906,2001.0,2733.0,0.2951640701859818,0.2855910894419722,0.5004245659325092,0.4745144574990995,-0.04228922713678945,0.20526049574652738,0.18892336805712728
GABAergic,Pvalb,Pvalb_5,0.29041075134788996,0.26582068102612444,1371.0,844.0,0.2143970236975723,0.22259120484374545,0.4240248670907478,0.3249897916430085,-0.024590070321765523,0.20962784339317553,0.10239858679926306
GABAergic,Pvalb,Pvalb_6,0.4648362327305633,0.4647232016438046,466.0,4598.0,0.36235940914731307,0.342467982706037,0.5597718443427504,0.5624875537875615,-0.000113031086758697,0.19741243519543733,0.22001957108152453
GABAergic,Pvalb,Pvalb_7,0.7769942610665402,0.8374946540742904,160.0,67.0,0.6839407639717051,0.768785346281436,0.8430304082419957,0.8922195765991732,0.06050039300775012,0.1590896442702906,0.12343423031773715
GABAergic,Pvalb,Pvalb_8,0.21579511763965115,0.2726364468718239,101.0,137.0,0.16410149837395227,0.21164244506366797,0.3977957447003828,0.32797271750390233,0.05684132923217278,0.23369424632643054,0.11633027244023436
GABAergic,Pvalb,Pvalb_9,0.7128829770582668,0.6396871582642969,252.0,1246.0,0.6543679740832422,0.5913522853818026,0.785981719179931,0.7323534530859385,-0.07319581879396986,0.13161374509668877,0.14100116770413584
GABAergic,Sncg,Sncg_1,0.1606087362772187,0.20307342699673936,73.0,478.0,0.09729611920075905,0.11986014749666285,0.30504111416863255,0.3726197986898621,0.042464690719520665,0.20774499496787352,0.25275965119319926
GABAergic,Sncg,Sncg_2,0.1094433863569482,0.11081543783431613,79.0,500.0,0.07134381901453674,0.07987278730788284,0.15873786424515615,0.15754841171699865,0.001372051477367936,0.08739404523061942,0.07767562440911581
GABAergic,Sncg,Sncg_3,0.1945520743729462,0.13232501232500632,544.0,114.0,0.13076595810341407,0.10798050391422523,0.3098528409475803,0.18021832512965585,-0.062227062047939874,0.17908688284416624,0.07223782121543063
GABAergic,Sncg,Sncg_4,0.10726807327958734,0.11232660676938541,542.0,2068.0,0.08098781309944242,0.08232766500960972,0.14792400406333112,0.18116125254703522,0.005058533489798067,0.0669361909638887,0.0988335875374255
GABAergic,Sncg,Sncg_5,0.08012711907269068,0.08658109946110523,58.0,842.0,0.05098945490536136,0.0613055452363716,0.1273866877040696,0.12074519682756009,0.006453980388414549,0.07639723279870825,0.05943965159118849
GABAergic,Sncg,Sncg_6,0.1243859464521252,0.11232775019796543,336.0,1044.0,0.08169921085479076,0.07794742797632659,0.19841009488791442,0.1847678019418749,-0.01205819625415977,0.11671088403312366,0.1068203739655483
GABAergic,Sncg,Sncg_8,0.11720727932883515,0.1203372864926325,197.0,595.0,0.08940175654816086,0.1000239395063938,0.15911164273432812,0.15962816443856742,0.0031300071637973548,0.06970988618616726,0.05960422493217363
GABAergic,Sst,Sst_1,0.7275974633186215,0.786377682853672,360.0,404.0,0.6079405932729378,0.6301566050644474,0.8230949857798129,0.8447520930742513,0.058780219535050526,0.21515439250687507,0.21459548800980388
GABAergic,Sst,Sst_10,0.6743330891592931,0.6067260989098762,214.0,3276.0,0.6176284756274354,0.5623076295812511,0.7364509998580118,0.6778833373219624,-0.06760699024941696,0.11882252423057638,0.11557570774071124
GABAergic,Sst,Sst_11,0.20933557296696323,0.23574878979150368,427.0,3143.0,0.15512182180304798,0.18544655717724456,0.35978464944337263,0.5217291568274782,0.026413216824540453,0.20466282764032465,0.33628259965023366
GABAergic,Sst,Sst_12,0.7612772736571891,0.771011854238486,145.0,677.0,0.663492410113558,0.6472262472549885,0.839430830117765,0.835245367135524,0.009734580581296837,0.175938420004207,0.18801911988053555
GABAergic,Sst,Sst_13,0.6356090838243849,0.6038585997349777,728.0,1986.0,0.5468846394273646,0.5643784985325335,0.7342575776904913,0.6496025033786045,-0.03175048408940717,0.18737293826312662,0.08522400484607096
GABAergic,Sst,Sst_19,0.5430210600339906,0.5540052720067934,804.0,3649.0,0.4831629808769928,0.517927736621199,0.6065377557936353,0.5847415203312715,0.010984211972802749,0.12337477491664256,0.06681378371007252
GABAergic,Sst,Sst_2,0.3863598456999736,0.3210172480957289,452.0,1311.0,0.2890482244033351,0.23171089759769406,0.5030850872041626,0.4539405789023693,-0.06534259760424471,0.21403686280082745,0.22222968130467521
GABAergic,Sst,Sst_20,0.3072222781690367,0.2953085202956327,228.0,3248.0,0.21772802258006407,0.21939463331652242,0.4170313096897151,0.39893517200600953,-0.011913757873403985,0.199303287109651,0.1795405386894871
GABAergic,Sst,Sst_22,0.24545012325142712,0.26203283784302933,147.0,2296.0,0.17284226710643297,0.20500105838991417,0.3931557513053466,0.39812015321457644,0.01658271459160221,0.2203134841989136,0.19311909482466227
GABAergic,Sst,Sst_23,0.18271475961269018,0.1964237744903318,243.0,253.0,0.1452616131329701,0.16342300608901103,0.25781685171135316,0.22568394646013412,0.013709014877641618,0.11255523857838307,0.06226094037112309
GABAergic,Sst,Sst_25,0.31499849427345644,0.21753517520110324,563.0,1414.0,0.20198475210957245,0.18940227596560305,0.4415817549717832,0.26743678950279726,-0.0974633190723532,0.23959700286221075,0.0780345135371942
GABAergic,Sst,Sst_3,0.4864761323883867,0.46173654180350066,558.0,2354.0,0.4127559515986416,0.36078185158206566,0.5525980776197434,0.5453595690774848,-0.024739590584886062,0.13984212602110185,0.18457771749541918
GABAergic,Sst,Sst_4,0.7289674006407744,0.7267671847772811,174.0,651.0,0.6356321184308247,0.6159122440760767,0.8095611161629532,0.8215865429679114,-0.0022002158634932822,0.17392899773212855,0.20567429889183475
GABAergic,Sst,Sst_5,0.7402868500823627,0.6629835873000309,350.0,1450.0,0.64669484480499,0.5964594840122556,0.8186400504639456,0.805924012280731,-0.0773032627823318,0.17194520565895566,0.2094645282684754
GABAergic,Sst,Sst_7,0.8047125703166287,0.7954662205573154,58.0,425.0,0.6803161506118395,0.6800508073755649,0.8591875553722811,0.8465739114383752,-0.009246349759313266,0.1788714047604416,0.16652310406281035
GABAergic,Sst,Sst_9,0.6012569898612904,0.6067336791970351,1523.0,925.0,0.4741675489616912,0.5673860028374702,0.7030856693045578,0.6552470256454642,0.005476689335744744,0.22891812034286663,0.08786102280799402
