Subject,488 Channel,568 Channel,Area (um^2),Layer,,,
986 - L - 15,24,1,,5/6,,,
986 - L - 16,24,1,,5/6,,,
986 - L - 17,17,0,,5/6,,,
986 - L - 18,21,0,,5/6,,,
986 - L - 19,23,0,,5/6,,,
986 - L - 20,23,0,,5/6,,,
986 - R - 1,10,3,82362488.00,2/3,,,
986 - R - 2,3,2,,2/3,,,
986 - R - 3,3,3,,2/3,,,
986 - R - 4,3,3,,2/3,,,
986 - R - 5,2,1,,2/3,,,
986 - R - 6,5,3,,2/3,,,
986 - R - 7,6,2,,2/3,,,
986 - R - 8,5,0,,2/3,,,
986 - R - 9,6,3,,2/3,,,
986 - R - 10,5,0,,2/3,,,
986 - R - 11,3,0,,5/6,,,
986 - R - 12,1,0,,5/6,,,
986 - R - 13,2,0,,5/6,,,
986 - R - 14,2,0,,5/6,,,
986 - R - 15,3,0,,5/6,,,
986 - R - 16,1,0,,5/6,,,
986 - R - 17,1,1,,5/6,,,
986 - R - 18,1,1,,5/6,,,
986 - R - 19,1,0,,5/6,,,
986 - R - 20,3,1,,5/6,,,
1010 - L - 1,21,2,23656451.00,2/3,,,
1010 - L - 2,24,1,,2/3,,,
1010 - L - 3,15,0,,2/3,,,
1010 - L - 4,22,0,,2/3,,,
1010 - L - 5,16,0,,2/3,,,
1010 - L - 6,7,0,,2/3,,,
1010 - L - 7,9,0,,2/3,,,
1010 - L - 8,27,0,,2/3,,,
1010 - L - 9,15,1,,2/3,,,
1010 - L - 10,5,0,,2/3,,,
1010 - L - 11,7,0,,5/6,,,
1010 - L - 12,3,0,,5/6,,,
1010 - L - 13,2,0,,5/6,,,
1010 - L - 14,11,2,,5/6,,,
1010 - L - 15,11,1,,5/6,,,
1010 - L - 16,3,0,,5/6,,,
1010 - L - 17,10,0,,5/6,,,
1010 - L - 18,8,0,,5/6,,,
1010 - L - 19,26,0,,5/6,,,
1010 - L - 20,8,0,,5/6,,,
1010 - R - 1,3,6,27173679.00,2/3,,,
1010 - R - 2,1,1,,2/3,,,
1010 - R - 3,7,0,,2/3,,,
1010 - R - 4,4,1,,2/3,,,
1010 - R - 5,1,0,,2/3,,,
1010 - R - 6,1,0,,2/3,,,
1010 - R - 7,6,0,,2/3,,,
1010 - R - 8,1,1,,2/3,,,
1010 - R - 9,2,2,,2/3,,,
1010 - R - 10,2,1,,2/3,,,
1010 - R - 11,4,0,,5/6,,,
1010 - R - 12,4,0,,5/6,,,
1010 - R - 13,2,0,,5/6,,,
1010 - R - 14,1,1,,5/6,,,
1010 - R - 15,1,0,,5/6,,,
1010 - R - 16,0,0,,5/6,,,
1010 - R - 17,0,0,,5/6,,,
1010 - R - 18,0,1,,5/6,,,
1010 - R - 19,4,0,,5/6,,,
1010 - R - 20,7,0,,5/6,,,
1020 - L - 1,16,0,78831909.00,2/3,,,
1020 - L - 2,16,1,,2/3,,,
1020 - L - 3,10,1,,2/3,,,
1020 - L - 4,12,0,,2/3,,,
1020 - L - 5,7,0,,2/3,,,
1020 - L - 6,12,0,,2/3,,,
1020 - L - 7,22,0,,2/3,,,
1020 - L - 8,25,4,,2/3,,,
1020 - L - 9,13,0,,2/3,,,
1020 - L - 10,9,0,,2/3,,,
1020 - L - 11,15,1,,5/6,,,
1020 - L - 12,4,0,,5/6,,,
1020 - L - 13,5,0,,5/6,,,
1020 - L - 14,23,1,,5/6,,,
1020 - L - 15,25,1,,5/6,,,
1020 - L - 16,12,0,,5/6,,,
1020 - L - 17,17,1,,5/6,,,
1020 - L - 18,30,1,,5/6,,,
1020 - L - 19,14,0,,5/6,,,
1020 - L - 20,24,0,,5/6,,,
1020 - R - 1,2,0,81202134.00,2/3,,,
1020 - R - 2,3,0,,2/3,,,
1020 - R - 3,1,2,,2/3,,,
1020 - R - 4,0,0,,2/3,,,
1020 - R - 5,2,0,,2/3,,,
1020 - R - 6,4,3,,2/3,,,
1020 - R - 7,2,0,,2/3,,,
1020 - R - 8,1,1,,2/3,,,
1020 - R - 9,3,0,,2/3,,,
1020 - R - 10,5,0,,2/3,,,
1020 - R - 11,3,4,,5/6,,,
1020 - R - 12,6,5,,5/6,,,
1020 - R - 13,2,2,,5/6,,,
1020 - R - 14,8,4,,5/6,,,
1020 - R - 15,1,0,,5/6,,,
1020 - R - 16,6,2,,5/6,,,
1020 - R - 17,1,2,,5/6,,,
1020 - R - 18,2,1,,5/6,,,
1020 - R - 19,2,4,,5/6,,,
1020 - R - 20,4,4,,5/6,,,
1041 - L - 1,21,0,,2/3,,,
1041 - L - 2,13,1,,2/3,,,
1041 - L - 3,13,0,,2/3,,,
1041 - L - 4,13,0,,2/3,,,
1041 - L - 5,16,0,,2/3,,,
1041 - L - 6,12,0,,2/3,,,
1041 - L - 7,14,1,,2/3,,,
1041 - L - 8,26,0,,2/3,,,
1041 - L - 9,27,1,,2/3,,,
1041 - L - 10,23,0,,2/3,,,
1041 - L - 11,16,0,,5/6,,,
1041 - L - 12,9,0,,5/6,,,
1041 - L - 13,16,0,,5/6,,,
1041 - L - 14,21,0,,5/6,,,
1041 - L - 15,24,0,,5/6,,,
1041 - L - 16,7,0,,5/6,,,
1041 - L - 17,6,0,,5/6,,,
1041 - L - 18,16,0,,5/6,,,
1041 - L - 19,26,0,,5/6,,,
1041 - L - 20,15,0,,5/6,,,
1041 - R - 1,5,1,67336698.00,2/3,,,
1041 - R - 2,1,3,,2/3,,,
1041 - R - 3,0,1,,2/3,,,
1041 - R - 4,3,0,,2/3,,,
1041 - R - 5,4,5,,2/3,,,
1041 - R - 6,3,7,,2/3,,,
1041 - R - 7,3,2,,2/3,,,
1041 - R - 8,2,2,,2/3,,,
1041 - R - 9,1,1,,2/3,,,
1041 - R - 10,3,1,,2/3,,,
1041 - R - 11,0,0,,5/6,,,
1041 - R - 12,2,3,,5/6,,,
1041 - R - 13,1,0,,5/6,,,
1041 - R - 14,1,1,,5/6,,,
1041 - R - 15,2,1,,5/6,,,
1041 - R - 16,0,0,,5/6,,,
1041 - R - 17,2,0,,5/6,,,
1041 - R - 18,0,0,,5/6,,,
1041 - R - 19,1,0,,5/6,,,
1041 - R - 20,0,1,,5/6,,,
1044 - L - 1,3,0,22726782.00,2/3,,,
1044 - L - 2,11,0,,2/3,,,
1044 - L - 3,4,0,,2/3,,,
1044 - L - 4,2,0,,2/3,,,
1044 - L - 5,2,0,,2/3,,,
1044 - L - 6,0,0,,2/3,,,
1044 - L - 7,3,0,,2/3,,,
1044 - L - 8,0,0,,2/3,,,
1044 - L - 9,0,0,,2/3,,,
1044 - L - 10,2,0,,2/3,,,
1044 - L - 11,7,0,,5/6,,,
1044 - L - 12,6,0,,5/6,,,
1044 - L - 13,0,0,,5/6,,,
1044 - L - 14,0,0,,5/6,,,
1044 - L - 15,0,0,,5/6,,,
1044 - L - 16,0,0,,5/6,,,
1044 - L - 17,0,0,,5/6,,,
1044 - L - 18,0,0,,5/6,,,
1044 - L - 19,0,0,,5/6,,,
1044 - L - 20,0,0,,5/6,,,
1044 - R - 1,0,0,20962422.00,2/3,,,
1044 - R - 2,0,2,,2/3,,,
1044 - R - 3,1,3,,2/3,,,
1044 - R - 4,0,0,,2/3,,,
1044 - R - 5,3,0,,2/3,,,
1044 - R - 6,4,0,,2/3,,,
1044 - R - 7,0,1,,2/3,,,
1044 - R - 8,0,0,,2/3,,,
1044 - R - 9,0,0,,2/3,,,
1044 - R - 10,0,0,,2/3,,,
1044 - R - 11,7,1,,5/6,,,
1044 - R - 12,1,0,,5/6,,,
1044 - R - 13,0,1,,5/6,,,
1044 - R - 14,1,0,,5/6,,,
1044 - R - 15,0,0,,5/6,,,
1044 - R - 16,0,0,,5/6,,,
1044 - R - 17,1,0,,5/6,,,
1044 - R - 18,1,0,,5/6,,,
1044 - R - 19,0,0,,5/6,,,
1044 - R - 20,3,0,,5/6,,,
1047 - L - 1,8,0,35622665.00,2/3,,,
1047 - L - 2,7,0,,2/3,,,
1047 - L - 3,6,0,,2/3,,,
1047 - L - 4,16,0,,2/3,,,
1047 - L - 5,15,2,,2/3,,,
1047 - L - 6,17,0,,2/3,,,
1047 - L - 7,26,0,,2/3,,,
1047 - L - 8,19,0,,2/3,,,
1047 - L - 9,12,0,,2/3,,,
1047 - L - 10,18,1,,2/3,,,
1047 - L - 11,26,1,,5/6,,,
1047 - L - 12,26,1,,5/6,,,
1047 - L - 13,24,1,,5/6,,,
1047 - L - 14,31,0,,5/6,,,
1047 - L - 15,10,0,,5/6,,,
1047 - L - 16,23,0,,5/6,,,
1047 - L - 17,22,2,,5/6,,,
1047 - L - 18,15,0,,5/6,,,
1047 - L - 19,6,0,,5/6,,,
1047 - L - 20,14,0,,5/6,,,
1047 - R - 1,5,2,7214948.00,2/3,,,
1047 - R - 2,4,3,,2/3,,,
1047 - R - 3,4,0,,2/3,,,
1047 - R - 4,3,3,,2/3,,,
1047 - R - 5,4,2,,2/3,,,
1047 - R - 6,6,5,,2/3,,,
1047 - R - 7,7,3,,2/3,,,
1047 - R - 8,2,1,,2/3,,,
1047 - R - 9,2,3,,2/3,,,
1047 - R - 10,1,1,,2/3,,,
1047 - R - 11,1,0,,5/6,,,
1047 - R - 12,1,0,,5/6,,,
1047 - R - 13,4,0,,5/6,,,
1047 - R - 14,0,0,,5/6,,,
1047 - R - 15,3,0,,5/6,,,
1047 - R - 16,3,0,,5/6,,,
1047 - R - 17,1,0,,5/6,,,
1047 - R - 18,3,0,,5/6,,,
1047 - R - 19,0,0,,5/6,,,
1047 - R - 20,1,0,,5/6,,,
1048 - L - 1,14,0,33174531.00,2/3,,,
1048 - L - 2,4,1,,2/3,,,
1048 - L - 3,3,0,,2/3,,,
1048 - L - 4,2,0,,2/3,,,
1048 - L - 5,2,0,,2/3,,,
1048 - L - 6,10,0,,2/3,,,
1048 - L - 7,9,1,,2/3,,,
1048 - L - 8,13,0,,2/3,,,
1048 - L - 9,5,0,,2/3,,,
1048 - L - 10,14,0,,2/3,,,
1048 - L - 11,24,2,,5/6,,,
1048 - L - 12,19,1,,5/6,,,
1048 - L - 13,12,0,,5/6,,,
1048 - L - 14,15,0,,5/6,,,
1048 - L - 15,15,1,,5/6,,,
1048 - L - 16,11,1,,5/6,,,
1048 - L - 17,14,0,,5/6,,,
1048 - L - 18,16,1,,5/6,,,
1048 - L - 19,15,0,,5/6,,,
1048 - L - 20,12,1,,5/6,,,
1048 - R - 1,4,1,31619731.00,2/3,,,
1048 - R - 2,1,3,,2/3,,,
1048 - R - 3,0,0,,2/3,,,
1048 - R - 4,1,0,,2/3,,,
1048 - R - 5,1,0,,2/3,,,
1048 - R - 6,3,4,,2/3,,,
1048 - R - 7,3,1,,2/3,,,
1048 - R - 8,1,1,,2/3,,,
1048 - R - 9,2,0,,2/3,,,
1048 - R - 10,3,1,,2/3,,,
1048 - R - 11,3,0,,5/6,,,
1048 - R - 12,1,0,,5/6,,,
1048 - R - 13,4,0,,5/6,,,
1048 - R - 14,5,0,,5/6,,,
1048 - R - 15,2,0,,5/6,,,
1048 - R - 16,0,0,,5/6,,,
1048 - R - 17,0,0,,5/6,,,
1048 - R - 18,1,0,,5/6,,,
1048 - R - 19,6,0,,5/6,,,
1048 - R - 20,2,0,,5/6,,,
1053 - L - 1,4,0,,2/3,,,
1053 - L - 2,10,0,,2/3,,,
1053 - L - 3,7,0,,2/3,,,
1053 - L - 4,18,0,,2/3,,,
1053 - L - 5,14,0,,2/3,,,
1053 - L - 6,3,0,,2/3,,,
1053 - L - 7,6,0,,2/3,,,
1053 - L - 8,26,1,,2/3,,,
1053 - L - 9,12,1,,2/3,,,
1053 - L - 10,18,0,,2/3,,,
1053 - L - 11,6,0,,5/6,,,
1053 - L - 12,8,0,,5/6,,,
1053 - L - 13,10,0,,5/6,,,
1053 - L - 14,14,0,,5/6,,,
1053 - L - 15,20,0,,5/6,,,
1053 - L - 16,11,1,,5/6,,,
1053 - L - 17,19,0,,5/6,,,
1053 - L - 18,18,0,,5/6,,,
1053 - L - 19,18,0,,5/6,,,
1053 - L - 20,23,0,,5/6,,,
1053 - R - 1,1,0,,2/3,,,
1053 - R - 2,1,0,,2/3,,,
1053 - R - 3,2,0,,2/3,,,
1053 - R - 4,4,0,,2/3,,,
1053 - R - 5,2,0,,2/3,,,
1053 - R - 6,2,0,,2/3,,,
1053 - R - 7,4,0,,2/3,,,
1053 - R - 8,2,0,,2/3,,,
1053 - R - 9,1,0,,2/3,,,
1053 - R - 10,4,0,,2/3,,,
1053 - R - 11,0,0,,5/6,,,
1053 - R - 12,1,2,,5/6,,,
1053 - R - 13,2,1,,5/6,,,
1053 - R - 14,5,0,,5/6,,,
1053 - R - 15,1,2,,5/6,,,
1053 - R - 16,0,0,,5/6,,,
1053 - R - 17,4,5,,5/6,,,
1053 - R - 18,1,2,,5/6,,,
1053 - R - 19,1,0,,5/6,,,
1053 - R - 20,2,3,,5/6,,,
1069 - L - 1,18,0,41395367.00,2/3,,,
1069 - L - 2,16,0,,2/3,,,
1069 - L - 3,14,0,,2/3,,,
1069 - L - 4,15,2,,2/3,,,
1069 - L - 5,8,0,,2/3,,,
1069 - L - 6,9,0,,2/3,,,
1069 - L - 7,8,0,,2/3,,,
1069 - L - 8,12,1,,2/3,,,
1069 - L - 9,7,0,,2/3,,,
1069 - L - 10,16,1,,2/3,,,
1069 - L - 11,21,0,,5/6,,,
1069 - L - 12,22,0,,5/6,,,
1069 - L - 13,10,0,,5/6,,,
1069 - L - 14,2,0,,5/6,,,
1069 - L - 15,8,0,,5/6,,,
1069 - L - 16,5,0,,5/6,,,
1069 - L - 17,15,0,,5/6,,,
1069 - L - 18,23,0,,5/6,,,
1069 - L - 19,16,0,,5/6,,,
1069 - L - 20,2,1,,5/6,,,
1069 - R - 1,5,0,34237372.00,2/3,,,
1069 - R - 2,8,5,,2/3,,,
1069 - R - 3,9,7,,2/3,,,
1069 - R - 4,8,4,,2/3,,,
1069 - R - 5,1,3,,2/3,,,
1069 - R - 6,8,6,,2/3,,,
1069 - R - 7,4,3,,2/3,,,
1069 - R - 8,4,0,,2/3,,,
1069 - R - 9,4,1,,2/3,,,
1069 - R - 10,6,1,,2/3,,,
1069 - R - 11,1,0,,5/6,,,
1069 - R - 12,0,0,,5/6,,,
1069 - R - 13,2,0,,5/6,,,
1069 - R - 14,1,0,,5/6,,,
1069 - R - 15,0,0,,5/6,,,
1069 - R - 16,3,0,,5/6,,,
1069 - R - 17,2,1,,5/6,,,
1069 - R - 18,0,0,,5/6,,,
1069 - R - 19,4,1,,5/6,,,
1069 - R - 20,3,3,,5/6,,,
1071 - L - 1,17,0,42245437.00,2/3,,,
1071 - L - 2,16,0,,2/3,,,
1071 - L - 3,10,0,,2/3,,,
1071 - L - 4,23,0,,2/3,,,
1071 - L - 5,19,0,,2/3,,,
1071 - L - 6,13,0,,2/3,,,
1071 - L - 7,33,0,,2/3,,,
1071 - L - 8,16,0,,2/3,,,
1071 - L - 9,14,1,,2/3,,,
1071 - L - 10,22,0,,2/3,,,
1071 - L - 11,21,0,,5/6,,,
1071 - L - 12,14,0,,5/6,,,
1071 - L - 13,19,0,,5/6,,,
1071 - L - 14,5,0,,5/6,,,
1071 - L - 15,11,0,,5/6,,,
1071 - L - 16,11,0,,5/6,,,
1071 - L - 17,4,0,,5/6,,,
1071 - L - 18,6,0,,5/6,,,
1071 - L - 19,3,0,,5/6,,,
1071 - L - 20,6,0,,5/6,,,
1071 - R - 1,5,2,40894202.00,2/3,,,
1071 - R - 2,4,0,,2/3,,,
1071 - R - 3,2,1,,2/3,,,
1071 - R - 4,2,0,,2/3,,,
1071 - R - 5,5,3,,2/3,,,
1071 - R - 6,4,0,,2/3,,,
1071 - R - 7,5,0,,2/3,,,
1071 - R - 8,0,1,,2/3,,,
1071 - R - 9,3,1,,2/3,,,
1071 - R - 10,6,1,,2/3,,,
1071 - R - 11,2,0,,5/6,,,
1071 - R - 12,1,0,,5/6,,,
1071 - R - 13,0,0,,5/6,,,
1071 - R - 14,1,1,,5/6,,,  
1071 - R - 15,0,1,,5/6,,,
1071 - R - 16,1,0,,5/6,,,
1071 - R - 17,0,1,,5/6,,,
1071 - R - 18,1,0,,5/6,,,
1071 - R - 19,2,0,,5/6,,,
1071 - R - 20,0,1,,5/6,,,
1086 - L - 1,6,0,56158531.00,2/3,,,
1086 - L - 2,6,2,,2/3,,,
1086 - L - 3,9,0,,2/3,,,
1086 - L - 4,6,0,,2/3,,,
1086 - L - 5,4,0,,2/3,,,
1086 - L - 6,5,1,,2/3,,,
1086 - L - 7,7,0,,2/3,,,
1086 - L - 8,1,0,,2/3,,,
1086 - L - 9,2,0,,2/3,,,
1086 - L - 10,9,0,,2/3,,,
1086 - L - 11,6,0,,5/6,,,
1086 - L - 12,6,0,,5/6,,,
1086 - L - 13,11,0,,5/6,,,
1086 - L - 14,14,0,,5/6,,,
1086 - L - 15,11,0,,5/6,,,
1086 - L - 16,11,0,,5/6,,,
1086 - L - 17,11,0,,5/6,,,
1086 - L - 18,16,0,,5/6,,,
1086 - L - 19,6,0,,5/6,,,
1086 - L - 20,10,1,,5/6,,,
1086 - R - 1,1,2,61855014.00,2/3,,,
1086 - R - 2,5,2,,2/3,,,
1086 - R - 3,1,5,,2/3,,,
1086 - R - 4,2,1,,2/3,,,
1086 - R - 5,2,0,,2/3,,,
1086 - R - 6,3,0,,2/3,,,
1086 - R - 7,6,2,,2/3,,,
1086 - R - 8,2,1,,2/3,,,
1086 - R - 9,2,0,,2/3,,,
1086 - R - 10,1,0,,2/3,,,
1086 - R - 11,0,0,,5/6,,,
1086 - R - 12,5,0,,5/6,,,
1086 - R - 13,3,0,,5/6,,,
1086 - R - 14,1,0,,5/6,,,
1086 - R - 15,1,0,,5/6,,,
1086 - R - 16,2,1,,5/6,,,
1086 - R - 17,1,0,,5/6,,,
1086 - R - 18,4,2,,5/6,,,
1086 - R - 19,2,0,,5/6,,,
1086 - R - 20,1,0,,5/6,,,
1088 - L - 1,18,0,56072679.00,2/3,,,
1088 - L - 2,18,0,,2/3,,,
1088 - L - 3,8,3,,2/3,,,
1088 - L - 4,10,0,,2/3,,,
1088 - L - 5,10,1,,2/3,,,
1088 - L - 6,14,0,,2/3,,,
1088 - L - 7,16,0,,2/3,,,
1088 - L - 8,8,0,,2/3,,,
1088 - L - 9,4,1,,2/3,,,
1088 - L - 10,5,0,,2/3,,,
1088 - L - 11,0,0,,5/6,,,
1088 - L - 12,1,0,,5/6,,,
1088 - L - 13,3,0,,5/6,,,
1088 - L - 14,4,0,,5/6,,,
1088 - L - 15,1,0,,5/6,,,
1088 - L - 16,6,0,,5/6,,,
1088 - L - 17,12,0,,5/6,,,
1088 - L - 18,0,0,,5/6,,,
1088 - L - 19,2,0,,5/6,,,
1088 - L - 20,2,0,,5/6,,,
1092 - L - 1,19,6,78914550.00,2/3,,,
1092 - L - 2,23,2,,2/3,,,
1092 - L - 3,10,0,,2/3,,,
1092 - L - 4,23,0,,2/3,,,
1092 - L - 5,10,0,,2/3,,,
1092 - L - 6,15,0,,2/3,,,
1092 - L - 7,16,2,,2/3,,,
1092 - L - 8,16,0,,2/3,,,
1092 - L - 9,12,0,,2/3,,,
1092 - L - 10,11,0,,2/3,,,
1092 - L - 11,22,0,,5/6,,,
1092 - L - 12,13,2,,5/6,,,
1092 - L - 13,16,0,,5/6,,,
1092 - L - 14,16,1,,5/6,,,
1092 - L - 15,11,0,,5/6,,,
1092 - L - 16,17,0,,5/6,,,
1092 - L - 17,19,1,,5/6,,,
1092 - L - 18,9,0,,5/6,,,
1092 - L - 19,6,0,,5/6,,,
1092 - L - 20,4,0,,5/6,,,
1092 - R - 1,4,2,76881818.00,2/3,,,
1092 - R - 2,1,1,,2/3,,,
1092 - R - 3,5,0,,2/3,,,
1092 - R - 4,2,0,,2/3,,,
1092 - R - 5,4,3,,2/3,,,
1092 - R - 6,3,1,,2/3,,,
1092 - R - 7,3,3,,2/3,,,
1092 - R - 8,7,0,,2/3,,,
1092 - R - 9,2,2,,2/3,,,
1092 - R - 10,3,0,,2/3,,,
1092 - R - 11,2,0,,5/6,,,
1092 - R - 12,1,0,,5/6,,,
1092 - R - 13,2,1,,5/6,,,
1092 - R - 14,2,0,,5/6,,,
1092 - R - 15,2,0,,5/6,,,
1092 - R - 16,0,0,,5/6,,,
1092 - R - 17,5,0,,5/6,,,
1092 - R - 18,1,2,,5/6,,,
1092 - R - 19,2,2,,5/6,,,
1092 - R - 20,2,1,,5/6,,,
1102 - L - 1,13,0,45934538.00,2/3,,,
1102 - L - 2,17,1,,2/3,,,
1102 - L - 3,9,0,,2/3,,,
1102 - L - 4,11,0,,2/3,,,
1102 - L - 5,22,0,,2/3,,,
1102 - L - 6,8,0,,2/3,,,
1102 - L - 7,11,0,,2/3,,,
1102 - L - 8,12,1,,2/3,,,
1102 - L - 9,15,1,,2/3,,,
1102 - L - 10,13,1,,2/3,,,
1102 - L - 11,3,0,,5/6,,,
1102 - L - 12,12,0,,5/6,,,
1102 - L - 13,20,0,,5/6,,,
1102 - L - 14,33,1,,5/6,,,
1102 - L - 15,19,1,,5/6,,,
1102 - L - 16,3,0,,5/6,,,
1102 - L - 17,12,0,,5/6,,,
1102 - L - 18,12,2,,5/6,,,
1102 - L - 19,26,1,,5/6,,,
1102 - L - 20,15,1,,5/6,,,
1102 - R - 1,5,3,44340192.00,2/3,,,
1102 - R - 2,2,1,,2/3,,,
1102 - R - 3,6,2,,2/3,,,
1102 - R - 4,9,2,,2/3,,,
1102 - R - 5,5,3,,2/3,,,
1102 - R - 6,3,3,,2/3,,,
1102 - R - 7,6,11,,2/3,,,
1102 - R - 8,2,2,,2/3,,,
1102 - R - 9,1,3,,2/3,,,
1102 - R - 10,5,6,,2/3,,,
1102 - R - 11,2,1,,5/6,,,
1102 - R - 12,0,0,,5/6,,,
1102 - R - 13,5,2,,5/6,,,
1102 - R - 14,2,0,,5/6,,,
1102 - R - 15,1,1,,5/6,,,
1102 - R - 16,1,1,,5/6,,,
1102 - R - 17,3,2,,5/6,,,
1102 - R - 18,0,0,,5/6,,,
1102 - R - 19,2,4,,5/6,,,
1102 - R - 20,3,1,,5/6,,,
1121 - L - 1,16,1,44654025.00,2/3,,,
1121 - L - 2,18,0,,2/3,,,
1121 - L - 3,20,0,,2/3,,,
1121 - L - 4,16,0,,2/3,,,
1121 - L - 5,12,0,,2/3,,,
1121 - L - 6,12,0,,2/3,,,
1121 - L - 7,12,0,,2/3,,,
1121 - L - 8,16,0,,2/3,,,
1121 - L - 9,12,1,,2/3,,,
1121 - L - 10,17,0,,2/3,,,
1121 - L - 11,10,0,,5/6,,,
1121 - L - 12,11,0,,5/6,,,
1121 - L - 13,10,1,,5/6,,,
1121 - L - 14,16,1,,5/6,,,
1121 - L - 15,19,1,,5/6,,,
1121 - L - 16,17,0,,5/6,,,
1121 - L - 17,23,0,,5/6,,,
1121 - L - 18,3,0,,5/6,,,
1121 - L - 19,8,0,,5/6,,,
1121 - L - 20,6,0,,5/6,,,
1121 - R - 1,2,2,51707409.00,2/3,,,
1121 - R - 2,3,5,,2/3,,,
1121 - R - 3,6,1,,2/3,,,
1121 - R - 4,1,0,,2/3,,,
1121 - R - 5,2,2,,2/3,,,
1121 - R - 6,5,2,,2/3,,,
1121 - R - 7,5,1,,2/3,,,
1121 - R - 8,2,3,,2/3,,,
1121 - R - 9,7,1,,2/3,,,
1121 - R - 10,3,2,,2/3,,,
1121 - R - 11,0,1,,5/6,,,
1121 - R - 12,1,0,,5/6,,,
1121 - R - 13,1,1,,5/6,,,
1121 - R - 14,1,0,,5/6,,,
1121 - R - 15,1,2,,5/6,,,
1121 - R - 16,4,0,,5/6,,,
1121 - R - 17,2,1,,5/6,,,
1121 - R - 18,0,0,,5/6,,,
1121 - R - 19,1,0,,5/6,,,
1121 - R - 20,5,1,,5/6,,,
1130 - L - 1,0,0,40504061.00,2/3,,,
1130 - L - 2,20,0,,2/3,,,
1130 - L - 3,14,0,,2/3,,,
1130 - L - 4,14,0,,2/3,,,
1130 - L - 5,11,0,,2/3,,,
1130 - L - 6,14,0,,2/3,,,
1130 - L - 7,9,0,,2/3,,,
1130 - L - 8,13,0,,2/3,,,
1130 - L - 9,32,0,,2/3,,,
1130 - L - 10,10,0,,2/3,,,
1130 - L - 11,15,0,,5/6,,,
1130 - L - 12,4,0,,5/6,,,
1130 - L - 13,9,0,,5/6,,,
1130 - L - 14,26,0,,5/6,,,
1130 - L - 15,24,0,,5/6,,,
1130 - L - 16,25,0,,5/6,,,
1130 - L - 17,22,1,,5/6,,,
1130 - L - 18,13,2,,5/6,,,
1130 - L - 19,23,2,,5/6,,,
1130 - L - 20,21,0,,5/6,,,
1130 - R - 1,9,1,42793504.00,2/3,,,
1130 - R - 2,3,4,,2/3,,,
1130 - R - 3,1,1,,2/3,,,
1130 - R - 4,3,4,,2/3,,,
1130 - R - 5,2,5,,2/3,,,
1130 - R - 6,1,2,,2/3,,,
1130 - R - 7,2,3,,2/3,,,
1130 - R - 8,4,1,,2/3,,,
1130 - R - 9,1,4,,2/3,,,
1130 - R - 10,2,3,,2/3,,,
1130 - R - 11,3,0,,5/6,,,
1130 - R - 12,2,1,,5/6,,,
1130 - R - 13,1,0,,5/6,,,
1130 - R - 14,5,0,,5/6,,,
1130 - R - 15,1,0,,5/6,,,
1130 - R - 16,1,0,,5/6,,,
1130 - R - 17,1,0,,5/6,,,
1130 - R - 18,1,0,,5/6,,,
1130 - R - 19,1,0,,5/6,,,
1130 - R - 20,1,1,,5/6,,,
1131 - L - 1,17,0,47127509.00,2/3,,,
1131 - L - 2,30,1,,2/3,,,
1131 - L - 3,13,0,,2/3,,,
1131 - L - 4,16,1,,2/3,,,
1131 - L - 5,12,0,,2/3,,,
1131 - L - 6,10,0,,2/3,,,
1131 - L - 7,5,0,,2/3,,,
1131 - L - 8,16,0,,2/3,,,
1131 - L - 9,13,0,,2/3,,,
1131 - L - 10,16,1,,2/3,,,
1131 - L - 11,5,0,,5/6,,,
1131 - L - 12,1,0,,5/6,,,
1131 - L - 13,9,0,,5/6,,,
1131 - L - 14,4,0,,5/6,,,
1131 - L - 15,18,0,,5/6,,,
1131 - L - 16,3,0,,5/6,,,
1131 - L - 17,5,0,,5/6,,,
1131 - L - 18,14,0,,5/6,,,
1131 - L - 19,5,0,,5/6,,,
1131 - L - 20,6,0,,5/6,,,
1131 - R - 1,2,5,51626289.00,2/3,,,
1131 - R - 2,4,4,,2/3,,,
1131 - R - 3,5,2,,2/3,,,
1131 - R - 4,6,2,,2/3,,,
1131 - R - 5,4,2,,2/3,,,
1131 - R - 6,4,2,,2/3,,,
1131 - R - 7,5,1,,2/3,,,
1131 - R - 8,4,2,,2/3,,,
1131 - R - 9,2,3,,2/3,,,
1131 - R - 10,11,2,,2/3,,,
1131 - R - 11,2,0,,5/6,,,
1131 - R - 12,1,2,,5/6,,,
1131 - R - 13,0,0,,5/6,,,
1131 - R - 14,1,1,,5/6,,,
1131 - R - 15,1,0,,5/6,,,
1131 - R - 16,1,1,,5/6,,,
1131 - R - 17,2,1,,5/6,,,
1131 - R - 18,2,0,,5/6,,,
1131 - R - 19,3,1,,5/6,,,
1131 - R - 20,2,1,,5/6,,,
1143 - L - 1,4,0,94685292.00,2/3,,,
1143 - L - 2,0,0,,2/3,,,
1143 - L - 3,10,0,,2/3,,,
1143 - L - 4,0,0,,2/3,,,
1143 - L - 5,10,0,,2/3,,,
1143 - L - 6,11,0,,2/3,,,
1143 - L - 7,11,0,,2/3,,,
1143 - L - 8,9,0,,2/3,,,
1143 - L - 9,0,0,,2/3,,,
1143 - L - 10,2,0,,2/3,,,
1143 - L - 11,1,0,,5/6,,,
1143 - L - 12,1,1,,5/6,,,
1143 - L - 13,4,2,,5/6,,,
