"CellType","estimate","se","zval","pval","I2","ci.lb","ci.ub","k","padj"
"Endo_1",0.172827601432809,0.0810908003711875,2.13128493789311,0.0330656751688677,71.0227548764298,0.0138925532277543,0.331762649637864,4,0.157061957052121
"Micro-PVM_2",-0.130977743809372,0.0743431524377036,-1.761799701985,0.0781031451266595,60.1608369759136,-0.276687645084442,0.0147321574656986,7,0.262570050573404
"Astro_3",0.221002691825535,0.0961580737545088,2.29832694433703,0.0215431880234466,0,0.0325363304439517,0.409469053207119,7,0.136440190815162
"Astro_2",0.120656863901718,0.0807238301049197,1.49468705517189,0.134996134215455,54.3911177803803,-0.0375589357980547,0.278872663601491,7,0.328371751785942
"OPC_2_1-SEAAD",0.220025887466335,0.0899216236733595,2.44686292882766,0.0144105631761616,49.5012562234884,0.0437827436351863,0.396269031297484,5,0.136440190815162
"Oligo_2_1-SEAAD",0.127666981638075,0.073625417117691,1.7340069046264,0.0829168580758119,65.8474172498322,-0.0166361842593385,0.271970147535488,7,0.262570050573404
"Endo_3",0.23156060899084,0.0924790947460618,2.50392382869536,0.0122824473875107,73.17968570965,0.0503049139656917,0.412816304015989,3,0.136440190815162
"Oligo_3",-0.121724418881221,0.085708323662561,-1.42021700669888,0.155544514003867,17.411041718407,-0.289709646435143,0.0462608086727007,6,0.328371751785942
"Oligo_1",0.0733197049347485,0.101004053148187,0.725908541780777,0.467894839722135,0,-0.124644601528267,0.271284011397764,7,0.683846304209274
"OPC_2",0.0163299096461596,0.0504401314333866,0.323748356360364,0.746128557695665,31.128443740657,-0.0825309313387448,0.115190750631064,7,0.746128557695665
"Micro-PVM_1",0.0496639427845672,0.0786006445697489,0.631851596846591,0.527483854445129,72.1793378249315,-0.104390489733774,0.203718375302909,7,0.715870945318389
"Oligo_2",0.0299120403718234,0.08567894383812,0.349117753229295,0.727000908967126,30.6486191891266,-0.138015603784322,0.197839684527968,7,0.746128557695665
"VLMC_1",-0.0310406912720724,0.0710780120523406,-0.436712991483422,0.662319506315139,0,-0.170351034987364,0.108269652443219,6,0.746128557695665
"Astro_5",0.0323379587642541,0.080233940163703,0.403045876823128,0.686914475350855,52.228109301021,-0.124917674294346,0.189593591822854,6,0.746128557695665
"OPC_1",-0.0462711368348543,0.0894124974081473,-0.517501894882069,0.604805846514834,24.8880908485994,-0.221516411522604,0.128974137852895,7,0.746128557695665
"Astro_4",0.108733488600414,0.0755692078621799,1.43885971120298,0.15019027443655,34.8868370221738,-0.0393794371496792,0.256846414350508,7,0.328371751785942
"Micro-PVM_2_1-SEAAD",0.104464925559084,0.0948999063835593,1.10079060707252,0.270987800729002,0,-0.081535473088915,0.290465324207083,2,0.514876821385105
"Oligo_4",-0.0739010975219009,0.0899042024781905,-0.821998254640301,0.411077890255447,0,-0.250110096437951,0.102307901394149,7,0.650873326237791
"Endo_2",-0.0751813506348889,0.0738512991250856,-1.01800985934656,0.308673270628884,0,-0.219927237131551,0.0695645358617733,7,0.533162921995345
