CellType,logFC,AveExpr,t,P.Value,adj.P.Val,Cohort
Endo_1,0.556549804661508,-3.0915693010702032,3.407317273149302,8.74737953685498e-4,0.01662002112002446,HBCC
Micro-PVM_2,-0.3242206107102764,1.9056631312935914,-2.509006743126733,0.013342309848660732,0.11520224105610126,HBCC
Astro_3,0.4103607992147266,-1.0040145938673732,2.3921166723472265,0.018189827535173883,0.11520224105610126,HBCC
Astro_2,0.38685008249760233,2.983936096316517,2.2149041746065867,0.028516551907012723,0.13545362155831042,HBCC
OPC_2_1-SEAAD,0.28713212545707656,-3.2132818656178,1.9582750810948768,0.052349417225844526,0.17030335828422705,HBCC
Oligo_2_1-SEAAD,0.2684624699625017,-3.1267769880626752,1.879081350641885,0.06248309217386114,0.17030335828422705,HBCC
Endo_3,0.27197487754018557,-3.1462669635546554,1.877194049777228,0.06274334252576785,0.17030335828422705,HBCC
Oligo_3,-0.263179621661651,-1.6333890779675537,-1.6168116929630216,0.10835461107096359,0.2573422012935385,HBCC
Oligo_1,0.2914132316468556,2.2969195114311414,1.468374920761143,0.14442947356460192,0.30490666641415964,HBCC
OPC_2,0.10706712119560954,2.883432231431181,1.1222097429905515,0.26385158306865913,0.5013180078304523,HBCC
Micro-PVM_1,-0.12647350885440062,0.5478494715840052,-0.8899701949474688,0.37513375038705743,0.6479582961230992,HBCC
Oligo_2,0.11488407733368858,3.3864931132830964,0.7286182845460124,0.46755197545943206,0.6836474372145767,HBCC
VLMC_1,0.1020035869704852,1.1009443772547134,0.6768944779931351,0.49968135431718474,0.6836474372145767,HBCC
Astro_5,0.09436344913383637,-0.14621155747145081,0.6704905475825951,0.5037402168949512,0.6836474372145767,HBCC
OPC_1,-0.09472212333330945,-1.682501191543306,-0.5454958302855755,0.5863517751755829,0.7049239093310873,HBCC
Astro_4,-0.07445149217842702,0.7769190327643393,-0.5349246315882203,0.5936201341735472,0.7049239093310873,HBCC
Micro-PVM_2_1-SEAAD,0.03137589654832698,-3.202242753884805,0.22913189382101046,0.8191282135462948,0.9154962386693883,HBCC
Oligo_4,0.03504344256675861,2.75531992939317,0.16253693225121327,0.8711366297071181,0.9195331091352914,HBCC
Endo_2,0.008216720785226785,1.6087773982880667,0.052938570868778366,0.9578625041253641,0.9578625041253641,HBCC
Oligo_2_1-SEAAD,0.3754293876257161,-2.863734375973187,3.0009529578190683,0.003064384812637298,0.056574700078259266,MSSM 2
Micro-PVM_1,0.3790946466839495,0.7320479662156927,2.7825542203153404,0.005955231587185186,0.056574700078259266,MSSM 2
Endo_3,0.2683039333276495,-2.9848484860055766,2.190618891595431,0.02973504251919418,0.18832193595489646,MSSM 2
OPC_2_1-SEAAD,0.26315981841175756,-2.9610947067911306,1.9181371138379042,0.056640406052258424,0.2690419287482275,MSSM 2
Endo_1,0.20769420364477975,-2.9405181527923725,1.581558346568547,0.11546612838169215,0.3722788022410414,MSSM 2
Micro-PVM_2,0.19190707570451696,2.2736198430604007,1.5724531773573238,0.11756172702348676,0.3722788022410414,MSSM 2
Oligo_3,-0.23152615435026275,-1.4649590223859292,-1.4052341359887308,0.1616361124039592,0.43872659081074644,MSSM 2
Micro-PVM_2_1-SEAAD,0.172012194456991,-2.956514718356605,1.306684789740786,0.19294899355801273,0.45825385970028026,MSSM 2
Astro_4,0.13052905134356937,0.5712643800093603,1.0172333484129512,0.31037679045502253,0.6552398909606031,MSSM 2
Oligo_2,-0.1066749668577909,3.2767769385624845,-0.7750938563886794,0.4392781703003199,0.8337603794453067,MSSM 2
Astro_2,-0.09225102631159676,3.2066317745219037,-0.7033860760066377,0.4827033775735986,0.8337603794453067,MSSM 2
Oligo_1,-0.09533668443873347,2.341111368966541,-0.5339274401735493,0.5940355492159068,0.8877234266860736,MSSM 2
Endo_2,-0.06780320123184293,0.4486540275560228,-0.5146857359269101,0.6073897129957346,0.8877234266860736,MSSM 2
Oligo_4,0.08738675172538786,2.669047937085454,0.42160630028902035,0.6738040491566621,0.9144483524268987,MSSM 2
Astro_3,0.046116810258574475,-0.8248027910312649,0.24695437639907622,0.805218577554676,0.9669989284084393,MSSM 2
VLMC_1,0.02285013058085108,0.6201929643149231,0.17838479819434747,0.8586168425305016,0.9669989284084393,MSSM 2
OPC_2,-0.013444435296443853,2.940878714566109,-0.1465750370284388,0.8836277663911085,0.9669989284084393,MSSM 2
OPC_1,0.006653348533676886,-1.5569029443478672,0.04244389177223706,0.9661908160510653,0.9669989284084393,MSSM 2
Astro_5,-0.0055542018829438525,-0.5268507171749592,-0.041428800372356675,0.9669989284084393,0.9669989284084393,MSSM 2
Astro_2,0.5438860943686025,3.156530894341297,2.982213892684664,0.004154238078874003,0.03791964004932363,Fröhlich
Micro-PVM_2,-0.5341383711081757,1.8697130219260854,-2.977228936259241,0.004213293338813737,0.03791964004932363,Fröhlich
Micro-PVM_1,-0.3321354741201715,1.8480868305890497,-2.0212699963128835,0.04779344399355518,0.2867606639613311,Fröhlich
Oligo_2_1-SEAAD,-0.25524217871176536,-3.879086065088449,-1.790486765877147,0.078503523827111385,0.3532658572220012,Fröhlich
Astro_4,0.26678216975053554,2.0503181700936803,1.592129156270946,0.11669669456745073,0.42010810044282265,Fröhlich
Astro_5,0.2659942470237589,-0.34044600287514604,1.3874973299569866,0.1705057145942078,0.45440913718162473,Fröhlich
OPC_1,-0.22643225669257938,0.5337869709136894,-1.3262299955919552,0.18987181230364308,0.45440913718162473,Fröhlich
VLMC_1,-0.15319167917004478,1.8913774575027236,-1.2903523288679675,0.20195961652516656,0.45440913718162473,Fröhlich
Endo_2,-0.14412766450389014,1.543597480674588,-1.1218044398221432,0.2664878374511277,0.5329756749022554,Fröhlich
Oligo_4,-0.1211346808298409,3.3908421360724357,-0.8891573198659609,0.3775274578976011,0.6497713131765588,Fröhlich
Endo_1,-0.11484331815649128,-3.879086065088449,-0.8530445772015708,0.3970824691634526,0.6497713131765588,Fröhlich
Oligo_2,0.17589499477120335,0.08850753593248364,0.7491187465050496,0.45676028725345574,0.6851404308801836,Fröhlich
OPC_2,0.054565534016882,2.868538205268127,0.6055269584933817,0.5471498930634278,0.7575921596262846,Fröhlich
Astro_3,0.1052438606403493,1.2539476843356463,0.5011404687590365,0.6181358479694824,0.7785188812172579,Fröhlich
Oligo_3,-0.0775735595781251,-3.24470700926335,-0.45781537535394107,0.6487657343477149,0.7785188812172579,Fröhlich
Oligo_1,0.06154757615685608,-2.1161794950630113,0.28870624608842455,0.7738175289361522,0.8705447200531712,Fröhlich
Astro_1,-0.014948537272935693,-3.9511262151650466,-0.14763981808701065,0.883130129479466,0.9350789606253169,Fröhlich
OPC_2_1-SEAAD,-0.010431882534751335,-3.0846155351063533,-0.040473252233030006,0.9678524012594032,0.9678524012594032,Fröhlich
Astro_4,1.1941031187567621,-1.0150315951235367,2.358687570747388,0.030291584986922013,0.36349901984306415,Batiuk
Oligo_2_1-SEAAD,-1.5042714399625408,-1.0443227057757931,-1.8070756290363448,0.08810148501971614,0.5286089101182968,Batiuk
Oligo_4,-0.7459890715444095,2.2517076739533253,-1.2533721756283374,0.22667760680494492,0.6664778678605736,Batiuk
Astro_3,-0.7959432647061665,-0.7220782951981713,-1.1639273521957925,0.26019077729853624,0.6664778678605736,Batiuk
OPC_2,0.7143712824800641,-0.6655817941195605,1.1206299932504644,0.27769911160857236,0.6664778678605736,Batiuk
Oligo_2,0.4522731797829231,0.3201553054430341,0.7766603510364806,0.4478060301868414,0.7911288491480138,Batiuk
Astro_2,-0.3453736951945327,1.939482612218762,-0.7530710232298333,0.46149182866967475,0.7911288491480138,Batiuk
Micro-PVM_2,-0.4231744700936553,-0.8478729614141994,-0.5469291313893049,0.5913845608632144,0.8275808160653106,Batiuk
Endo_2,0.30292694135284104,3.337752373397776,0.5038658121554251,0.620685612048983,0.8275808160653106,Batiuk
OPC_1,0.049582000545848784,-1.5019095985393234,0.0899557849936317,0.929351392338891,0.990725506657157,Batiuk
Oligo_1,-0.053699499710430525,-0.8567327396452948,-0.08967208534807794,0.9295735699386242,0.990725506657157,Batiuk
Micro-PVM_1,0.0073113015106632895,-1.1955682751970174,0.0117925392587135,0.990725506657157,0.990725506657157,Batiuk
OPC_1,0.9034284514234562,-1.8953860051642413,2.042017927876497,0.04952516497540625,0.574768168460662,McLean
Oligo_2,-0.5517735237483199,3.194603670797781,-1.7202289327350222,0.09511923940009397,0.574768168460662,McLean
Micro-PVM_1,0.663990704422683,-2.451274763937908,1.6550137052735578,0.10776903158637414,0.574768168460662,McLean
OPC_2_1-SEAAD,0.5897280684890919,-2.0440362786806734,1.4511609850240268,0.15653849839420814,0.6261539935768325,McLean
Oligo_3,0.36561658906018246,-2.8358321756780294,1.2288310505746154,0.2281599545367782,0.7121483326147575,McLean
Astro_4,0.3613329809880763,0.627227099355104,1.0696889213810483,0.2928194827262612,0.7121483326147575,McLean
OPC_2,-0.22483098809933658,2.5218403520031654,-0.9798923336872101,0.3345427513300073,0.7121483326147575,McLean
Oligo_1,-0.4292751652216563,0.2717836486368716,-0.9365128438683252,0.35607416630737876,0.7121483326147575,McLean
