CellType,logFC,AveExpr,t,P.Value,adj.P.Val,Cohort
L4 IT_3,0.32076006232375615,-1.564166728355852,2.2143989363979784,0.02848545587324654,0.8024430516729104,HBCC
L6 CT_4,0.37516381188159237,-2.184514861480249,2.1802040531434144,0.03098280289740567,0.8024430516729104,HBCC
L2/3 IT_7,0.3763443595786687,-1.9683553233301156,2.1565855128743716,0.03281677041157893,0.8024430516729104,HBCC
L5/6 NP_6,0.43895160729254534,-2.2470083276595307,2.1064340781796993,0.03702485018305053,0.8024430516729104,HBCC
Chandelier_2,0.26239703620131943,-0.1996087540021483,1.9221433095850025,0.05670287872386518,0.8024430516729104,HBCC
Sst_2,-0.2088742588205085,0.23171047081565257,-1.7987151237067411,0.0743068928125349,0.8024430516729104,HBCC
Sst_3,-0.2265805740570763,1.5806722555176473,-1.718689742885228,0.08797237686891142,0.8024430516729104,HBCC
L5 IT_7,-0.2682830113168486,-0.728947410650715,-1.7145470745188016,0.08873223392067629,0.8024430516729104,HBCC
Pax6_4,0.2712821029245629,-2.221655736382574,1.6810889097113584,0.09506707792106697,0.8024430516729104,HBCC
Sncg_2,0.2917447236824612,-1.7303948319282663,1.6514348834569794,0.10098340744210184,0.8024430516729104,HBCC
L2/3 IT_8,-0.23747741768621558,-1.7853712719683064,-1.6405645897292964,0.10322508952547389,0.8024430516729104,HBCC
L6b_5,0.2661095630406817,-2.2177263085074514,1.571448317387226,0.11842874858642934,0.8024430516729104,HBCC
Sst_12,-0.200602334051599,-0.12296549608087272,-1.5312998538546458,0.12804466326062539,0.8024430516729104,HBCC
Pvalb_8,0.18733750914816433,-0.8866873667769887,1.4781890940728826,0.14169585025284367,0.8024430516729104,HBCC
Vip_5,-0.18411919359602963,-0.5681072953679972,-1.4391070296795854,0.15244403801731946,0.8024430516729104,HBCC
L6b_4,0.25731013917241463,-0.3078013865537216,1.4316308951316377,0.15456981006955525,0.8024430516729104,HBCC
L5 IT_3,-0.20991279870546817,-0.14391555243658044,-1.4257609464039265,0.1562547780285736,0.8024430516729104,HBCC
Sst_25,-0.22143596444875166,0.6603275017842929,-1.4164306582709218,0.15896198209754844,0.8024430516729104,HBCC
L2/3 IT_3,-0.2383656814771376,0.7731335149967277,-1.412748426131324,0.16004021449778927,0.8024430516729104,HBCC
Sst_7,-0.17003301681693206,-0.6637505781948311,-1.3189534124177795,0.18942654119572008,0.8024430516729104,HBCC
Pvalb_6,-0.14276643657817076,-0.1523137439254902,-1.2925074703273243,0.19839816141076902,0.8024430516729104,HBCC
Vip_14,0.14480439591839023,-0.7920223639255433,1.287712730417735,0.20005785793437797,0.8024430516729104,HBCC
Vip_16,0.15425733827169796,-0.7606342341484948,1.231705035239566,0.2202090382425822,0.8024430516729104,HBCC
