"","CellType","estimate","se","zval","pval","I2","ci.lb","ci.ub","k","padj"
"1","L4 IT_3",0.048032212188401,0.0736806507182668,0.65189723109344,0.514467471276934,62.8681194572941,-0.0963792095768772,0.192443633953679,7,0.762754537006272
"2","L6 CT_4",0.120581929143985,0.0871666570840619,1.3833492435955,0.166557805585274,0,-0.0502615793935295,0.291425437681499,5,0.512977103115637
"3","L2/3 IT_7",0.208344907686777,0.0883656654048172,2.3577586015147,0.0183856444997348,30.6370007476903,0.0351513860234187,0.381538429350136,7,0.192106022298078
"4","L5/6 NP_6",0.123664118433929,0.0753219707519375,1.64180672915741,0.100630064064175,76.3004540611105,-0.0239642314844482,0.271292468352305,6,0.457028207624797
"5","Chandelier_2",0.154152041754567,0.0699836489851141,2.20268654164283,0.027616849489067,0,0.0169866102370499,0.291317473272083,7,0.231556661100639
"6","Sst_2",-0.254509920135936,0.0591534995883802,-4.30253361013202,1.68856046339816e-05,0,-0.370448648888666,-0.138571191383206,7,0.000920265452551997
"7","Sst_3",-0.186286911011216,0.0617411940282608,-3.01722235766848,0.00255102610277125,1.31144766659225,-0.307297427669107,-0.0652763943533257,7,0.0463436408670111
"8","L5 IT_7",-0.0387628650406406,0.0673412840245114,-0.575618145720705,0.564873313227866,30.3628707662901,-0.170749356401366,0.0932236263200843,7,0.786920305648997
"9","Pax6_4",0.064189486883382,0.0737338588677429,0.870556456274982,0.383996380664173,25.8070900108638,-0.0803262209385534,0.208705194705317,7,0.680028908243956
"10","Sncg_2",0.157378115090815,0.0823075552516264,1.91207374110052,0.0558667363791499,65.0234072845407,-0.00394172885791313,0.318697959039543,7,0.338304125851519
"11","L2/3 IT_8",-0.0750586405572906,0.0818561853224475,-0.916957469513391,0.359164927149959,28.4524939718504,-0.235493815701124,0.0853765345865426,7,0.652482950989092
"12","L6b_5",0.0554107958035253,0.075347749807879,0.735400804201999,0.462095432226027,57.0089913175835,-0.0922680801360524,0.203089671743103,6,0.725161804665051
"13","Sst_12",-0.0614500257970239,0.0661862188405618,-0.928441401752425,0.353178650837457,39.4740029271358,-0.191172630997411,0.0682725794033635,7,0.652482950989092
"14","Pvalb_8",0.0110182356205514,0.0692976447784177,0.158998702708912,0.873669895918211,27.5855185070088,-0.124802652358597,0.1468391235997,7,0.961919380354394
"15","Vip_5",-0.0965279301348536,0.065405364906343,-1.47584116796958,0.139986536167956,5.49819132654863,-0.224720089746986,0.0316642294772787,7,0.499604933085497
"16","L6b_4",0.263148912719373,0.0766304865344309,3.43399767664449,0.000594749293778558,0,0.112955918994106,0.413341906444639,7,0.0216092243406209
"17","L5 IT_3",-0.00988648493402514,0.0584138289044581,-0.16924904803271,0.865600751478323,0,-0.124375485785848,0.104602515917797,7,0.961919380354394
"18","Sst_25",-0.258992646343256,0.0826138738897393,-3.13497762723148,0.00171867218547075,0,-0.420912863790478,-0.0970724288960327,7,0.0374670536432624
"19","L2/3 IT_3",-0.0936134743193301,0.0729423924817765,-1.28338913948727,0.199355776892251,56.9039838548931,-0.236577936529797,0.049350987891137,7,0.519939354955901
"20","Sst_7",0.0150039041690999,0.0660530061246496,0.227149452377472,0.820307531462136,0,-0.114457608905817,0.144465417244017,7,0.961919380354394
"21","Pvalb_6",-0.115169547076118,0.0513734717663942,-2.24180969508578,0.0249736743761872,0,-0.215859701499036,-0.0144793926532,7,0.226844208917034
"22","Vip_14",0.069523599530542,0.0637252518928077,1.0909897954972,0.275277372815086,0,-0.0553755990851041,0.194422798146188,7,0.588337914447928
"23","Vip_16",0.0457961592876426,0.0638434279283233,0.717319867897096,0.473176750853715,0,-0.0793346601014497,0.170926978676735,7,0.725161804665051
"24","Sncg_5",0.0147969765618591,0.0727340801672124,0.203439385331354,0.838791618356916,0,-0.127759201014526,0.157353154138244,7,0.961919380354394
"25","L5/6 NP_2",0.152629704450452,0.0760417986694187,2.00718167009684,0.0447303226202569,40.809944508446,0.00359051773874502,0.301668891162158,7,0.305703809828044
