gene,log2FC,pct_vulnerable,pct_not_depleted,mean_vulnerable,mean_not_depleted,p_wilcoxon,fdr_wilcoxon,donor_delta,p_donor_paired,fdr_donor,neg_log10_p,always_label
CPVL,0.22998378,0.1732172275829607,0.021242632612966602,0.122856446,0.013011354,0.0,0.0,0.06172093,0.10041809,0.2224888324737549,inf,False
LRFN2,-0.66101015,0.20287126382678278,0.5335216110019646,0.1520497,0.5037865,0.0,0.0,-0.339296,0.00023834458,0.016120565259778823,inf,False
DAAM2,-0.27928865,0.007060484819957637,0.17681728880157171,0.0043414445,0.13288336,0.0,0.0,-0.1374127,0.009708519,0.06190168830785858,inf,False
NOS1AP,0.41162387,0.9258649093904449,0.8710707269155207,1.4126258,1.1351863,0.0,0.0,0.20339766,0.012911634,0.07100873400074567,inf,False
MYO5B,0.65741694,0.7072252294657566,0.29776522593320237,0.78730744,0.32108527,0.0,0.0,0.3973043,0.0005505702,0.019448203805052203,inf,False
CPNE5,0.29128298,0.5057660626029654,0.3169204322200393,0.39490533,0.22313064,0.0,0.0,0.17167942,0.001253013,0.02605349141457399,inf,False
CUX2,0.86624205,0.6721581548599671,0.2863457760314342,1.0245339,0.39580438,0.0,0.0,0.3745771,0.047981445,0.1425619470067771,inf,False
RGS4,-0.3730293,0.28736173217227584,0.48280943025540274,0.21199745,0.4169015,0.0,0.0,-0.17808993,0.0053755906,0.04771572883140313,inf,False
RGS5,-0.23926625,0.06942810072958343,0.16527504911591356,0.045279294,0.14322558,0.0,0.0,-0.08302509,0.0015964077,0.028429591300161892,inf,False
PBX1,-0.46132854,0.9508119557542951,0.9759332023575639,1.4622314,1.806998,0.0,0.0,-0.25843447,0.008913019,0.05979259813557991,inf,False
LINC01630,-0.23795167,0.04118616144975288,0.12266699410609037,0.02886354,0.118420795,0.0,0.0,-0.08535661,0.0039030206,0.041987333738163435,inf,False
DCC,-1.3236115,0.3904448105436573,0.7632612966601179,0.6763849,1.658806,0.0,0.0,-0.69655055,0.007910991,0.05672710915431663,inf,False
SATB1-AS1,-0.45234302,0.8740880207107554,0.9388506876227898,1.2295892,1.573467,0.0,0.0,-0.25365812,0.0003573139,0.01793526126220163,inf,False
ANKS1A,-0.33839312,0.75500117674747,0.8115176817288802,0.7224373,0.92227376,0.0,0.0,-0.14723262,0.000657957,0.020688839380253746,inf,False
FAM78B,0.2352919,0.4688161920451871,0.3363212180746562,0.38856587,0.2529822,0.0,0.0,0.08746947,0.03007252,0.10987195983985004,inf,False
AL596087.2,0.2892764,0.25064721110849614,0.08619842829076621,0.20830004,0.06855934,0.0,0.0,0.09266886,0.016609572,0.08018305352393618,inf,False
ATXN2,-0.205412,0.9105671922805366,0.9201866404715128,1.0951388,1.2290142,0.0,0.0,-0.09388311,0.027208399,0.10355801791882444,inf,False
ILDR2,0.28509074,0.7288773829136267,0.5963899803536346,0.72186404,0.5326797,0.0,0.0,0.10533555,0.21800408,0.36501927471498674,inf,False
DOK6,-0.72080374,0.6486232054601082,0.8417239685658153,0.6567119,1.1219519,0.0,0.0,-0.4521082,1.3132202e-05,0.008899273971716562,inf,False
NLGN4X,0.365577,0.9498705577783008,0.8908398821218074,1.4532765,1.1841342,0.0,0.0,0.2876356,0.0014260841,0.02741948790469412,inf,False
GPC6,0.2592723,0.9858790303600847,0.9239931237721022,2.4183445,2.0696263,0.0,0.0,0.36997813,0.0014726938,0.027590994372939437,inf,False
CDH7,0.94264317,0.8369028006589786,0.45653241650294696,1.1000105,0.45155793,0.0,0.0,0.5611788,0.0004946034,0.018872752142110934,inf,False
ZNF385D,0.3217298,0.941162626500353,0.7617878192534381,2.4233713,1.8206147,0.0,0.0,0.47991675,0.0005007668,0.018872752142110934,inf,False
BCL2,0.48014095,0.7373499646975759,0.5422396856581533,0.8213866,0.51173735,0.0,0.0,0.28645247,0.00080190215,0.02202609664880046,inf,False
ST8SIA5,0.3767429,0.7735937867733584,0.581286836935167,0.80335635,0.5322783,0.0,0.0,0.1785042,0.04392946,0.13586036407570543,inf,False
SIPA1L1,0.62019163,0.9689338667921864,0.9167485265225933,1.777488,1.3100843,0.0,0.0,0.37634513,0.0027645547,0.035516544484606144,inf,False
RGS6,-0.78150296,0.6034361026123793,0.8638261296660118,1.1263487,1.8524506,0.0,0.0,-0.54769814,0.01056793,0.06434921698741738,inf,False
NEDD4L,-0.3650122,0.7594728171334432,0.8580550098231827,0.86517966,1.1246213,0.0,0.0,-0.28421968,0.0041549806,0.04324229529144567,inf,False
ANOS1,0.6579367,0.4189220993174865,0.13310412573673872,0.47521305,0.13529038,0.0,0.0,0.2055883,0.034735925,0.11889177237258745,inf,False
ALDH2,-0.19963297,0.21487408802071076,0.35645874263261296,0.134406,0.24310173,0.0,0.0,-0.10588597,0.00239179,0.033496870817961516,inf,False
KAT2B,0.18903908,0.4528124264532831,0.3148330058939096,0.34343448,0.22990923,0.0,0.0,0.07238041,0.057137497,0.15766560605283553,inf,False
GRM4,0.18481074,0.3019534008001883,0.16859037328094303,0.21182027,0.111706674,0.0,0.0,0.14592455,0.024028499,0.09686541743708911,inf,False
RNF152,0.5192943,0.5801365027065192,0.23649312377210216,0.5083573,0.19039443,0.0,0.0,0.29452753,0.000523581,0.019318672918504285,inf,False
SATB1,-0.52015686,0.6081430924923511,0.7836444007858546,0.5052599,0.8380349,0.0,0.0,-0.30220577,0.002027672,0.030889646435677605,inf,False
TRERF1,0.47206607,0.7648858554954107,0.5752701375245579,0.8484923,0.5296952,0.0,0.0,0.20844284,0.04500065,0.13770902771045487,inf,False
PIK3C3,-0.36129752,0.6985172981878089,0.8021856581532416,0.61110395,0.84179026,0.0,0.0,-0.20574212,0.0025382035,0.034359642884611796,inf,False
COL9A1,-0.16931266,0.07931277947752412,0.18369351669941061,0.055190258,0.13609004,0.0,0.0,-0.05835112,0.1515031,0.2879812327530685,inf,False
SMAP1,-0.22295423,0.6705107084019769,0.7452111984282908,0.5761999,0.7201094,0.0,0.0,-0.13683653,0.0019074078,0.03056798094005346,inf,False
B3GAT2,-0.6463964,0.19228053659684632,0.5052799607072691,0.14617625,0.48706284,0.0,0.0,-0.28974175,0.0057323906,0.049077914255969926,inf,False
GLRA2,-0.41410348,0.23652624146858084,0.47679273084479373,0.21413146,0.4516197,0.0,0.0,-0.14419821,0.096218586,0.21626781496123934,inf,False
OGFRL1,-0.21812555,0.31960461285008235,0.4517436149312377,0.21456826,0.3356753,0.0,0.0,-0.10748871,0.012586283,0.07035875577931318,inf,False
RIMS1,-0.20209709,0.9745822546481525,0.9833005893909627,1.7173848,1.8646985,0.0,0.0,-0.15213156,0.0010497333,0.02434873006430017,inf,False
COL19A1,0.30237132,0.8656154389268063,0.6564341846758349,1.3058114,0.95496714,0.0,0.0,0.41880164,0.00012178735,0.014242842025363567,inf,False
SENP6,-0.23404957,0.8519651682748882,0.8892436149312377,0.9310133,1.0937766,0.0,0.0,-0.12884341,0.0037736339,0.04148071865702784,inf,False
GAREM1,0.24012764,0.7754765827253471,0.6986738703339882,0.8661255,0.7032243,0.0,0.0,0.123576984,0.012287724,0.06942730867218487,inf,False
TENT5A,-0.20324948,0.06307366439162156,0.16269646365422397,0.044436883,0.13225663,0.0,0.0,-0.09244912,0.013054112,0.0711462906330638,inf,False
MRAP2,0.46103522,0.5427159331607437,0.24668467583497053,0.45862246,0.18518174,0.0,0.0,0.19873059,0.01879721,0.08498213228576224,inf,False
CEP162,0.1897469,0.400329489291598,0.28045186640471514,0.2943378,0.18838891,0.0,0.0,0.064873025,0.06596033,0.1727271533518727,inf,False
HTR1E,-0.9772751,0.08025417745351847,0.5692534381139489,0.060442414,0.57932186,0.0,0.0,-0.52309746,1.67656e-05,0.00982237458229065,inf,False
CNR1,-0.5834901,0.1572134619910567,0.5221021611001965,0.11228984,0.4367631,0.0,0.0,-0.30261534,0.0012912182,0.026344566894092147,inf,False
AL391840.1,-0.35574397,0.14450458931513296,0.33705795677799605,0.10456445,0.2825459,0.0,0.0,-0.14718232,0.0010931557,0.02467380129319299,inf,False
AC119868.2,-0.1778465,0.09178630265944929,0.20333988212180745,0.05646984,0.14187199,0.0,0.0,-0.090131864,0.0022747202,0.032634479508237196,inf,False
ADGRB3,0.3602514,0.9997646505060014,0.9985265225933202,3.3394585,3.0428462,0.0,0.0,0.38837948,0.002432525,0.033816865846222524,inf,False
EYS,0.8585341,0.5707225229465757,0.3113948919449902,0.8434131,0.36674145,0.0,0.0,0.5390929,0.0041390844,0.04311641276265855,inf,False
TBC1D5,0.19026084,0.9505766062602965,0.9163801571709234,1.3956966,1.2469585,0.0,0.0,0.10701616,0.06076307,0.1640313507232557,inf,False
RFTN1,-0.2533548,0.07484113909155095,0.22654715127701375,0.042665884,0.16331105,0.0,0.0,-0.12197943,0.00012961253,0.014311828292333163,inf,False
CELF4,-0.39222237,0.9399858790303601,0.968811394891945,1.334693,1.615088,0.0,0.0,-0.16012082,0.05908077,0.16139603028283656,inf,False
FHOD3,0.23442394,0.7542951282654742,0.5849705304518664,0.8487777,0.6527888,0.0,0.0,0.14386179,0.08226538,0.1965303639817604,inf,False
HSP90AB1,-0.28260773,0.7314662273476112,0.7919941060903732,0.77117646,0.9545741,0.0,0.0,-0.22916012,0.00029513903,0.01649619793069774,inf,False
MID1,-0.38247806,0.3619675217698282,0.5582023575638507,0.286906,0.5097545,0.0,0.0,-0.15131024,0.0470907,0.14093508628577553,inf,False
GPM6B,-0.31883046,0.7411155566015533,0.8233055009823183,0.7360424,0.95233,0.0,0.0,-0.17516729,0.009395451,0.06100858656692723,inf,False
RCAN2,0.31750137,0.9312779477524123,0.9016453831041258,1.3853319,1.1770478,0.0,0.0,0.13357624,0.05283938,0.1500587893069462,inf,False
PLA2G7,0.22960012,0.22216992233466698,0.047274066797642435,0.14273052,0.02564788,0.0,0.0,0.08734642,0.012756022,0.07065640389919281,inf,False
HCRTR2,-0.24887022,0.007060484819957637,0.10142436149312377,0.0039812163,0.09827114,0.0,0.0,-0.09322332,0.00015188435,0.015066165924072266,inf,False
COL21A1,-0.8016977,0.16333254883502,0.5153487229862476,0.13889606,0.5572109,0.0,0.0,-0.3694149,0.0011113978,0.024916396310678112,inf,False
ATP2A2,-0.2055534,0.7634737585314192,0.8075884086444007,0.71336746,0.84525704,0.0,0.0,-0.103701755,0.021563955,0.09135962351655853,inf,False
DTNA,0.20254594,0.9957637091080254,0.9904223968565815,2.1568139,1.9938532,0.0,0.0,0.14733236,0.009304303,0.060791740351596235,inf,False
KHDRBS2,-0.628836,0.8533772652388797,0.8392681728880157,1.2153023,1.4702247,0.0,0.0,-0.2715549,0.008678857,0.05938055316846822,inf,False
AL591242.1,0.09752086,0.1694516356789833,0.08104125736738703,0.099719666,0.04699263,0.0,0.0,0.030645948,0.091972925,0.21036946220966848,inf,False
CBLN2,-0.8238156,0.0837844198634973,0.34896856581532415,0.06339149,0.40666077,0.0,0.0,-0.31375232,0.00016561059,0.015066165924072266,inf,False
NETO1,-0.71058667,0.9684631678041892,0.9852652259332023,1.6604197,2.1657965,0.0,0.0,-0.40916473,0.0034914333,0.039779819959145014,inf,False
THRB,-0.2868088,0.991998117204048,0.9920186640471512,2.0555193,2.2279322,0.0,0.0,-0.13071477,0.004250893,0.043853531299182597,inf,False
IVNS1ABP,-0.3407855,0.23370204754059778,0.44977897838899805,0.14588806,0.33426338,0.0,0.0,-0.17669167,0.00031267985,0.01697148432571922,inf,False
KLHL3,0.18313922,0.6149682278183102,0.49643909626719057,0.49191996,0.3719144,0.0,0.0,0.09262735,0.011021559,0.06573531254107519,inf,False
ICAM5,0.17288877,0.25253000706048484,0.10977406679764244,0.15903233,0.06613853,0.0,0.0,0.0619469,0.034302566,0.11815104697031771,inf,False
ACTN1,0.12428637,0.28477288773829135,0.17239685658153242,0.18162997,0.10972384,0.0,0.0,0.053850014,0.087298684,0.20351752654740804,inf,False
LINC01793,0.2223421,0.2685337726523888,0.11529960707269155,0.19534914,0.079709284,0.0,0.0,0.078967966,0.019883169,0.08723521693584445,inf,False
AC005753.2,0.26381162,0.48787950105907274,0.32146365422396855,0.38378388,0.22944522,0.0,0.0,0.14120631,0.0016722991,0.02901104518345424,inf,False
SPOCK1,0.57885087,0.8686749823487879,0.793958742632613,1.4843928,1.1057254,0.0,0.0,0.4972868,0.007333867,0.05491468920528771,inf,False
COLGALT2,0.27266964,0.5342433513767946,0.35523084479371314,0.41718397,0.2530621,0.0,0.0,0.12072241,0.012993319,0.07107911068540185,inf,False
KCTD16,-0.29825962,0.9767004000941398,0.9834233791748527,2.0356143,2.2455184,0.0,0.0,-0.1466504,0.0028670332,0.03629868796893528,inf,False
NMNAT2,0.25711602,0.9357495881383855,0.8891208251473477,1.3176706,1.1174843,0.0,0.0,0.22065851,3.673996e-05,0.011577169100443522,inf,False
PPP2R2B,-0.40276965,0.9978818545540127,0.9976669941060904,2.281645,2.5435834,0.0,0.0,-0.22237387,0.010040628,0.06289391436016013,inf,False
STK32A,-0.41051045,0.07413509060955518,0.20223477406679763,0.05252914,0.21256001,0.0,0.0,-0.13469829,0.05045269,0.14611573325209024,inf,False
BCL11A,0.5041626,0.9767004000941398,0.8695972495088409,1.6678566,1.2235575,0.0,0.0,0.42717648,0.00013032422,0.014311828292333163,inf,False
RBMS3,0.8590822,0.9969404565780183,0.9647593320235757,2.854183,2.1546803,0.0,0.0,0.6212418,0.00022791901,0.016120565259778823,inf,False
ARHGAP26,0.36551335,0.9574017415862556,0.9095039292730844,1.528241,1.2443233,0.0,0.0,0.26910704,0.00022870046,0.016120565259778823,inf,False
HTR4,0.3120494,0.21628618498470228,0.05427308447937132,0.20605339,0.05638989,0.0,0.0,0.089955255,0.19623165,0.34068744380356597,inf,False
TRPC7,0.43591958,0.28100729583431394,0.03339882121807466,0.23939523,0.028984653,0.0,0.0,0.22208151,0.006993069,0.054039084619007575,inf,False
BRINP3,-2.3257568,0.14473993880913155,0.6544695481335953,0.12536383,1.1401503,0.0,0.0,-0.99156123,8.592767e-05,0.013915488594456724,inf,False
TNFAIP8,0.13370258,0.10096493292539421,0.0068762278978389,0.06669036,0.0037948692,0.0,0.0,0.050778676,0.009139428,0.060433563374694965,inf,False
PRR16,-0.6152401,0.02706519180983761,0.19609528487229863,0.016297076,0.23669538,0.0,0.0,-0.21079323,0.00010715363,0.013915488594456724,inf,False
SNCAIP,-0.14942923,0.05813132501765121,0.1512770137524558,0.040783085,0.110424556,0.0,0.0,-0.07893257,0.0016810026,0.02901104518345424,inf,False
LINC01170,0.5179572,0.18992704165686045,0.054150294695481334,0.22248054,0.046437908,0.0,0.0,0.08613582,0.13289747,0.26453568471442357,inf,False
ZNF608,0.37941262,0.9100964932925394,0.8220776031434185,1.233089,0.9517058,0.0,0.0,0.20344968,0.0029344216,0.03666087919394875,inf,False
CRB1,-0.28412586,0.8020710755471876,0.8574410609037328,0.92709416,1.1135921,0.0,0.0,-0.23128434,0.0012073524,0.025595634787220305,inf,False
LINC01122,0.7777632,0.9792892445281243,0.8579322200392927,1.9479257,1.2812604,0.0,0.0,0.55139697,0.00046979226,0.018872752142110934,inf,False
SLC27A6,0.29648358,0.45634266886326197,0.2567534381139489,0.5647635,0.34657845,0.0,0.0,0.17407207,0.08582462,0.20169764728755568,inf,False
ADAMTS19-AS1,0.17118886,0.24264532831254412,0.09332023575638507,0.15772097,0.063647,0.0,0.0,0.07722549,0.0029864882,0.03710703520759173,inf,False
ADAMTS19,1.127031,0.9077429983525536,0.4038555992141454,1.3499193,0.4673936,0.0,0.0,0.7407889,0.00019258307,0.015497070677736972,inf,False
TAFA5,0.40751895,0.7239350435396564,0.5405206286836935,0.73946375,0.46992207,0.0,0.0,0.16219866,0.09000525,0.20735571308895206,inf,False
CHSY3,-0.24227561,0.6690986114379854,0.8407416502946955,0.95871073,1.2301712,0.0,0.0,-0.047118865,0.8036218,0.8700839146604791,inf,False
ZNF439,-0.19612943,0.18427865380089434,0.33472495088408644,0.12335533,0.23164421,0.0,0.0,-0.09789523,0.0005507572,0.019448203805052203,inf,False
AL354771.1,-0.54168403,0.014356319133913862,0.2154960707269155,0.008098577,0.20896502,0.0,0.0,-0.1932379,0.0016436902,0.028988124771235357,inf,False
KCNT2,-0.36589655,0.06283831489762297,0.20149803536345776,0.041426316,0.18826246,0.0,0.0,-0.119368315,0.0024655275,0.0339841367552376,inf,False
OSBPL1A,-0.2882886,0.6763944457519416,0.7949410609037328,0.6440271,0.8474344,0.0,0.0,-0.18083207,0.009471392,0.06119593400890029,inf,False
GLUL,0.17815118,0.34172746528594966,0.20947937131630648,0.235097,0.13666146,0.0,0.0,0.07402079,0.014851727,0.07555066437999229,inf,False
CIT,0.38756576,0.8234878795010591,0.6983055009823183,0.943874,0.68262815,0.0,0.0,0.2233952,0.014997208,0.0759547165461949,inf,False
TOP2B,-0.21635216,0.6006119086843963,0.6884823182711198,0.4696395,0.6039667,0.0,0.0,-0.15138638,0.0005302346,0.019340775787255387,inf,False
AC092422.1,-0.20199797,0.054365733113673806,0.16232809430255402,0.038712997,0.12888296,0.0,0.0,-0.07177761,0.0032634481,0.03873960857351538,inf,False
NOS1,0.54699665,0.5622499411626265,0.2836444007858546,0.53722537,0.22419508,0.0,0.0,0.37310082,0.012195527,0.06910392311545877,inf,True
COL23A1,-0.27161682,0.0757825370675453,0.2131630648330059,0.047175366,0.16849509,0.0,0.0,-0.12606883,0.005567235,0.04845613058359345,inf,False
RASGEF1C,0.11330548,0.1320310661332078,0.0537819253438114,0.08662457,0.031823594,0.0,0.0,0.056934386,0.0020471336,0.03092235001362116,inf,False
DSP,0.13221087,0.10143563191339139,0.0033153241650294694,0.06466884,0.0016093334,0.0,0.0,0.04192817,0.041750163,0.1324001288800482,inf,False
NGLY1,-0.41802195,0.42433513767945397,0.6269646365422397,0.29480037,0.541516,0.0,0.0,-0.23240915,0.00011184358,0.013915488594456724,inf,False
MBP,-0.37598628,0.1868674982348788,0.3781925343811395,0.12580289,0.31173998,0.0,0.0,-0.15654606,0.0016827633,0.02901104518345424,inf,False
ATXN1,-0.20567378,0.983996234408096,0.9872298624754421,1.8003197,1.9397881,0.0,0.0,-0.10617866,0.0010665552,0.02434873006430017,inf,False
CAP2,0.26052362,0.8081901623911508,0.6930255402750491,0.8496465,0.65858334,0.0,0.0,0.19298132,9.437434e-05,0.013915488594456724,inf,False
DNM3,0.2500199,0.9950576606260296,0.9879666011787819,2.2092857,2.0099206,0.0,0.0,0.14462395,0.02145151,0.09127197951927357,inf,False
NRSN1,-0.4292515,0.7973640856672158,0.8774557956777996,0.8089522,1.1001723,0.0,0.0,-0.30154014,9.7520824e-05,0.013915488594456724,inf,False
RIPOR2,-0.6031362,0.7651212049894093,0.8610019646365422,0.7866554,1.1764526,0.0,0.0,-0.2963174,0.0012767424,0.02619053528494257,inf,False
CARMIL1,-0.73369926,0.4459872911273241,0.7196709233791748,0.38121003,0.8255111,0.0,0.0,-0.3952705,5.6349014e-05,0.0122927541916187,inf,False
HIVEP1,-0.307754,0.4135090609555189,0.5631139489194499,0.31201857,0.49076837,0.0,0.0,-0.16227621,0.005231811,0.047353723212672574,inf,False
CACNA1E,0.27472806,0.8649093904448105,0.8053781925343811,1.0877882,0.9051468,0.0,0.0,0.24235234,0.009522671,0.06136070883639419,inf,False
INSYN2B,-0.43509915,0.24429277477053424,0.44965618860510803,0.20278531,0.43008232,0.0,0.0,-0.27914053,0.0062581836,0.051394472246404664,inf,False
AL590807.1,0.2775465,0.26500353024240997,0.1037573673870334,0.20761748,0.07195958,0.0,0.0,0.075532265,0.07685974,0.18914049686720613,inf,False
PDGFRB,0.10981679,0.11602730054130383,0.015839882121807466,0.06502905,0.008924921,0.0,0.0,0.036753055,0.037889108,0.12498509173269846,inf,False
CAMK2A,0.2663675,0.8220757825370676,0.7286345776031434,0.8928983,0.7068641,0.0,0.0,0.19492449,0.0009279819,0.02344549472188631,inf,False
SLC36A1,-0.29397294,0.3542009884678748,0.5261542239685658,0.24839562,0.42074925,0.0,0.0,-0.15025221,0.0113685075,0.0669249379702906,inf,False
LINC01470,0.4430986,0.23676159096257943,0.08644400785854617,0.24873716,0.071528435,0.0,0.0,0.12180271,0.06591875,0.17265811304494488,inf,False
GRIA1,0.14986989,0.9981172040480113,0.9931237721021611,2.345381,2.191151,0.0,0.0,0.1830245,0.003028911,0.03743644382642663,inf,False
SGCD,-2.0435152,0.16545069428100728,0.6525049115913556,0.12988728,1.1390747,0.0,0.0,-1.0059826,0.0005271033,0.019318672918504285,inf,False
DOCK2,-0.1809121,0.09602259355142387,0.20726915520628683,0.06283456,0.14913991,0.0,0.0,-0.1028734,0.0030834957,0.03763047819997108,inf,False
ADAM19,-0.34883583,0.21863967992468816,0.42976424361493126,0.14814112,0.3379532,0.0,0.0,-0.15125489,0.0033548572,0.039194128663115106,inf,False
SPRY2,0.16898881,0.2584137444104495,0.11505402750491159,0.1612772,0.07009371,0.0,0.0,0.06534363,0.04587722,0.13897822390758477,inf,False
AC109466.1,-1.5254657,0.07884208048952694,0.21696954813359529,0.052282855,0.3726407,0.0,0.0,-0.2711778,0.002017156,0.030889646435677605,inf,False
RASAL2,0.23271398,0.957166392092257,0.9179764243614931,1.5293016,1.3267629,0.0,0.0,0.13161783,0.115758315,0.24263901580111327,inf,False
AC008415.1,-0.936285,0.032948929159802305,0.15078585461689586,0.02047636,0.24238813,0.0,0.0,-0.19931705,0.004901952,0.04614750715706853,inf,False
AL136114.1,0.25141552,0.16545069428100728,0.05157170923379175,0.14910147,0.045110125,0.0,0.0,0.102323495,0.021517467,0.09135070526773814,inf,False
TENM2,0.3323199,0.9957637091080254,0.9911591355599214,3.2960548,3.0437958,0.0,0.0,0.23433399,0.013474182,0.07220175720128351,inf,False
LRRC3B,-0.32932505,0.09484584608143093,0.281311394891945,0.071166895,0.2312818,0.0,0.0,-0.13543482,0.0073043955,0.05491468920528771,inf,False
DTWD2,0.37105516,0.5224758766768651,0.32355108055009824,0.4473713,0.2363938,0.0,0.0,0.16439112,0.0065041035,0.05227727052510291,inf,False
ANKRD6,-0.253877,0.44222169922334664,0.5737966601178782,0.35907182,0.5118108,0.0,0.0,-0.10367099,0.009992319,0.06276287845174582,inf,False
FUT9,-0.34844503,0.6843963285478937,0.7680500982318271,0.678289,0.88642985,0.0,0.0,-0.1805282,0.03989384,0.12893989758613783,inf,False
PTGFRN,0.12758034,0.23840903742056954,0.12328094302554027,0.14992206,0.07939109,0.0,0.0,0.05579077,0.0031132144,0.03785241506235137,inf,False
AC019117.2,0.12532187,0.15485996705107083,0.06237721021611002,0.10089262,0.038386665,0.0,0.0,0.05505072,0.003796866,0.041502790734500465,inf,False
AC073332.1,0.8646352,0.8303130148270181,0.5535363457760314,1.246927,0.6449266,0.0,0.0,0.4836687,0.001052029,0.02434873006430017,inf,False
AHR,0.60733587,0.7684160979053895,0.4899312377210216,0.82100034,0.42017922,0.0,0.0,0.32594913,0.00026069488,0.016120565259778823,inf,False
ETV1,0.2458824,0.26123793833843256,0.11431728880157171,0.22009164,0.098314665,0.0,0.0,0.09425054,0.058894977,0.16104915211590895,inf,False
VWDE,0.108225,0.12002824193927983,0.029592337917485265,0.07348272,0.019042093,0.0,0.0,0.03756917,0.025387874,0.10033287864161551,inf,False
NOTCH2,0.4900898,0.5229465756648624,0.16895874263261296,0.4347219,0.13947517,0.0,0.0,0.22780629,0.0018951274,0.03049407850766013,inf,False
THSD7A,1.68492,0.9501059072722994,0.2768909626719057,2.0708206,0.44557944,0.0,0.0,1.3453469,0.0004967647,0.018872752142110934,inf,False
AC004160.1,0.28130805,0.32172275829606967,0.12340373280943026,0.23822595,0.08902588,0.0,0.0,0.08103894,0.07309354,0.18336425403323336,inf,False
AC004852.2,0.2811265,0.23017180513061897,0.07649803536345776,0.19605686,0.06327812,0.0,0.0,0.08903607,0.032173667,0.113977738045486,inf,False
ANTXR1,0.7162886,0.8253706754530478,0.513015717092338,0.95956653,0.46721134,0.0,0.0,0.41242146,0.00058474357,0.019707951222197494,inf,False
SEC14L1,0.23985139,0.6222640621322664,0.47654715127701375,0.5162038,0.3647762,0.0,0.0,0.117814936,0.016791027,0.0806681530441297,inf,False
CYTH3,-0.27268204,0.8044245704871734,0.8477406679764243,0.84170264,1.0201895,0.0,0.0,-0.076683365,0.26923382,0.4201662507308433,inf,False
ITPR1,-1.1568536,0.503177218168981,0.8148330058939096,0.48678964,1.2349765,0.0,0.0,-0.54364836,0.005669871,0.048908335020257925,inf,False
PRKAR1B,-0.27982005,0.6549776417980702,0.7481581532416502,0.55366915,0.73154074,0.0,0.0,-0.136166,0.0053042374,0.04754912393661487,inf,False
PDGFA,-0.10684024,0.05718992704165686,0.14980353634577603,0.03283088,0.08744828,0.0,0.0,-0.042530417,0.009439441,0.06115421140486686,inf,False
SMOC2,0.16328743,0.12355848434925865,0.013506876227897839,0.085570574,0.008679251,0.0,0.0,0.06405662,0.035427377,0.1201651762775598,inf,False
SASH1,-1.3808916,0.11249705813132502,0.7304764243614931,0.092424594,0.89037365,0.0,0.0,-0.74787706,2.6684587e-05,0.010589903593063355,inf,False
AC077690.1,0.22692558,0.37891268533772654,0.24226424361493124,0.30552226,0.18205568,0.0,0.0,0.04859287,0.16740614,0.3068436415982489,inf,False
DLGAP1,0.3414713,1.0,1.0,3.9116359,3.6470263,0.0,0.0,0.25554794,0.0008417955,0.02241626479815989,inf,False
RGS17,0.6299823,0.7345257707695928,0.5268909626719057,0.85218346,0.4691662,0.0,0.0,0.3016414,0.009308468,0.060791740351596235,inf,False
IPCEF1,0.28798583,0.4144504589315133,0.1992878192534381,0.318504,0.15398063,0.0,0.0,0.17004326,0.000648682,0.020640986875571248,inf,False
SYNJ2,0.1640502,0.1694516356789833,0.05083497053045186,0.11216123,0.03090299,0.0,0.0,0.06192379,0.019971699,0.08747449602399554,inf,False
HDAC9,0.54206204,0.8689103318427865,0.8490913555992141,1.6805631,1.3355386,0.0,0.0,0.45533028,0.007877103,0.05660269532022597,inf,False
WSCD2,0.22497173,0.44857613556130854,0.2717337917485265,0.3352622,0.20115414,0.0,0.0,0.14854057,0.015562061,0.07753009486208896,inf,False
PRKN,0.25757846,0.9821134384561073,0.9619351669941061,1.8762373,1.6747199,0.0,0.0,0.16575825,0.0051717917,0.047162722318600386,inf,False
PACRG,0.37439665,0.9609319839962344,0.9072937131630648,1.6125337,1.3209286,0.0,0.0,0.24274221,0.0015084726,0.027935809062316797,inf,False
AL450345.2,-0.51427215,0.13673805601317957,0.41085461689587427,0.10054505,0.3638737,0.0,0.0,-0.21150878,0.0003843049,0.018089438869745404,inf,False
PDE10A,-0.50706226,0.931513297246411,0.9161345776031434,1.5852344,1.8722843,0.0,0.0,-0.09964178,0.11552843,0.24235128368851702,inf,False
TRPC4,0.6498232,0.7585314191574488,0.39796168958742634,0.8110426,0.362075,0.0,0.0,0.4015727,0.00038599665,0.018093991870722494,inf,False
RNASET2,-0.27575117,0.6368557307601789,0.7242141453831041,0.5313245,0.69727296,0.0,0.0,-0.15625162,0.0068313945,0.053371445206571215,inf,False
GRM7,1.1400056,0.9496352082843021,0.8078339882121808,2.1157088,1.252099,0.0,0.0,0.6404047,0.013522421,0.072221443477997,inf,False
TMEM196,0.32131666,0.3076017886561544,0.11517681728880157,0.25324056,0.090862565,0.0,0.0,0.115676485,0.013253297,0.07152492766375773,inf,False
ITGB8,0.18996026,0.2546481525064721,0.10866895874263262,0.18935812,0.086801074,0.0,0.0,0.079451375,0.0007290831,0.021438695946518257,inf,False
TSPAN2,0.18770696,0.3224288067780654,0.19720039292730845,0.22686283,0.12696417,0.0,0.0,0.059499383,0.012336012,0.06942730867218487,inf,False
