gene,log2FC,pct_vulnerable,pct_not_depleted,mean_vulnerable,mean_not_depleted,p_wilcoxon,fdr_wilcoxon,donor_delta,p_donor_paired,fdr_donor,neg_log10_p,always_label
PSMA7,-0.06432326,0.26735702518239585,0.3057465618860511,0.17118633,0.20454274,6.5464525e-07,1.9527467512830507e-06,-0.026172545,0.3086101,0.4624056329249769,6.183994,False
FBXO10,0.045563877,0.45869616380324785,0.40803045186640474,0.32268664,0.28957757,6.5939895e-07,1.966409516431681e-06,0.037280988,0.053359278,0.1508375784650964,6.180852,False
RLIM,-0.050059598,0.19369263356083785,0.23207269155206287,0.11531113,0.14116168,6.638347e-07,1.9791172560348462e-06,-0.03590361,0.012331142,0.06942730867218487,6.17794,False
TMEM91,0.06619761,0.5678983290185926,0.5306974459724951,0.4441125,0.4019776,6.8618857e-07,2.045224137365411e-06,0.022159928,0.108668484,0.23342837142438697,6.1635566,False
VAC14,-0.057543036,0.2104024476347376,0.24791257367387035,0.12862122,0.15763503,6.8701354e-07,2.0471451173374778e-06,-0.011645302,0.40070447,0.5486531452738382,6.163035,False
CNIH2,-0.052713186,0.18757354671687457,0.22666994106090374,0.1202827,0.14656493,7.0396845e-07,2.0971161239005688e-06,-0.03407464,0.0320065,0.11360504570532502,6.1524467,False
LAMA5,-0.032354288,0.09672864203341963,0.12721021611001965,0.056907315,0.074000776,7.0719153e-07,2.1061646082358087e-06,-0.017830381,0.05168664,0.14829826451457384,6.150463,False
ADAP1,-0.036059447,0.11955754295128265,0.1526277013752456,0.07069139,0.089629054,7.1076886e-07,2.11626286386192e-06,-0.011286361,0.24058251,0.3894360686001712,6.1482716,False
GCNA,-0.054613765,0.17886561543892682,0.21574165029469547,0.108452596,0.13508682,7.112836e-07,2.1172398068372485e-06,-0.024632592,0.09087955,0.2087340801924099,6.1479573,False
SDHD,0.0517244,0.31466227347611203,0.2724705304518664,0.2064842,0.17654909,7.1431106e-07,2.12569369231854e-06,0.0071549118,0.5327089,0.663051328142144,6.1461124,False
UNC119B,-0.038705226,0.10355377735937868,0.13420923379174854,0.059566233,0.07890911,7.152686e-07,2.127984885996857e-06,-0.011447732,0.13815303,0.2706395143962038,6.1455307,False
PAPSS1,0.05811397,0.6881619204518711,0.6340864440078585,0.5884238,0.5421712,7.221334e-07,2.147844984275731e-06,0.0323506,0.25653633,0.40587840911567297,6.1413827,False
ACAT1,-0.06989019,0.4377500588373735,0.47519646365422397,0.3041009,0.34351325,7.2388167e-07,2.1524805463313433e-06,-0.042664856,0.057500802,0.15839949575890147,6.140332,False
AL137009.1,-0.077710055,0.21369734055071782,0.2480353634577603,0.1374983,0.17326297,7.346607e-07,2.1839599794780433e-06,-0.06455716,0.0007466298,0.02149687442682721,6.133913,False
FHIT,-0.089798845,0.8893857378206637,0.8971021611001965,1.3896928,1.4512144,7.353291e-07,2.185374162632475e-06,-0.10283208,0.011346092,0.06689509404170049,6.133518,False
ADGRA2,-0.047639903,0.1379148034831725,0.17104616895874264,0.07992844,0.10341549,7.412106e-07,2.2022768800454718e-06,-0.010739822,0.14359239,0.2780874870302898,6.1300583,False
