supertype,beta,scz_p,scz_neg_log10_p,comp_beta,comp_padj,comp_logp,depleted_fdr20,exemplar,pt_size,color
Sst_2,32.04511548268642,2.542049570841698e-09,8.59481598480754,-0.254509920135936,0.0009202654525519,4.772483383681198,True,False,3.8634900302087183,#f8b24c
Sst_20,36.67877077233679,4.127579611434839e-09,8.38430454145138,-0.174676636280529,0.192106022298078,1.7124928330855798,True,False,2.027495699851348,#885616
Sst_25,4.467085881430428,0.0770864156075026,1.1130221478439302,-0.258992646343256,0.0374670536432624,2.7648069514791676,True,True,2.6588841708875,#693d07
Sst_19,24.778788069577253,7.930097767339106e-06,5.100721458388052,-0.05323807353256,0.640121173874938,0.4908016154562489,False,False,1.2944809692737491,#8e5b19
Sst_11,24.311709481746615,1.613366455655019e-06,5.792266976942683,-0.131932494421812,0.405289897405078,1.0679328836338673,False,False,1.6407597301803205,#c08430
Sst_3,16.21046026897059,4.445397672747653e-05,4.352089382195515,-0.186286911011216,0.0463436408670109,2.5932850975519126,True,False,2.5559710585311475,#f2ad49
Sst_1,14.399313106458,0.0001273619321191,3.8949603611775534,0.0697615060622537,0.569755257858317,0.5862602897668029,False,False,1.3517561738600818,#ffb84f
Sst_9,17.06350585272581,6.861672045366252e-05,4.163570042953031,-0.0612491014058203,0.569755257858317,0.5827681519447009,False,False,1.3496608911668204,#cd8f37
Sst_23,12.914709255731022,0.0013869474556693,2.857939991807129,-0.0654486788027768,0.652482950989092,0.4557367245787101,False,False,1.2734420347472262,#75470c
Sst_12,10.55126292694862,0.0055940497986075,2.2522736718285996,-0.0614500257970238,0.652482950989092,0.45200555680374,False,False,1.271203334082244,#ba7f2e
Sst_13,8.930568426878903,0.0039125567722856,2.4075393476662037,-0.0817744078418891,0.499604933085498,0.8492047737698872,False,False,1.5095228642619325,#b47a2b
Sst_22,13.584499996583602,0.0040288275071714,2.394821326378633,-0.27142856495951,0.0216123264371826,3.100664988019614,True,False,2.8603989928117683,#7b4c10
Sst_10,6.260380607050271,0.0245875259573014,1.60928516858326,0.07088016835135,0.552868160375212,0.6502021713735867,False,False,1.390121302824152,#c68934
Sst_7,10.357229245461566,0.0051208391824701,2.2906588627640216,0.0150039041691,0.961919380354394,0.0860233010573052,False,False,1.0516139806343832,#d9993d
Sst_4,6.154527228279436,0.020719632765623,1.6836179462857268,0.0416898873119017,0.766718607189817,0.277729231444244,False,False,1.1666375388665464,#eca846
Sst_5,5.552374421643002,0.0157783789733051,1.8019376170398447,0.0309783749550944,0.833954729695128,0.1920047357940228,False,True,1.1152028414764137,#e6a343
