supertype,family,x,beta,p_value,p_fdr,passes_bonf_503,passes_fdr_05,color
Lamp5_4,Lamp5,60,11.667897275851445,0.0002396109012715,0.0017724159314646,False,True,#9d6b74
Lamp5_Lhx6_1,Lamp5,61,14.102523653286886,0.0010721657352745,0.0070960442742514,False,True,#b49186
Lamp5_2,Lamp5,62,7.513086070357137,0.0025617697479055,0.0146428429908692,False,True,#da9ea8
Pax6_1,Pax6,63,18.34484445682135,5.447075937636825e-06,8.30266423221613e-05,True,True,#d38fef
Pax6_4,Pax6,64,17.474594420385035,6.931535957765966e-06,9.709378757852888e-05,True,True,#341142
Pax6_3,Pax6,65,17.10670418694969,2.212872734830285e-05,0.0002714817038096,True,True,#693b7b
Pax6_2,Pax6,66,11.774100457747965,0.0001017958551957,0.0009068174590838,False,True,#9e65b5
L2/3 IT_2,L2/3 IT,67,34.06651709605333,7.913447674923191e-11,4.975580225607957e-09,True,True,#e1ec7f
L2/3 IT_8,L2/3 IT,68,16.860310698501596,0.000170143989344,0.0014340080628527,False,True,#93a454
L2/3 IT_6,L2/3 IT,69,11.514063355597294,0.0058927165804117,0.0293468954450211,False,True,#adbc63
L2/3 IT_12,L2/3 IT,70,7.66579072010031,0.008197934584776,0.0374592443419365,False,True,#5f7438
L2/3 IT_3,L2/3 IT,71,4.708180202998176,0.052242607268758,0.1602318991230811,False,False,#d4e078
L2/3 IT_10,L2/3 IT,72,4.567419326095245,0.0658492274798303,0.1884110847346606,False,False,#798c46
L2/3 IT_7,L2/3 IT,73,4.12836436033279,0.0703520518042979,0.1933720331014309,False,False,#a0b05c
L2/3 IT_5,L2/3 IT,74,1.579478490359682,0.1018664048837154,0.2554100205469539,False,False,#bac86a
L2/3 IT_13,L2/3 IT,75,1.0502286058810917,0.2280556413059581,0.4663088925890119,False,False,#536831
L2/3 IT_1,L2/3 IT,76,0.9464852533175064,0.252952301181818,0.5009252263561199,False,False,#eef987
L4 IT_3,L4 IT,77,18.703626625726013,4.1005661398640925e-06,6.44557740109887e-05,True,True,#579697
L4 IT_2,L4 IT,78,8.414753273437904,0.0007246968545774,0.0051341199697528,False,True,#72c3c7
L4 IT_1,L4 IT,79,3.2623632773164535,0.057004227767797,0.1686654503953052,False,False,#8df2f7
L4 IT_4,L4 IT,80,2.896745625565617,0.1608432855875019,0.3611793421897923,False,False,#3c6868
L5 IT_6,L5 IT,81,14.64852453766018,0.0009526118469996,0.0064751859329843,False,True,#3d625f
L5 IT_7,L5 IT,82,16.50942184768067,0.0021034669354552,0.0124475749239294,False,True,#264945
L5 IT_3,L5 IT,83,10.286169292258815,0.0056095471896534,0.0282170199633078,False,True,#82adad
L5 IT_2,L5 IT,84,4.820950118594147,0.0545142913925189,0.1632183843478395,False,False,#99c6c7
L5 IT_5,L5 IT,85,1.3723220256713715,0.1687517207747142,0.3750932580799082,False,False,#547b79
L5 IT_1,L5 IT,86,0.734101325234871,0.2900068781283338,0.552550983706636,False,False,#b0dfe2
L6 IT_1,L6 IT,87,31.467523835386316,1.607136644876661e-07,4.309556650393033e-06,True,True,#beb867
L6 IT_2,L6 IT,88,3.07915993366882,0.016355751620811,0.0641105343732169,False,False,#716c18
L6 IT Car3_1,L6 IT Car3,89,3.006125040876338,0.1700223913364196,0.3750932580799082,False,False,#874fff
L6 IT Car3_3,L6 IT Car3,90,1.540787962856377,0.2222570495789846,0.4563073303601194,False,False,#23068c
L6 IT Car3_2,L6 IT Car3,91,-1.810900720110176,0.9488172936843696,0.9999999946160404,False,False,#631aff
L5 ET_1,L5 ET,92,6.901494289365473,0.0001768284075727,0.0014340080628527,False,True,#67a8b2
L5 ET_2,L5 ET,93,7.051001625921172,0.0563714804839607,0.1677802052274099,False,False,#0d5b78
L5/6 NP_2,L5/6 NP,94,10.341072346812862,0.0075715020309647,0.0362711002054789,False,True,#86ba96
L5/6 NP_4,L5/6 NP,95,6.825853522600472,0.0166040431398711,0.0642448746104246,False,False,#538866
L5/6 NP_1,L5/6 NP,96,3.458193515619289,0.1022675680928029,0.2554100205469539,False,False,#9fd4ae
L5/6 NP_6,L5/6 NP,97,4.584655917458017,0.1103349467064146,0.2681085903059254,False,False,#225637
L5/6 NP_3,L5/6 NP,98,1.229056164383317,0.3516790477612959,0.6343772978437293,False,False,#6da17e
L6 CT_2,L6 CT,99,6.726650966874706,0.0664607489888891,0.1885312592872427,False,False,#5fa3bc
L6 CT_4,L6 CT,100,4.857725205542852,0.1062769571580254,0.2595015021868291,False,False,#1b5166
L6 CT_1,L6 CT,101,3.1426370206903536,0.2029412291262896,0.4238001238654698,False,False,#81cde7
L6 CT_3,L6 CT,102,-1.1583744707186343,0.7159313554304796,0.9581205222769792,False,False,#3d7a91
L6b_4,L6b,103,7.640237583209256,0.0140000863201356,0.0577216673690837,False,False,#715b8b
L6b_5,L6b,104,7.365108485335238,0.0161323000322297,0.0638940702063903,False,False,#553f73
L6b_3,L6b,105,3.648538274743861,0.1025702269393333,0.2554100205469539,False,False,#8e77a3
L6b_6,L6b,106,3.8476549645212863,0.1786586720865214,0.3924249434913549,False,False,#39245b
L6b_1,L6b,107,0.9293452185318806,0.340503265598246,0.625084462028897,False,False,#c7afd4
L6b_2,L6b,108,-2.615328482608906,0.833303770502007,0.9999999946160404,False,False,#aa93bb
Astro_6-SEAAD,Astrocyte,109,2.1204570149614312,0.0659251509210741,0.1884110847346606,False,False,#998a6b
Astro_5,Astrocyte,110,0.3942218197545571,0.4292668874958403,0.7031974554936727,False,False,#383228
Astro_4,Astrocyte,111,-0.4304870202409491,0.6185368224952308,0.873943881222194,False,False,#5e574c
Astro_1,Astrocyte,112,-0.8832673665861598,0.6855543968380706,0.9294713250931256,False,False,#d1c9ba
Astro_2,Astrocyte,113,-1.7049787320751324,0.7501478423287707,0.9851811088547564,False,False,#aaa395
Astro_3,Astrocyte,114,-1.2950307399611114,0.9007922988556578,0.9999999946160404,False,False,#847d71
Oligo_2_1-SEAAD,Oligodendrocyte,115,0.2633074758811553,0.453724777057817,0.7291487631312523,False,False,#5a9b82
Oligo_2,Oligodendrocyte,116,0.0226744964083261,0.4966005789423919,0.7662272736442428,False,False,#799b8e
Oligo_3,Oligodendrocyte,117,-0.1852396897923306,0.5298772439993479,0.8003851463413573,False,False,#4a6b61
Oligo_4,Oligodendrocyte,118,-1.3942499834475697,0.7066339085553859,0.9529138230653058,False,False,#32443d
Oligo_1,Oligodendrocyte,119,-2.4890823625947247,0.8393210111639241,0.9999999946160404,False,False,#b2cec5
OPC_2_1-SEAAD,OPC,120,5.940927615790148,0.0422146721965525,0.1378829877588695,False,False,#4b675f
OPC_1,OPC,121,1.3317749376776074,0.2871329340913029,0.5497052233687603,False,False,#75827f
OPC_2,OPC,122,0.9025739102983518,0.3841246993702142,0.6682626411724872,False,False,#263430
OPC_2_2-SEAAD,OPC,123,-0.7471526352790919,0.6729181318563493,0.927336494037654,False,False,#719a8e
Micro-PVM_2_1-SEAAD,Microglia,124,-0.9145468084128072,0.9575737057851584,0.9999999946160404,False,False,#71af78
Micro-PVM_2_3-SEAAD,Microglia,125,-1.7093699898623649,0.964686232409953,0.9999999946160404,False,False,#2baf3a
Micro-PVM_1_1-SEAAD,Microglia,126,-1.3586200024487978,0.9848490358885936,0.9999999946160404,False,False,#94AF97
Micro-PVM_2,Microglia,127,-1.9017785610245308,0.9855047325723943,0.9999999946160404,False,False,#94af97
Micro-PVM_1,Microglia,128,-1.954831435825128,0.9880426359770256,0.9999999946160404,False,False,#cfe2d0
Micro-PVM_3-SEAAD,Microglia,129,-3.279394788070706,0.9987046885516068,0.9999999946160404,False,False,#7f9381
Endo_1,Endothelial,130,-1.4587456820442068,0.9388068292596436,0.9999999946160404,False,False,#d8bfb8
Endo_2,Endothelial,131,-2.169516740074173,0.9867225331906389,0.9999999946160404,False,False,#b09a93
Endo_3,Endothelial,132,-2.5398648764142937,0.994784681424266,0.9999999946160404,False,False,#6d615e
VLMC_2,VLMC,133,0.3050798934654997,0.3916929090480674,0.6724284411303001,False,False,#697255
VLMC_2_1-SEAAD,VLMC,134,0.1885284243385185,0.4189757879368674,0.699928556664069,False,False,#697255
VLMC_2_2-SEAAD,VLMC,135,-0.7931048877252066,0.801763802421378,0.9999999946160404,False,False,#697255
VLMC_1,VLMC,136,-4.728391322668425,0.9998884132150926,0.9999999946160404,False,False,#979e8a
