supertype,beta,scz_p,scz_neg_log10_p,comp_beta,comp_padj,comp_logp,depleted_fdr20,exemplar,pt_size,color
Sst_2,23.86526762901152,2.6912533790390825e-06,5.570045411883884,-0.254509920135936,0.0009202654525519,4.772483383681198,True,False,3.8634900302087183,#f8b24c
Sst_20,26.09203940248351,2.4640250397833796e-06,5.608354883121048,-0.174676636280529,0.192106022298078,1.7124928330855798,True,False,2.027495699851348,#885616
Sst_25,25.09008025407657,3.079768219338419e-06,5.511481966892437,-0.258992646343256,0.0374670536432624,2.7648069514791676,True,True,2.6588841708875,#693d07
Sst_19,16.232051816893136,0.0008248079502913,3.0836471615569834,-0.05323807353256,0.640121173874938,0.4908016154562489,False,False,1.2944809692737491,#8e5b19
Sst_11,19.873933344469336,1.116212132135086e-05,4.95225326143709,-0.131932494421812,0.405289897405078,1.0679328836338673,False,False,1.6407597301803205,#c08430
Sst_3,11.638766518214664,0.0008648195940594,3.063074479212615,-0.186286911011216,0.0463436408670109,2.5932850975519126,True,False,2.5559710585311475,#f2ad49
Sst_1,10.79228121700683,0.001098378734514,2.9592478839765337,0.0697615060622537,0.569755257858317,0.5862602897668029,False,False,1.3517561738600818,#ffb84f
Sst_9,3.5957313895977174,0.1853951179780769,0.7319017063463094,-0.0612491014058203,0.569755257858317,0.5827681519447009,False,False,1.3496608911668204,#cd8f37
Sst_23,12.446669484028524,0.0006469362106014,3.1891385396552248,-0.0654486788027768,0.652482950989092,0.4557367245787101,False,False,1.2734420347472262,#75470c
Sst_12,7.557087837129479,0.0211267990155025,1.6751662992190073,-0.0614500257970238,0.652482950989092,0.45200555680374,False,False,1.271203334082244,#ba7f2e
Sst_13,3.438535971124077,0.1262005377265436,0.8989387946071529,-0.0817744078418891,0.499604933085498,0.8492047737698872,False,False,1.5095228642619325,#b47a2b
Sst_22,17.317549415325217,8.392671616275216e-05,4.076099769384174,-0.27142856495951,0.0216123264371826,3.100664988019614,True,False,2.8603989928117683,#7b4c10
Sst_10,3.245149525303544,0.1405742031522299,0.8520943696188107,0.07088016835135,0.552868160375212,0.6502021713735867,False,False,1.390121302824152,#c68934
Sst_7,10.65303657293436,0.0015872170968324,2.7993636671279134,0.0150039041691,0.961919380354394,0.0860233010573052,False,False,1.0516139806343832,#d9993d
Sst_4,3.250593530269698,0.114206201849333,0.9423103115384224,0.0416898873119017,0.766718607189817,0.277729231444244,False,False,1.1666375388665464,#eca846
Sst_5,2.4084148459820214,0.1484844059503747,0.8283191541940047,0.0309783749550944,0.833954729695128,0.1920047357940228,False,True,1.1152028414764137,#e6a343
