gene,donor,Not depleted,Vulnerable
CALB1,H18.30.002,0.11475388010817293,0.38450127531600187
CALB1,H19.30.001,0.06102708003105267,0.31946443796213364
CALB1,H19.30.002,0.1513706484015899,0.4599909675824485
SST,H18.30.002,1.2496112210219523,1.2345033576086053
SST,H19.30.001,1.80854031829424,2.048304752495112
SST,H19.30.002,1.476397161585463,1.5490842639865912
