specimen_id,supertype,layer,pia_dist_um,color,soma_x_um,soma_y_um,cell_order
819770858,Sst_25,L2,405.610339,#693d07,0.0,405.610339,0
758996755,Sst_5,L4,1500.0,#e6a343,0.0,1500.0,1
