supertype,mean_layer,median_layer,n_cells,mean_sag,mean_tau,layer_group,HCN1_expr,comp_padj,comp_beta,depleted_fdr20,exemplar,color
Sst_25,2.627906976744186,3.0,43,0.4556552537714285,17.521912914285714,Upper (L2-3),2.387394158665836,0.0374670536432624,-0.258992646343256,True,True,#693d07
Sst_11,2.6666666666666665,2.5,6,0.3309157093333333,16.886492,Upper (L2-3),2.1603140477183755,0.405289897405078,-0.131932494421812,False,False,#c08430
Sst_20,2.6666666666666665,3.0,3,0.3446565616666666,22.11548366666667,Upper (L2-3),2.267465819130841,0.192106022298078,-0.174676636280529,True,False,#885616
Sst_23,2.8666666666666667,3.0,15,0.3571656793,20.9995744,Upper (L2-3),2.267806220408126,0.652482950989092,-0.0654486788027768,False,False,#75470c
Sst_22,3.142857142857143,3.0,7,0.3711220878571429,25.06920285714286,Upper (L2-3),1.9916676724437916,0.0216123264371826,-0.27142856495951,True,False,#7b4c10
Sst_2,3.3125,3.0,8,0.275086636,21.53523471428572,Upper (L2-3),2.0673260253799555,0.0009202654525519,-0.254509920135936,True,False,#f8b24c
Sst_3,3.4166666666666665,3.0,12,0.2848160074,28.9845599,Upper (L2-3),1.8891584227309868,0.0463436408670109,-0.186286911011216,True,False,#f2ad49
Sst_9,3.75,3.5,4,0.3713787196666667,30.82241133333333,Deep (L4-6),1.6419743925115657,0.569755257858317,-0.0612491014058203,False,False,#cd8f37
Sst_13,4.0,4.0,5,0.254827106,32.0296726,Deep (L4-6),1.3748534657718618,0.499604933085498,-0.0817744078418891,False,False,#b47a2b
Sst_19,4.0,4.0,6,0.2018727363333333,29.9156295,Deep (L4-6),1.5301245530879062,0.640121173874938,-0.05323807353256,False,False,#8e5b19
Sst_5,4.75,5.0,10,0.1665375106,35.4989156,Deep (L4-6),1.0010302303396028,0.833954729695128,0.0309783749550944,False,True,#e6a343
Sst_10,5.0,5.0,3,0.310001105,26.343508,Deep (L4-6),1.1750850305071934,0.552868160375212,0.07088016835135,False,False,#c68934
Sst_4,5.0,5.0,6,0.1051650466,32.943678600000005,Deep (L4-6),1.2370416179432249,0.766718607189817,0.0416898873119017,False,False,#eca846
Sst_1,5.318181818181818,5.5,11,0.1119994236363636,31.896802545454545,Deep (L4-6),1.3940732506712843,0.569755257858317,0.0697615060622537,False,False,#ffb84f
Sst_12,5.5,5.5,9,0.133295866625,45.36768025,Deep (L4-6),1.8089688314531023,0.652482950989092,-0.0614500257970238,False,False,#ba7f2e
Sst_7,5.5,5.5,2,0.3019148855,39.376814,Deep (L4-6),1.44510146811643,0.961919380354394,0.0150039041691,False,False,#d9993d
