cell,t_ms,v_mV,i_pA
Sst_25,-40.57999999999995,-59.275,0.0
Sst_25,-39.61999999999999,-59.281254,0.0
Sst_25,-38.660000000000025,-59.256252,0.0
Sst_25,-37.69999999999995,-59.312504,0.0
Sst_25,-36.739999999999995,-59.26875,0.0
Sst_25,-35.77999999999992,-59.26875,0.0
Sst_25,-34.819999999999965,-59.200005,0.0
Sst_25,-33.86,-59.275,0.0
Sst_25,-32.89999999999993,-59.256252,0.0
Sst_25,-31.93999999999997,-59.256252,0.0
Sst_25,-30.980000000000008,-59.218754,0.0
Sst_25,-30.019999999999936,-59.193752,0.0
Sst_25,-29.059999999999974,-59.2875,0.0
Sst_25,-28.100000000000016,-59.300003,0.0
Sst_25,-27.139999999999944,-59.262505,0.0
Sst_25,-26.179999999999982,-59.250004,0.0
Sst_25,-25.22000000000002,-59.2875,0.0
Sst_25,-24.25999999999995,-59.2125,0.0
Sst_25,-23.299999999999986,-59.300003,0.0
Sst_25,-22.340000000000025,-59.306248,0.0
Sst_25,-21.379999999999953,-59.306248,0.0
Sst_25,-20.419999999999995,-59.350002,0.0
Sst_25,-19.460000000000033,-59.36875,0.0
Sst_25,-18.49999999999996,-59.34375,0.0
Sst_25,-17.54,-59.312504,0.0
Sst_25,-16.579999999999927,-59.3625,0.0
Sst_25,-15.619999999999967,-59.387505,0.0
Sst_25,-14.660000000000007,-59.418755,0.0
Sst_25,-13.699999999999935,-59.393753,0.0
Sst_25,-12.739999999999974,-59.375004,0.0
Sst_25,-11.780000000000012,-59.3625,0.0
Sst_25,-10.81999999999994,-59.350002,0.0
Sst_25,-9.85999999999998,-59.34375,0.0
Sst_25,-8.90000000000002,-59.387505,0.0
Sst_25,-7.939999999999947,-59.4,0.0
Sst_25,-6.979999999999986,-59.356255,0.0
Sst_25,-6.020000000000025,-59.356255,0.0
Sst_25,-5.059999999999953,-59.3625,0.0
Sst_25,-4.0999999999999925,-59.387505,0.0
Sst_25,-3.1400000000000317,-59.350002,0.0
Sst_25,-2.1799999999999597,-59.331253,0.0
Sst_25,-1.2199999999999989,-59.356255,0.0
Sst_25,-0.25999999999992696,-59.406254,0.0
Sst_25,0.7000000000000339,-59.843754,-90.0
Sst_25,1.6599999999999948,-60.775,-90.0
Sst_25,2.6200000000000667,-61.537502,-90.0
Sst_25,3.5800000000000276,-62.193752,-90.0
Sst_25,4.5399999999999885,-62.925003,-90.0
Sst_25,5.50000000000006,-63.550003,-90.0
Sst_25,6.460000000000021,-64.0875,-90.0
Sst_25,7.419999999999982,-64.668755,-90.0
Sst_25,8.380000000000054,-65.06875,-90.0
Sst_25,9.340000000000014,-65.5625,-90.0
Sst_25,10.299999999999976,-65.95625,-90.0
Sst_25,11.260000000000048,-66.418755,-90.0
Sst_25,12.22000000000001,-66.7625,-90.0
Sst_25,13.17999999999997,-67.075,-90.0
Sst_25,14.140000000000041,-67.40001,-90.0
Sst_25,15.100000000000001,-67.7,-90.0
Sst_25,16.060000000000073,-67.975,-90.0
Sst_25,17.020000000000035,-68.21875,-90.0
Sst_25,17.979999999999997,-68.4,-90.0
Sst_25,18.94000000000007,-68.674995,-90.0
Sst_25,19.900000000000027,-68.862495,-90.0
Sst_25,20.85999999999999,-68.99375,-90.0
Sst_25,21.82000000000006,-69.2125,-90.0
Sst_25,22.780000000000022,-69.30625,-90.0
Sst_25,23.739999999999984,-69.4375,-90.0
Sst_25,24.700000000000056,-69.5625,-90.0
Sst_25,25.660000000000018,-69.662506,-90.0
Sst_25,26.619999999999976,-69.725,-90.0
Sst_25,27.580000000000048,-69.887505,-90.0
Sst_25,28.54000000000001,-69.93125,-90.0
Sst_25,29.49999999999997,-69.9625,-90.0
Sst_25,30.460000000000043,-69.99376,-90.0
