symbol,specificity,P,neg_log10_p,p_fdr,is_driver,is_hcn1
WDR37,0.002108200091895,0.81404,0.0893542543829547,0.8507836668628606,False,False
ADARB2,0.0002402956281118,0.72794,0.13790441566330652,0.7887456193640247,False,False
PFKP,0.0022270811716377,0.46202,0.3353392242238805,0.5916299375,False,False
PITRM1,0.0022561199296996,0.31128,0.5068487822043138,0.46469553292853805,False,False
KLF6,0.0012406021023652,0.0039312,2.405474860863994,0.024930360000000002,False,False
AKR1E2,0.0032105689470712,0.28229,0.5493045062729942,0.43872763784887675,False,False
AKR1C1,0.0054419101396841,0.6131,0.21246868387276577,0.7073311507363557,False,False
AKR1C2,0.0025242923913458,0.42873,0.3678161260564167,0.5647023926481497,False,False
AKR1C3,0.0017997046193553,0.91301,0.03952446570662627,0.9267457516671959,False,False
AKR1C4,0.0,0.78161,0.10700989284476328,0.8272673296244785,False,False
UCN3,0.0010984472369024,0.42558,0.37101878976782543,0.5623610038035389,False,False
TUBAL3,0.0,0.054837,1.260926312436206,0.15562254109710633,False,False
NET1,0.0041628415920037,0.044317,1.353429646464272,0.13467008499714775,False,False
CALML5,0.0,0.54597,0.26283122028501593,0.6565196817155755,False,False
CALML3,0.0,0.5458,0.26296646866612233,0.6564140427453341,False,False
ASB13,0.0028252537713768,0.45086,0.34595829330256606,0.5829444708737864,False,False
FAM208B,0.0024710390138006,0.3068,0.5131446447230567,0.46060763313609465,False,False
GDI2,0.0018957414117368,0.25723,0.5896783822693175,0.4135351010964692,False,False
ANKRD16,0.0025434461983837,0.55828,0.2531479301743229,0.6656603939122651,False,False
FBXO18,0.0017713540349943,0.54579,0.26297442576506813,0.6564140427453341,False,False
IL15RA,0.0001540220333576,0.65161,0.18601225936737392,0.7346817701425145,False,False
IL2RA,0.0008487797851928,0.57546,0.239984858625006,0.6790037108682812,False,False
RBM17,0.0023074996309198,0.52672,0.278420190803843,0.6419701281269066,False,False
PFKFB3,0.0019035190945534,0.0083844,2.076528010698032,0.04360269977220957,False,False
PRKCQ,0.0031459937544922,0.035176,1.4537535473883503,0.1154635453798768,False,False
SFMBT2,0.0023480198078695,0.49702,0.3036261349791903,0.6187968697413524,False,False
ITIH5,6.0392387046921166e-05,0.08693,1.0608303203748226,0.21005567508315692,False,False
ITIH2,0.0013427972257985,0.2085,0.6808939406902237,0.36510492331288347,False,False
KIN,0.0014721799540382,0.34422,0.4631638997339153,0.4939516593337523,False,False
ATP5C1,0.0013368862929423,0.2714,0.5663901566762818,0.4282428317535545,False,False
TAF3,0.0019898611653314,0.57439,0.24079312966865243,0.6781918426302179,False,False
GATA3,2.2292524677869537e-05,0.62914,0.20125270199187253,0.7184198885316184,False,False
CELF2,0.0019794452674316,0.038713,1.4121431724433284,0.1229965115308151,False,False
USP6NL,0.001215557890262,0.28283,0.5484745264754093,0.43933769731726285,False,False
ECHDC3,0.0003512956324785,0.65771,0.18196555496026146,0.7390046762286439,False,False
PROSER2,0.000475867541936,0.66242,0.17886656366503445,0.7422615355490113,False,False
UPF2,0.001530340723267,0.89389,0.048715921173062136,0.9120208969611848,False,False
DHTKD1,0.0023673806715866,0.37857,0.42185380492764263,0.5239354520263249,False,False
SEC61A2,0.0019270071211066,0.0045577,2.3412542646388466,0.027928145590490793,False,False
NUDT5,0.0020707035771066,0.0022789,2.642274731599368,0.016978601818181817,False,False
CDC123,0.0017685629229808,0.0052871,2.2767824752885755,0.031278282901554405,False,False
CAMK1D,0.0032166939883078,2.0919e-05,4.67945908007542,0.00042695598850574717,True,False
