cell,comp_type,x0,y0,x1,y1
Sst_20,3,0.0,304.031759,-3.8598,312.520659
Sst_20,3,-3.8598,312.520659,-4.7024,314.641859
Sst_20,3,-4.7024,314.641859,-5.0414,315.735159
Sst_20,3,-5.0414,315.735159,-5.3802,316.82725899999997
Sst_20,3,-5.3802,316.82725899999997,-6.3003,317.511159
Sst_20,3,-6.3003,317.511159,-7.1796,318.095359
Sst_20,3,-7.1796,318.095359,-8.2173,318.575859
Sst_20,3,-8.2173,318.575859,-9.2552,319.05755899999997
Sst_20,3,-9.2552,319.05755899999997,-10.2931,319.539159
Sst_20,3,-10.2931,319.539159,-11.2044,320.209159
Sst_20,3,-11.2044,320.209159,-12.0788,320.932459
Sst_20,3,-12.0788,320.932459,-12.9533,321.655859
Sst_20,3,-12.9533,321.655859,-13.4828,322.574259
Sst_20,3,-13.4828,322.574259,-13.7114,323.661059
Sst_20,3,-13.7114,323.661059,-13.9401,324.749259
Sst_20,3,-13.9401,324.749259,-14.013,325.791859
Sst_20,3,-14.013,325.791859,-13.1925,326.585559
Sst_20,3,-13.1925,326.585559,-12.4405,327.434959
Sst_20,3,-12.4405,327.434959,-11.6874,328.28445899999997
Sst_20,3,-11.6874,328.28445899999997,-10.9355,329.133759
Sst_20,3,-10.9355,329.133759,-10.4274,329.802459
Sst_20,3,-10.4274,329.802459,-9.9272,330.830059
Sst_20,3,-9.9272,330.830059,-9.4272,331.859859
Sst_20,3,-9.4272,331.859859,-8.717,332.710659
Sst_20,3,-8.717,332.710659,-7.8252,333.276059
Sst_20,3,-7.8252,333.276059,-6.7571,333.684359
Sst_20,3,-6.7571,333.684359,-5.6891,334.092759
Sst_20,3,-5.6891,334.092759,-4.5617,333.967859
Sst_20,3,-4.5617,333.967859,-3.4283,333.999459
Sst_20,3,-3.4283,333.999459,-2.4401,334.560059
Sst_20,3,-2.4401,334.560059,-1.4649,335.158259
Sst_20,3,-1.4649,335.158259,-0.4598,335.677259
Sst_20,3,-0.4598,335.677259,0.6676,335.869559
Sst_20,3,0.6676,335.869559,1.7953,336.060859
Sst_20,3,1.7953,336.060859,2.4754,336.885759
Sst_20,3,2.4754,336.885759,2.6587,337.999959
Sst_20,3,2.6587,337.999959,2.5206,339.135659
Sst_20,3,2.5206,339.135659,2.3837,340.271459
Sst_20,3,2.3837,340.271459,2.2457,341.407159
Sst_20,3,2.2457,341.407159,2.1076,342.542859
Sst_20,3,2.1076,342.542859,2.1064,343.664159
Sst_20,3,2.1064,343.664159,2.8859,344.497459
Sst_20,3,2.8859,344.497459,3.1945,345.570359
Sst_20,3,3.1945,345.570359,3.3274,346.698759
Sst_20,3,3.3274,346.698759,3.2456,347.837159
Sst_20,3,3.2456,347.837159,3.6875,348.834159
Sst_20,3,3.6875,348.834159,4.3065,349.791859
Sst_20,3,4.3065,349.791859,4.8997,350.770459
Sst_20,3,4.8997,350.770459,5.0026,351.890259
Sst_20,3,5.0026,351.890259,4.8804,353.028059
Sst_20,3,4.8804,353.028059,4.8388,354.159059
Sst_20,3,4.8388,354.159059,5.406,355.053459
Sst_20,3,5.406,355.053459,5.7923,356.097259
Sst_20,3,5.7923,356.097259,5.6919,357.183659
Sst_20,3,5.6919,357.183659,5.5453,358.305559
Sst_20,3,5.5453,358.305559,5.6606,359.373959
Sst_20,3,5.6606,359.373959,5.7217,360.487159
Sst_20,3,5.7217,360.487159,5.579,361.578459
Sst_20,3,5.579,361.578459,5.4355,362.676559
Sst_20,3,5.4355,362.676559,5.2882,363.804059
Sst_20,3,5.2882,363.804059,5.3219,364.940359
Sst_20,3,5.3219,364.940359,5.4398,366.078259
Sst_20,3,5.4398,366.078259,5.5575,367.216259
Sst_20,3,5.5575,367.216259,5.6789,368.353559
Sst_20,3,5.6789,368.353559,6.2109,369.235259
Sst_20,3,6.2109,369.235259,7.0245,370.019959
Sst_20,3,7.0245,370.019959,7.1008,371.13975899999997
Sst_20,3,7.1008,371.13975899999997,6.9549,372.27335899999997
Sst_20,3,6.9549,372.27335899999997,6.9279,373.354259
Sst_20,3,6.9279,373.354259,7.5221,374.30755899999997
Sst_20,3,7.5221,374.30755899999997,8.1859,375.240059
Sst_20,3,8.1859,375.240059,8.2693,376.323959
Sst_20,3,8.2693,376.323959,8.1248,377.429959
Sst_20,3,8.1248,377.429959,7.9765,378.564259
Sst_20,3,7.9765,378.564259,7.8283,379.698659
Sst_20,3,7.8283,379.698659,7.8722,380.651559
Sst_20,3,7.8722,380.651559,8.0086,381.779359
Sst_20,3,8.0086,381.779359,8.0578,382.894359
Sst_20,3,8.0578,382.894359,9.0902,383.310859
Sst_20,3,9.0902,383.310859,9.2937,384.269659
Sst_20,3,9.2937,384.269659,8.9553,385.305359
Sst_20,3,8.9553,385.305359,8.87,386.399559
Sst_20,3,8.87,386.399559,9.1602,387.445759
Sst_20,3,9.1602,387.445759,9.9133,388.268759
Sst_20,3,9.9133,388.268759,10.7636,388.984359
Sst_20,3,10.7636,388.984359,10.8568,390.089159
Sst_20,3,10.8568,390.089159,10.5379,391.116959
Sst_20,3,10.5379,391.116959,10.1423,392.114059
Sst_20,3,10.1423,392.114059,10.268,393.199959
Sst_20,3,10.268,393.199959,11.364,393.456259
Sst_20,3,11.364,393.456259,12.4048,393.799959
Sst_20,3,12.4048,393.799959,12.7961,394.769459
Sst_20,3,12.7961,394.769459,12.5889,395.886859
Sst_20,3,12.5889,395.886859,12.2374,396.943859
Sst_20,3,12.2374,396.943859,12.2895,398.027159
Sst_20,3,12.2895,398.027159,12.7616,398.943759
Sst_20,3,12.7616,398.943759,13.597,399.711659
Sst_20,3,13.597,399.711659,14.2017,400.673359
Sst_20,3,14.2017,400.673359,14.41,401.797759
Sst_20,3,14.41,401.797759,14.5099,402.932259
Sst_20,3,14.5099,402.932259,14.5501,404.062359
Sst_20,3,14.5501,404.062359,15.0691,405.043859
Sst_20,3,15.0691,405.043859,15.3942,406.052159
Sst_20,3,15.3942,406.052159,15.8319,407.038059
Sst_20,3,15.8319,407.038059,16.3674,407.884459
Sst_20,3,16.3674,407.884459,17.4406,408.190859
