supertype,beta,scz_p,scz_neg_log10_p,comp_beta,comp_padj,comp_logp,depleted_fdr20,exemplar,pt_size,color
Sst_2,26.565,9.6248e-07,6.016608286214145,-0.254509920135936,0.0009202654525519,4.772483383681198,True,False,3.8634900302087187,#f8b24c
Sst_20,22.831,8.8474e-06,5.0531843373870995,-0.174676636280529,0.192106022298078,1.7124928330855798,True,False,2.027495699851348,#885616
Sst_25,15.739,0.00057362,3.2413757148398834,-0.258992646343256,0.0374670536432624,2.7648069514791676,True,True,2.6588841708875,#693d07
Sst_19,14.851,0.0019114,2.7186484183272626,-0.05323807353256,0.640121173874938,0.4908016154562489,False,False,1.2944809692737493,#8e5b19
Sst_11,17.236,0.00080116,3.0962807421205167,-0.131932494421812,0.405289897405078,1.0679328836338673,False,False,1.6407597301803203,#c08430
Sst_3,26.83,1.6271e-06,5.788585754922025,-0.186286911011216,0.0463436408670109,2.5932850975519126,True,False,2.5559710585311475,#f2ad49
Sst_1,4.3775,0.099876,1.0005388593194267,0.0697615060622537,0.569755257858317,0.5862602897668029,False,False,1.3517561738600818,#ffb84f
Sst_9,15.393,0.0005904,3.2288536511850148,-0.0612491014058203,0.569755257858317,0.5827681519447009,False,False,1.3496608911668204,#cd8f37
Sst_23,27.849,7.0689e-08,7.150648162030224,-0.0654486788027768,0.652482950989092,0.4557367245787101,False,False,1.2734420347472262,#75470c
Sst_12,4.2543,0.1284,0.8914349762671656,-0.0614500257970238,0.652482950989092,0.45200555680374,False,False,1.271203334082244,#ba7f2e
Sst_13,14.656,0.0014312,2.8442996724406835,-0.0817744078418891,0.499604933085498,0.8492047737698872,False,False,1.5095228642619323,#b47a2b
Sst_22,10.054,0.014605,1.8354984386904314,-0.27142856495951,0.0216123264371826,3.100664988019614,True,False,2.8603989928117683,#7b4c10
Sst_10,8.6424,0.01878,1.7263044120699078,0.07088016835135,0.552868160375212,0.6502021713735867,False,False,1.3901213028241521,#c68934
Sst_7,3.3554,0.20552,0.6871459087417102,0.0150039041691,0.961919380354394,0.0860233010573052,False,False,1.0516139806343832,#d9993d
Sst_4,2.6732,0.22869,0.6407528255103058,0.0416898873119017,0.766718607189817,0.277729231444244,False,False,1.1666375388665464,#eca846
Sst_5,6.6774,0.033409,1.4761365234933115,0.0309783749550944,0.833954729695128,0.1920047357940228,False,True,1.1152028414764137,#e6a343
