stratum,gene,k,estimate,se,z,padj
depleted,A1BG-AS1,6,0.033947277005139,0.09237720485582952,0.367485431694102,0.9368667239565326
depleted,A2ML1,7,0.1574790228160087,0.08277318333216808,1.9025367453133548,0.5346569168589208
depleted,A2ML1-AS1,7,-0.0678670937716197,0.12736976927857652,-0.5328351786771658,0.9074301992704102
depleted,AAAS,6,0.04017363795090142,0.07679370696704767,0.5231371102861334,0.9093313866731072
depleted,AACS,7,-0.1387763154406473,0.03887120832450672,-3.5701569727935234,0.12330546124645682
depleted,AADAT,6,-0.04350044780812554,0.05419818516969589,-0.802618162802399,0.8424946196893048
depleted,AAGAB,7,-0.08549160269339684,0.04663037721068894,-1.8333886150464136,0.5620428263273402
depleted,AAK1,7,0.00900096571780467,0.02167257292727866,0.41531597323525,0.9314803924364572
depleted,AAMDC,7,-0.01060439481696118,0.05651419907429649,-0.18764124752117775,0.9736570399148614
depleted,AAMP,6,-0.05839253045040718,0.07690911277824167,-0.7592407237719039,0.8516332168567954
depleted,AAR2,6,0.03602293887078336,0.0669899296871497,0.5377366275649852,0.9056266088420308
depleted,AARS2,6,-0.0722345879697831,0.06049502538779409,-1.1940583131709483,0.7371483842341826
depleted,AASDH,7,-0.02259129242002036,0.06420978810990628,-0.35183564819356533,0.9389036554055604
depleted,AASDHPPT,7,0.04826659208342264,0.06268507982437138,0.7699853333305804,0.8473546607481087
depleted,AATF,7,0.05627318158674877,0.04554782510984279,1.2354746126964524,0.721551748208964
depleted,AATK,7,-0.10193215219011344,0.04474989668796127,-2.2778187154460063,0.4351187228920595
depleted,ABAT,6,-0.02290272154743932,0.02598785549323556,-0.8812855509913358,0.8229348750662275
depleted,ABCA1,7,-0.02496800726920154,0.06773566924729615,-0.368609442361097,0.9367178969215836
depleted,ABCA10,7,-0.01982646556538467,0.03913216281008262,-0.5066539680315414,0.913163248208214
depleted,ABCA2,7,-0.09785793242332684,0.05757458680495846,-1.6996723355537666,0.6044116915133241
