pathway,pval,padj,log2err,ES,NES,size,leadingEdge,coef
GOBP_OSTEOBLAST_DIFFERENTIATION,0.044379712131596985,0.6211447152898245,0.08856399378587741,0.29075315529475154,1.3212252379005407,127,PRKD1|WWOX|CRIM1|HIRA|NF1|RUNX2|FASN|ACVR2A|LRP3|SMAD5|SYNCRIP|SOX11|RSL1D1|PTEN|NPNT|JUND|HSD17B4|PPARG|MEF2C|RRAS2|GTPBP4|TMEM64|ASF1A|ADAR|NELL1|SUFU|MEN1|ZHX3|SKI|MAPK14|FGFR2,dxSCZ:stratumdepleted
GOBP_OSTEOBLAST_PROLIFERATION,0.4407645722937169,0.9056786470720305,0.02618664456518662,0.3337397392800285,1.0079454225462239,19,ABL1|BCL2|NELL1|MN1|FGFR2,dxSCZ:stratumdepleted
GOBP_OSTEOCLAST_DIFFERENTIATION,0.33992381643388353,0.8665786497206514,0.030047058097799832,0.2785661761271281,1.0705260280678957,51,NF1|FBN1|ZNF675|GAB2|FSTL3|TF|CREB1|TMEM64|SNX10|FOXP1|PPARGC1B|MAPK14,dxSCZ:stratumdepleted
GOBP_OUTFLOW_TRACT_MORPHOGENESIS,0.7109574080815435,0.9816415888039477,0.018022382964453736,0.2370128825445471,0.8544998607444292,38,PRICKLE1|SOX11|NEDD4|MEF2C|TGFBR3|DVL2|HIF1A|FGFR2|ROBO1|RYR1|ROBO2|ZFPM1|NIPBL|SMAD4|EDNRA,dxSCZ:stratumdepleted
GOBP_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS,0.4369747899159664,0.901998260945307,0.02815621163649068,-0.3546948271004605,-1.0120843600011487,14,NRP2|NRP1|PARVA|TGFB2|BMPR1A|ACVR1|ZFPM2|BMPR2,dxSCZ:stratumdepleted
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT,0.23424807903402853,0.8146313010501157,0.04175478081354874,-0.3270473501903516,-1.1586330065219548,31,ZNF830|BAX|UBE3A|TAF4|FOXO3|VEGFA|SOD1|GAS2|EIF2B2|EIF2B4|ZP3|RAC1|LSM14B|VGF|ATM,dxSCZ:stratumdepleted
GOBP_OVULATION_CYCLE,0.6237837837837837,0.9622475141473752,0.022659294135596395,-0.26100191295427116,-0.8954307095367614,27,NCOR2|OPRK1|ZNF830,dxSCZ:stratumdepleted
GOBP_OVULATION_CYCLE_PROCESS,0.9894022891055532,0.999644282896583,0.015420814358426368,-0.17026801670140126,-0.530818899635387,19,ZNF830|FOXO3|GAS2|TGFB2|ZP3|PTPRN|CASP2,dxSCZ:stratumdepleted
GOBP_OXIDATIVE_PHOSPHORYLATION,0.0013168050816985532,0.12985661999185052,0.45505986738722953,-0.36351657148705563,-1.6390587437310662,95,COX5B|NDUFS8|NDUFA3|CYC1|CYCS|COX7B|MTCH2|NDUFB2|SIRT3|COX7A2|NDUFA2|NDUFB11|NDUFAB1|UQCRH|UQCRB|DNAJC30|COQ9|UQCR10|COX7C|NDUFA12|CHCHD10|PARK7|COX6B1|NDUFC1|ISCU|PINK1|NDUFS5|DLD|NDUFB9|COA6|NDUFB3|AK4|NDUFA4|NDUFA1,dxSCZ:stratumdepleted
GOBP_O_GLYCAN_PROCESSING,0.06770735377092345,0.661546266251628,0.0747093797274478,0.4627311766877347,1.4381274263252914,21,GALNT13|GALNT1|GALNT2|GXYLT2,dxSCZ:stratumdepleted
