pathway,pval,padj,log2err,ES,NES,size,leadingEdge,signature,source
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.0759682224428997,0.49022884210125495,0.06581329395295889,-0.28274449869815754,-1.2764903545394004,115,ITGB5|EVL|SHANK1|ACTG1|ITGB1|LUZP1|PAK1|TAC1|NRP1|KCTD13|MKKS|MICAL1|CDC42|ARHGAP6|ZYX|CX3CL1|FAM171A1|ARHGEF10L|ADD1|STMN1|PPFIA1|LIMK1|LPAR1|MTSS1|MTOR|SPIRE2|TESK1|DNM2|DLC1|TTC8,depleted,C5:GO:BP
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.6276483050847458,0.89754269029896006,0.019427618696864477,-0.24236349246325425,-0.8976892526964664,41,MICAL3|TWF1|MICAL1|SPTBN2|TMOD3|ADD1|CFL2|SVIL|CAPZB|WASHC2C|MICAL2|CARMIL1|CAPZA2|LIMA1|TMOD2|CAPZA1|SPTBN4|CARMIL2|SEMA5A|FLII|SPTB,depleted,C5:GO:BP
GOBP_ACTIN_FILAMENT_ORGANIZATION,0.020160679096559043,0.3033984531989767,0.12449997625338785,-0.2540819402591732,-1.3020509670755993,292,ITGB5|EVL|SHANK1|RHOBTB1|MYO5B|ACTG1|ITGB1|MICAL3|LUZP1|PAK1|ARPC5|GBA2|TAC1|NRP1|TPM3|TWF1|KCTD13|FAT1|MKKS|MICAL1|WIPF1|CORO6|CYFIP1|PICK1|CDC42|ARHGAP6|ZYX|CX3CL1|GAS2L1|HDAC6|GRB2|SHROOM3|TMSB4X|KANK1|SPTBN2|RND2|ARPC5L|GAS2|RNH1|HIP1|FAM171A1|BRK1|RGS4|TMOD3|ARHGEF10L|ADD1|WASHC2A|WASHC1|STMN1|PPFIA1|LIMK1|LPAR1|PLEC|ACTR2|MTSS1|MTOR|ARHGEF2|SPIRE2|CFL2|ARPC3|PRKCE|TESK1|DBN1|RASA1|DNM2|CARMIL3|DLC1|SVIL|CAPZB|TTC8|BIN1|WASHC2C|RND1|MYO1E,depleted,C5:GO:BP
GOBP_ACTIN_FILAMENT_POLYMERIZATION,0.7359494512803458,0.9239936960661077,0.016192165856635066,-0.19677125499435477,-0.8714095740122185,101,EVL|ARPC5|GBA2|TWF1|MKKS|CYFIP1|ARHGAP6|GRB2|TMSB4X|KANK1|SPTBN2|ARPC5L|TMOD3|ADD1|MTOR|ARPC3|PRKCE|RASA1|SVIL|CAPZB|BIN1|WASHC2C|WASF3|ARPC2|SSH1|MSRB2|WASHC5,depleted,C5:GO:BP
GOBP_ACTIN_FILAMENT_SEVERING,0.8603593851483005,0.9611029156751572,0.017767554944816806,0.2498472307653567,0.6953667563605713,12,MYH9|AVIL|GSN|VILL|SRGAP2|GMFB,depleted,C5:GO:BP
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,0.12001931900507123,0.5684713013563195,0.06311857595872994,0.28291773465722914,1.2293993945573474,71,ROCK1|ADCY10|SCN9A|QKI|SCN11A|SGCD|PIK3CA|FLNA|HCN4|ANK2|CAMK2D|AKAP9|KCNN2|CACNB2|LIMCH1|PDE4D|SCN2A|KCNJ3|SLC9A1|MYH7B|RYR2|EPB41L5|CTNNA3|PKP2|TTN|ADORA1|SCN3B|TPM1|CACNA2D1|GSN|ATP1A2|SCN3A,depleted,C5:GO:BP
GOBP_ACTIN_NUCLEATION,0.32265446224256294,0.7582816941457188,0.030457871367450866,-0.290517057533905,-1.0823170128157162,42,ARPC5|CYFIP1|PICK1|ARPC5L|RNH1|BRK1|WASHC2A|WASHC1|ACTR2|SPIRE2|ARPC3|CARMIL3|WASHC2C|WASF3|ARPC2,depleted,C5:GO:BP
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,0.5031415343915344,0.8509992455651982,0.021816777269827704,-0.2161338246560901,-0.9804920932854305,120,EVL|MICAL3|ARPC5|GBA2|TWF1|MKKS|MICAL1|WIPF1|CYFIP1|ARHGAP6|GRB2|TMSB4X|KANK1|SPTBN2|ARPC5L|BRK1|TMOD3|ADD1|MTOR|CFL2|ARPC3|PRKCE|RASA1|SVIL|CAPZB|BIN1|WASHC2C|WASF3|ARPC2|SSH1|MICAL2,depleted,C5:GO:BP
GOBP_ACTION_POTENTIAL,0.790440251572327,0.9373133006917543,0.02131697366527026,0.18194465198784057,0.8682069754772499,117,GRIA1|GRIK2|GPRIN3|SCN9A|CD36|KCNMB2|SCN11A|KCNS2|FLNA|AKAP6|CHRNB2|KCNA3|HCN4|ANK2|CAMK2D|AKAP9|KCNN2|CACNB2|SCN2A|TACR1|KCNJ3|SLMAP|SLC9A1|ANK3|FKBP1B|RYR2|CACNB4|BBS10|KCNC2|CXADR|KCNB2|CTNNA3|PKP2|TMEM161B|SLC8A2,depleted,C5:GO:BP
GOBP_ACTION_POTENTIAL_PROPAGATION,0.5203040979046912,0.8589782064226068,0.023103295947748025,-0.3742120595821755,-0.9515133120817052,10,SCN1B|CNTNAP1|NTRK2,depleted,C5:GO:BP
