"logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype","SE","FDR"
-0.269183822615419,-0.864461520203111,-3.64142030633058,0.000480501437816681,0.040922058329688,-0.218800077067991,"Sst_20",0.0739227554005356,0.040922058329688
0.165563155080896,-1.08477142986475,3.49063094824751,0.000788493349058239,0.040922058329688,-0.612501504314142,"Pax6_2",0.0474307245697281,0.040922058329688
0.174038083519004,0.344029924970308,3.37372162742553,0.00114734742980434,0.040922058329688,-0.930527823814178,"Lamp5_1",0.0515863792982268,0.040922058329688
0.139499069573458,1.80387150712302,3.21841833397301,0.00186499206695108,0.0498885377909413,-1.33941065879278,"Lamp5_2",0.043343983005855,0.0498885377909413
0.114258380622255,1.44542779759218,3.11523369953078,0.00255472687325217,0.0546711550875964,-1.59951226209599,"L4 IT_1",0.0366773063091431,0.0546711550875964
0.137190213552161,0.225292740042542,3.0360916095391,0.00323759641584368,0.0552570594034795,-1.79808057333552,"Vip_9",0.0451864539005092,0.0552570594034795
-0.142123396557866,-2.01246836907102,-2.96112522788979,0.00403727474625798,0.0552570594034795,-2.11856566213626,"Sst Chodl_2",0.047996415423183,0.0552570594034795
-0.160271031594013,-0.5026989737221,-2.91285310417509,0.00464505661013938,0.0552570594034795,-2.2247634801069,"Sst_23",0.0550220096455573,0.0552570594034795
0.250956295679824,-2.68189323191409,2.81640420301124,0.00611940594802376,0.0552570594034795,-2.44782920897845,"L5/6 NP_6",0.0891052127430809,0.0552570594034795
0.0992616516947731,0.720027677396727,2.81112233521591,0.00621139328359658,0.0552570594034795,-2.35269504166025,"Vip_11",0.0353103279965044,0.0552570594034795
0.168182101502004,1.97289216175573,2.80137191366179,0.00638454282023365,0.0552570594034795,-2.35345300926319,"L4 IT_2",0.0600356206478012,0.0552570594034795
-0.240932936943656,-1.99972606268117,-2.7317812889333,0.00775459382523844,0.0552570594034795,-2.65373533499589,"Sst_22",0.0881962761512781,0.0552570594034795
-0.132760811569944,-1.4754282607194,-2.7293373971622,0.00780725931391565,0.0552570594034795,-2.65678694713392,"Sst Chodl_1",0.0486421399230379,0.0552570594034795
0.129997256386561,1.00066647024823,2.72124896043377,0.00798390069295016,0.0552570594034795,-2.52691688168671,"L5 IT_1",0.0477711735591585,0.0552570594034795
0.168570341398367,-1.40100397705551,2.711463871911,0.00820246500784557,0.0552570594034795,-2.60668746205467,"L2/3 IT_2",0.0621694956531217,0.0552570594034795
0.117369042797684,-0.324074071745112,2.70880730002484,0.00826273785472591,0.0552570594034795,-2.5779914047854,"Sst_5",0.0433286793034733,0.0552570594034795
0.096507180313856,1.36806011440679,2.56399865470307,0.0122266419334122,0.0737821722473597,-3.07009993402201,"Pvalb_2",0.0376393256434966,0.0737821722473597
-0.129826549668017,-0.774391700063177,-2.53738152089942,0.013119350691077,0.0737821722473597,-3.10672827718887,"Pvalb_8",0.0511655612680579,0.0737821722473597
0.0951910984275664,-0.586299532956388,2.53069537601004,0.0133526346707443,0.0737821722473597,-3.01133090886066,"Sst_1",0.0376146016347678,0.0737821722473597
