"logFC","AveExpr","t","P.Value","adj.P.Val","B","celltype","SE","FDR"
0.164997946856302,1.64759504101355,4.96797698372411,3.69052473991205e-06,0.000402267196650413,4.13469462749987,"Lamp5_Lhx6_1",0.0332123009822432,0.000402267196650413
-0.354773526482968,-0.538468449665296,-4.58869201694325,1.60562057681647e-05,0.000875063214364975,2.61404478577886,"Pvalb_14",0.0773147391834111,0.000875063214364975
-0.295014421139257,-0.710670394057354,-4.45806780727999,2.62786128154441e-05,0.000954789598961137,2.16572276808734,"Sst_2",0.0661754001716844,0.000954789598961137
0.220051579598774,0.169158621887095,4.27082463421741,5.25484345108841e-05,0.00134945317601399,1.65728103730527,"Vip_5",0.0515243772445591,0.00134945317601399
0.205371011947043,1.80668232064394,4.22591338854762,6.1901521835504e-05,0.00134945317601399,1.44664693489953,"Lamp5_2",0.0485980172957652,0.00134945317601399
-0.349663800315711,-0.853907580139159,-4.16701459218059,7.66247365949047e-05,0.00139201604814077,1.13049181761235,"Sst_23",0.0839123052201101,0.00139201604814077
0.246039333114783,1.73581587721607,4.07838381480616,0.000105302888818089,0.00163971641159596,0.992494275639488,"L4 IT_4",0.0603276553377743,0.00163971641159596
0.254472678204681,-0.724304445522477,4.03709509835777,0.000121951325356071,0.00166158680797646,0.735691898317118,"L6b_4",0.0630336100599157,0.00166158680797646
0.233686701801385,0.237688487397123,3.85784659086215,0.000228335321321969,0.00238479971616896,0.326282899064335,"Vip_6",0.060574389441743,0.00238479971616896
0.233788300469213,0.610011850865356,3.85189135740122,0.000233076537729258,0.00238479971616896,0.188463232537575,"L6 IT_1",0.0606944170478746,0.00238479971616896
0.152117807436691,1.19924112750659,3.84259314295309,0.000240667861264757,0.00238479971616896,0.228438979361083,"L5 IT_1",0.0395872791569565,0.00238479971616896
0.198299842361131,-0.878285477303298,3.67610802736028,0.000423880021801835,0.00385024353136667,-0.293688025835081,"Sst_1",0.0539428767830648,0.00385024353136667
0.193447953413518,-0.991375889071936,3.58502790886023,0.000574030807916318,0.0047881947256472,-0.611759736060108,"Pax6_2",0.053959957448426,0.0047881947256472
0.262481494671127,0.207167601483624,3.54536166861978,0.000654117216195307,0.0047881947256472,-0.835250076417794,"L6 CT_1",0.0740351815145877,0.0047881947256472
-0.359743842233221,-1.6692853238177,-3.5431290427507,0.00065892587967622,0.0047881947256472,-0.85091847005256,"Sst_11",0.101532808399757,0.0047881947256472
-0.401300691129102,-1.54185124682117,-3.43865019149056,0.000925345713140882,0.00630391767077226,-1.1534795636928,"Sst_20",0.116702970288219,0.00630391767077226
0.166252186295605,-0.453281138325134,3.3933687415474,0.00106994284593537,0.00686022177687974,-1.22277818686394,"Pvalb_7",0.0489932568365067,0.00686022177687974
0.273966649679934,-1.02612310368044,3.29615670898045,0.00145529376629929,0.0081385904919065,-1.59355626126693,"L6b_1",0.083116997724503,0.0081385904919065
0.167790193591572,1.23183758401823,3.29002922879743,0.00148350413256815,0.0081385904919065,-1.53993826648028,"L6 IT Car3_3",0.0509996057551447,0.0081385904919065
0.253456267625259,-0.181731241475222,3.28350885972308,0.00151408643497188,0.0081385904919065,-1.54463570373894,"Lamp5_1",0.0771906757232368,0.0081385904919065
