model,diagnosis,n_subjects,n_frames,beta_count,se_count,p,beta_density,se_density,ci_lo_density,ci_hi_density
All layers,SCZ,54,1078,-0.5965469606011637,0.33081390819714834,0.07134574370808003,-5.379676618971798,2.9832887680216102,-11.226922604294154,0.4675693663505582
All layers,Bipolar,54,1078,-0.37901229590173,0.30523116356109825,0.21433909554868846,-3.4179431314353095,2.752582885237474,-8.813005586500758,1.9771193236301396
All layers,MDD,54,1078,0.07540429197448238,0.3184849175227446,0.8128434648301586,0.6799979436597172,2.87210559679269,-4.949329026053954,6.3093249133733895
L2/3,SCZ,54,538,-0.7623322826275274,0.4977050362305329,0.1255977331205122,-6.874733135184981,4.488317472702729,-15.671835381682328,1.9223691113123673
L2/3,Bipolar,54,538,-0.3841856048009856,0.45924210192081605,0.40283744944751143,-3.464596170954609,4.141457691212078,-11.58185324573028,4.6526609038210625
L2/3,MDD,54,538,0.10549631931085587,0.47928828096853465,0.8257852012798249,0.9513686597485402,4.322234675833804,-7.520211304885715,9.422948624382794
L5/6,SCZ,54,540,-0.434038419176398,0.32336343736037604,0.17951109495049622,-3.9141701988150133,2.9161002205843323,-9.629726631160304,1.8013862335302777
L5/6,Bipolar,54,540,-0.3774340374008174,0.29833729256424757,0.20582643810158718,-3.403710353604211,2.690413770204868,-8.676921343205752,1.8695006359973287
L5/6,MDD,54,540,0.05069286048201261,0.31121273423338347,0.8706065164637943,0.45714958636124964,2.8065248512781564,-5.0436391221439365,5.957938294866436
