cell_type,term,coef,p
SST,Intercept,4.043212373133782,3.5141035598200827e-06
SST,BP,-0.42136781080670155,0.36789869137791775
SST,MDD,0.8796813350559806,0.0683820523445454
SST,SCHIZ,-0.5323738024957683,0.297368481100461
SST,L56,-1.443179802179337,2.0613056256241994e-11
SST,BP:L56,0.30107453902144277,0.3160665964751739
SST,MDD:L56,-0.407721747952635,0.187017504371206
SST,SCHIZ:L56,0.13603694503648026,0.6758175978596968
SST,age,-0.011099086252246718,0.5103850351276046
SST,sex_binary,-0.3147850782237364,0.33637010152989233
SST,Group Var,0.3851600020782571,1.4848611809075223e-06
VIP,Intercept,2.7827183534608184,2.596005115529996e-16
VIP,BP,-0.49364503235655854,0.012671808672654489
VIP,MDD,-0.5423424464287572,0.007919334249074875
VIP,SCHIZ,-0.6778061462944994,0.001690236095613908
VIP,L56,-1.7849031394406003,1.2858686362849431e-34
VIP,BP:L56,0.66911366575639,0.0009706647606914654
VIP,MDD:L56,0.6619229311393594,0.0015164207550678005
VIP,SCHIZ:L56,0.5563317108691718,0.011341548438876078
VIP,age,-0.013238033794774333,0.04068643820467542
VIP,sex_binary,0.025707663842044808,0.8378289827945794
VIP,Group Var,0.09030820567629193,0.00046477399747830257
PV,Intercept,1.5829959986930084,1.2829207190309283e-10
PV,BP,-0.12313303936022128,0.3529006401271859
PV,MDD,-0.043337949876144144,0.7449426501179819
PV,SCHIZ,-0.278418548405547,0.042525287353111
PV,L56,-0.10000000000000012,0.24347302412349958
PV,BP:L56,-0.14210526315789448,0.23494280219566122
PV,MDD:L56,-0.04210526315789464,0.7248999521502832
PV,SCHIZ:L56,-0.14117647058823515,0.2511434878992277
PV,age,-0.017449695445570207,0.00017999397074224292
PV,sex_binary,-0.1481664235221187,0.07945524289839681
PV,Group Var,0.14271219274323046,2.8373535636711408e-05
PYR,Intercept,13.616703442143022,0.00023161210686432597
PYR,BP,1.6888756353876049,0.3644378191536397
PYR,MDD,1.6969519432702243,0.36497876482228486
PYR,SCHIZ,-0.9522577362354719,0.6218646393507761
PYR,L56,1.0055555555555473,0.1539336298347559
PYR,BP:L56,-2.8739766081871267,0.0034987363245212394
PYR,MDD:L56,-0.6266081871344946,0.5243377229447966
PYR,SCHIZ:L56,-2.7702614379084887,0.006190616916357477
PYR,age,0.02515681135317926,0.7221210849971085
PYR,sex_binary,-0.6543996463878896,0.6099481134941821
PYR,Group Var,0.6066339253774593,1.7682451858309073e-07
