pathway,pval,padj,log2err,ES,NES,size,leadingEdge,cell_type
REF_HALLMARK_OXPHOS,0.22623644538481882,0.22623644538481882,0.014202408033404902,-0.3413466518090667,-1.1726148838255996,45,SLC25A3|ACO2|VDAC3|GPX4|POR|NDUFA4|MTX2|NDUFB2|COX4I1|CYB5R3|COX6C|UQCRC2|SUCLG1|ATP1B1|SLC25A12|GLUD1|ATP6V1H|ATP6V1C1|MDH1|SUCLA2,Endo
REF_REACTOME_TRANSLATION,2.3687659797020556e-5,9.475063918808222e-5,0.5756102610711286,0.3713443035488921,1.8360174615033673,121,RPN1|MRPS27|RPS29|RPS16|AIMP1|RPLP0|EEF1D|RPL37A|RPS2|GSPT1|RPS14|RPSA|RPL27|EIF3E|RPL6|EIF3B|EIF3M|NARS2|EIF5|EIF2S2|RPS11|RPS7|SRPRA|RPLP2|EIF4G1|EIF2S1|RPS3|RPS27L|RPS20|EIF3H|SSR3|RPL12|SPCS2|RPL4|EIF3F|RPN2|MRPL33|SEC11A,Endo
PGC3_SCZ_GWAS_no_MHC,0.0042941492216854536,0.008588298443370907,0.12026066604523687,-0.2705403383787514,-1.3851268431667418,350,ANAPC7|LPCAT4|R3HDM2|GMEB1|PITPNM2|SHANK3|CKMT1B|ZNF536|RABL2B|ZNF491|UNC45A|IGSF9B|PLCH2|THRAP3|DGKZ|AMBRA1|B9D1|SREBF2|GRIN2A|SLC45A1|PLCL2|FES|MSANTD2|EPN2|TRIM9|PDE6B|NRBP2|GABBR2|CRELD2|CTNND1|PIM3|ARSA|GRAMD1B|ZSWIM6|ZNF707|FAHD2B|MAN2A2|SCRIB|ZNF440|ZFYVE21|PDE4B|DLX1|INO80E|MORN1|SUGP1|SLC38A7|DGKI|CPLX1|GALNT2|GNE|ASPHD1|IFT81|CLTA|UBE2D2|SEC11A|CUL9|SF3B1|CDK2AP1|KCNB1|ESAM|GOT2|TAF12|PFDN5|SPG7|SIAE|XRCC3|LHFPL3|STAC3|GRM3|AKT3|TTBK1|GLT8D1|CACNA1C|KDM4A-AS1|LRP1|PUF60|PPP1R13B|SLC39A8|SP7|CATSPER2|GMEB2|HES5|BUB1B|CPT1C|OPCML|C12orf42|MYL5|RNF38|CNTN4|ATXN7|KLF6|DCLK3|CTDP1|NOSIP|ZNF823|CTNNA2|BCL2L12|AP3B2|PEX10|PTPRT,L2_3 IT
PGC3_SCZ_GWAS_with_MHC,0.0042941492216854536,0.008588298443370907,0.12026066604523687,-0.2705403383787514,-1.3851268431667418,350,ANAPC7|LPCAT4|R3HDM2|GMEB1|PITPNM2|SHANK3|CKMT1B|ZNF536|RABL2B|ZNF491|UNC45A|IGSF9B|PLCH2|THRAP3|DGKZ|AMBRA1|B9D1|SREBF2|GRIN2A|SLC45A1|PLCL2|FES|MSANTD2|EPN2|TRIM9|PDE6B|NRBP2|GABBR2|CRELD2|CTNND1|PIM3|ARSA|GRAMD1B|ZSWIM6|ZNF707|FAHD2B|MAN2A2|SCRIB|ZNF440|ZFYVE21|PDE4B|DLX1|INO80E|MORN1|SUGP1|SLC38A7|DGKI|CPLX1|GALNT2|GNE|ASPHD1|IFT81|CLTA|UBE2D2|SEC11A|CUL9|SF3B1|CDK2AP1|KCNB1|ESAM|GOT2|TAF12|PFDN5|SPG7|SIAE|XRCC3|LHFPL3|STAC3|GRM3|AKT3|TTBK1|GLT8D1|CACNA1C|KDM4A-AS1|LRP1|PUF60|PPP1R13B|SLC39A8|SP7|CATSPER2|GMEB2|HES5|BUB1B|CPT1C|OPCML|C12orf42|MYL5|RNF38|CNTN4|ATXN7|KLF6|DCLK3|CTDP1|NOSIP|ZNF823|CTNNA2|BCL2L12|AP3B2|PEX10|PTPRT,L2_3 IT
REF_HALLMARK_OXPHOS,0.025387944684893908,0.033850592913191875,0.06549843273455913,0.2675443473430392,1.325348372206306,170,CASP7|MTRF1|GRPEL1|OPA1|ATP6V1H|DECR1|FDX1|PDP1|MTRR|HSPA9|MRPS30|COX4I1|NDUFB6|PDHX|ATP6V1C1|TIMM9|ALDH6A1|NDUFC1|NDUFS1|POR|ACAA2|NDUFA4|ATP6V1E1|PHB2|NDUFA3|GPX4|NDUFA8|COX7B|MRPL35|RHOT1|CYCS|TIMM10|NDUFA2|ATP6V1G1|ACAT1|ATP6AP1|SLC25A4|COX7A2|SLC25A6|GLUD1|COX6B1|COX6C|ECHS1|MRPS12|PDHA1|ATP6V1F|UQCR10|COX17|SLC25A11|VDAC2|TOMM70|NDUFA6|OAT|NDUFS3|LDHB|COX5B|LDHA|COX5A|NDUFA1|NDUFB3|SDHC|MDH2|MAOB|IDH3G|MGST3|ETFB|COX6A1|VDAC1|DLAT,L2_3 IT
REF_REACTOME_TRANSLATION,0.2536720921000397,0.2536720921000397,0.020585028661047618,0.20540565588950133,1.0724052291767314,253,PABPC1|GFM2|MRPS31|RARS2|RPS27L|MRPL42|MRPL44|SRP68|SEC61G|MRPS30|RPS29|GADD45GIP1|SRP14|MRPS18C|RPS2|EIF3E|MRPS14|MRPS10|EIF1AX|TRAM1|RPL4|MRPL47|EIF5|SSR3|RPS11|EEF1A1|SRP72|MRPL21|RPSA|EIF3I|MRPL35|MRPL52|EIF3F|MRPL50|EEF1A2|AIMP1|RPS16|SPCS1|RPL3L|MTRF1L|RPS15|RPL18A|SRP9|MRPS12|MRPL22|RPL18|SEC61B|MTIF2|EIF3J|UBA52|MRPL10|MRPL54|YARS2|NARS2|MRPL37|RPS28|RPL31|GSPT2|AURKAIP1|EIF4H|MRPL18|MRPL13|SRP19|RPL15|RPS20|MRPL40|TRMT112|RPL29|RPLP0|EIF3C|EIF2S2|GSPT1|MRPL1|RPL39|EIF4EBP1|EIF3H|RPS14|MRPS2|MRPL20|RPL8|MRPS18B|MRPS34|CHCHD1|MRPL17|SPCS2|RPL27A|RPL37A|EIF4A2|EARS2|MRPS27|EIF3G|ERAL1|EIF3M|RPL28|RPL22L1|MRPL51|MRPS18A|RPL7|SPCS3,L2_3 IT
PGC3_SCZ_GWAS_no_MHC,0.0977119354709899,0.1954238709419798,0.028445153310541177,-0.22077320927842575,-1.16502679821396,327,LPCAT4|CRELD2|IGSF9B|SLC45A1|ASPHD1|RABL2B|PFDN5|GMEB2|GABBR2|R3HDM2|SCARA3|GALNT2|THRAP3|NRBP2|UNC45A|SPG7|ZNF440|PPP1R13B|MSANTD2|PTK7|ARHGAP44|ZEB2-AS1|B9D1|GRAMD1B|XRCC3|SGCD|ZFYVE21|ARSA|BRD1|PIM3|SUGP1|ACTR1B|RCCD1|ZSWIM6|CPLX1|KCNB1|ZNF536|SREBF2|MAN2A2|SEC11A|SPOCK3|NPTXR|EPN2-AS1|DGKZ|DGKI|CTNND1|GOLGA8A|PLCH2|AMBRA1|PRKD1|ZNF707|ANAPC7|GLT8D1|GRIN2A|SHANK3|FAHD2B|METAP1D|GMEB1|PEX10|EPN2|CPEB1-AS1|LHFPL3|CACNB2|UBE2D2|PITPNM2|PDE6B|CUL9|CALN1|KDM4A-AS1|PPIP5K1|ZNF823,L4 IT
PGC3_SCZ_GWAS_with_MHC,0.0977119354709899,0.1954238709419798,0.028445153310541177,-0.22077320927842575,-1.16502679821396,327,LPCAT4|CRELD2|IGSF9B|SLC45A1|ASPHD1|RABL2B|PFDN5|GMEB2|GABBR2|R3HDM2|SCARA3|GALNT2|THRAP3|NRBP2|UNC45A|SPG7|ZNF440|PPP1R13B|MSANTD2|PTK7|ARHGAP44|ZEB2-AS1|B9D1|GRAMD1B|XRCC3|SGCD|ZFYVE21|ARSA|BRD1|PIM3|SUGP1|ACTR1B|RCCD1|ZSWIM6|CPLX1|KCNB1|ZNF536|SREBF2|MAN2A2|SEC11A|SPOCK3|NPTXR|EPN2-AS1|DGKZ|DGKI|CTNND1|GOLGA8A|PLCH2|AMBRA1|PRKD1|ZNF707|ANAPC7|GLT8D1|GRIN2A|SHANK3|FAHD2B|METAP1D|GMEB1|PEX10|EPN2|CPEB1-AS1|LHFPL3|CACNB2|UBE2D2|PITPNM2|PDE6B|CUL9|CALN1|KDM4A-AS1|PPIP5K1|ZNF823,L4 IT
REF_HALLMARK_OXPHOS,0.7208754343224569,0.9221542521290632,0.008584144209849674,-0.18587908764243036,-0.9011771449281558,167,RHOT2|SUCLA2|ETFA|ACADVL|TIMM17A|BAX|ACAA1|NDUFS6|MRPS15|IDH2|FH|MRPL11|IMMT|AFG3L2|ACADM|HADHB|ETFDH|PDHB|HTRA2|NDUFV1|NDUFB1|CPT1A|COX7A2L|PMPCA|UQCRH|ACO2|AIFM1|NQO2|TIMM8B|DLST,L4 IT
REF_REACTOME_TRANSLATION,0.9221542521290632,0.9221542521290632,0.006972674169572392,0.16294405976836013,0.8334069517075625,250,EIF3E|MRPS31|EIF3F|RPS29|MRPL42|RARS2|EIF3I|PABPC1|RPS2|RPL4|MRPL44|YARS2|EIF1AX|MRPS30|NARS2|MRPL35|GFM2|EIF5|MTIF2|SPCS3|RPL39|UBA52|EIF3M|RPL39L|RPSA|EIF2S2|EIF4B|EIF3C|RPS27L|EEF1A1|EIF3J|EIF4H|EEF1A2|MRPS14|RPL31|SRP68|GADD45GIP1|SRP9|GSPT1|PPA1|RPS3|RPL36|MRPS2|SRP72|SEC61G|MRPL40|MRPS10|MRPS18C|MRPL47|RPS11|MRPL39|PTCD3|CHCHD1|MRPL1|MRPL21|TRMT112|CARS2|EIF3G|SRP14|EIF4A2|RPS16|RPS20|RPL13A|GSPT2|RPL22|AIMP1|RPL37|RPL18A|MRPL10|AURKAIP1|RPL15,L4 IT
