pathway,pval,padj,log2err,ES,NES,size,cell_type
PGC-1a / mito biogenesis,0.9408315924253656,0.9408315924253656,0.008928160478158201,0.19801371966827075,0.6374295941777246,22,L5_6 NP
Activity-dependent (IEGs),0.3759107614933265,0.7453501722158439,0.016960628738177237,-0.48229094545390616,-1.081994147105668,7,L6 CT
Antioxidant / ROS / NRF2,0.46431141171391566,0.7453501722158439,0.01591194609726013,0.2730470314507642,0.9901713974298092,35,L6 CT
Glycolysis (HALLMARK),0.7453501722158439,0.7453501722158439,0.012015405417019455,0.19311666006253148,0.8784315890031406,110,L6 CT
Mito dynamics (fission/fusion),0.0508624502432552,0.3051747014595312,0.050177488150348115,-0.6015442039822307,-1.513590812898586,10,L6 CT
Mito quality control / mitophagy,0.6958682379667755,0.7453501722158439,0.011957185166819156,0.2601147422163776,0.8482581074349175,23,L6 CT
PGC-1a / mito biogenesis,0.5554283260573964,0.7453501722158439,0.014100445423401161,0.30155867724805807,0.9322619492149035,19,L6 CT
Activity-dependent (IEGs),0.02835002835002835,0.0567000567000567,0.0675353950308413,-0.5820364013493312,-1.5933053117891194,13,L6 IT
Antioxidant / ROS / NRF2,0.02471399237312995,0.0567000567000567,0.07820462769378608,0.4018618849009335,1.5066823117496653,40,L6 IT
Glycolysis (HALLMARK),0.3013127898750098,0.3615753478500118,0.02176478968504133,0.22630534390818025,1.0674981435334074,133,L6 IT
Mito dynamics (fission/fusion),0.14874620060790272,0.22311930091185408,0.02858105665308155,-0.5209161631638455,-1.3189169613283842,10,L6 IT
Mito quality control / mitophagy,0.01357498223169865,0.0567000567000567,0.10419413862660351,0.5076659150318497,1.6631889184230486,23,L6 IT
PGC-1a / mito biogenesis,0.8244291100519314,0.8244291100519314,0.010498981316162222,0.24228220317167076,0.7524993055105147,19,L6 IT
Activity-dependent (IEGs),0.03353909465020576,0.20123456790123456,0.06474067937742901,-0.6776621102121867,-1.5965482752747253,8,L6 IT Car3
Antioxidant / ROS / NRF2,0.6137533027395355,0.7365039632874426,0.012900824991810894,-0.25398025396473783,-0.9050322868806213,36,L6 IT Car3
Glycolysis (HALLMARK),0.94669778590803,0.94669778590803,0.008325309483230731,0.17247716064030608,0.7581560361151302,110,L6 IT Car3
Mito dynamics (fission/fusion),0.30534928492849284,0.7365039632874426,0.019983648355013744,-0.4494880340543635,-1.1350041494078928,10,L6 IT Car3
Mito quality control / mitophagy,0.5296560315592774,0.7365039632874426,0.01423403253954655,-0.29350487742092507,-0.9474870383768916,24,L6 IT Car3
PGC-1a / mito biogenesis,0.3877410468319559,0.7365039632874426,0.01733053839841094,-0.33967400863343966,-1.0460544008123445,20,L6 IT Car3
Activity-dependent (IEGs),0.22042060347455045,0.2645047241694605,0.022501147017626642,0.549090954733759,1.2388603314935498,7,L6b
Antioxidant / ROS / NRF2,0.060983094348044414,0.1680181314530345,0.042845831644345946,0.40098709041501485,1.4032505264675001,35,L6b
Glycolysis (HALLMARK),0.08400906572651726,0.1680181314530345,0.034333940100425724,0.2905803945131431,1.2675410538224878,111,L6b
Mito dynamics (fission/fusion),0.11232181506082543,0.16848272259123814,0.03624984376390297,-0.5301512394816593,-1.3920391439005078,10,L6b
Mito quality control / mitophagy,0.07104326867898543,0.1680181314530345,0.04015639957505751,0.4459035829106216,1.4157096782096472,23,L6b
PGC-1a / mito biogenesis,0.7146052863954789,0.7146052863954789,0.010103988040512662,0.280820415208367,0.8231495397770422,17,L6b
Activity-dependent (IEGs),0.7616678512200901,0.7616678512200901,0.009616484332986817,-0.3002929786204075,-0.7730528684243089,11,Lamp5
Antioxidant / ROS / NRF2,0.6625702634189353,0.7616678512200901,0.010185528949706884,-0.23847262365955452,-0.8817320008507396,45,Lamp5
Glycolysis (HALLMARK),0.24246181313231502,0.727385439396945,0.01887831086260367,-0.24222938205134592,-1.1095780065400502,153,Lamp5
Mito dynamics (fission/fusion),0.05774755232455883,0.346485313947353,0.04521902398764729,-0.5489614501172735,-1.4818070235049232,13,Lamp5
Mito quality control / mitophagy,0.550857077988421,0.7616678512200901,0.012045613861342432,-0.2912913313832087,-0.9403067862597596,25,Lamp5
PGC-1a / mito biogenesis,0.7004624079465662,0.7616678512200901,0.01001298290587223,-0.26597839810614293,-0.8413326841216332,23,Lamp5
Antioxidant / ROS / NRF2,0.5590123903409605,0.5590123903409605,0.01635194301968093,0.3452857070397518,0.9134745846020264,10,Micro-PVM
Glycolysis (HALLMARK),2.671043790961892e-4,0.001068417516384757,0.49849310876659025,0.5058911604454651,1.9869767799052562,39,Micro-PVM
Mito quality control / mitophagy,0.544527062078506,0.5590123903409605,0.016159497886694844,0.37191608087006095,0.9182423856062605,8,Micro-PVM
PGC-1a / mito biogenesis,0.4629524448804668,0.5590123903409605,0.012758343564610489,-0.3898524020743601,-1.004311445586786,13,Micro-PVM
Activity-dependent (IEGs),0.6976960129998259,0.837235215599791,0.010186235864348574,-0.37540800698857574,-0.8231160505762939,7,Oligo
Antioxidant / ROS / NRF2,0.9771022118288999,0.9771022118288999,0.011755351183484827,0.1640756997784196,0.6356415679250167,41,Oligo
Glycolysis (HALLMARK),0.6168145891288029,0.837235215599791,0.00892337734264895,-0.21777210351211276,-0.9285232786790905,130,Oligo
Mito dynamics (fission/fusion),0.018764964641683837,0.11258978785010301,0.07820462769378608,-0.6298672044192962,-1.6241831137134655,12,Oligo
Mito quality control / mitophagy,0.1780065810423522,0.3560131620847044,0.02347930818450667,-0.4029509996641286,-1.2442747206727804,24,Oligo
PGC-1a / mito biogenesis,0.10713515843931883,0.3214054753179565,0.03127062270174387,-0.45728930989061667,-1.3490784410601866,20,Oligo
Activity-dependent (IEGs),0.9059373402468415,0.9059373402468415,0.00992036467575838,0.27277884238842987,0.6321570142273198,7,OPC
Antioxidant / ROS / NRF2,0.040899462277985986,0.05810701490812435,0.0638819842820734,0.4037985318970513,1.4619627673764197,32,OPC
Glycolysis (HALLMARK),9.662094915381572e-5,5.797256949228943e-4,0.5384340963099162,0.3729184078868242,1.7791973841981936,125,OPC
Mito dynamics (fission/fusion),0.0046894727349245475,0.014068418204773642,0.16366619548150052,-0.7192060639802703,-1.786969651344647,10,OPC
Mito quality control / mitophagy,0.022290485192186515,0.04458097038437303,0.08543004334469398,0.5098474043868272,1.6062798866215033,19,OPC
PGC-1a / mito biogenesis,0.04842251242343696,0.05810701490812435,0.04915118094961664,-0.49675042181015094,-1.4894373170896944,19,OPC
Antioxidant / ROS / NRF2,0.8747394747811588,0.9078282828282829,0.009794633481764192,0.22117670582769808,0.7203167126354819,23,Pax6
Glycolysis (HALLMARK),0.9078282828282829,0.9078282828282829,0.00868146094782602,-0.18051257354081754,-0.7679512163570676,82,Pax6
Mito dynamics (fission/fusion),0.19036113106510807,0.4992417453643069,0.025392221473303337,-0.5348028395135057,-1.2681637329306383,8,Pax6
Mito quality control / mitophagy,0.7546130189646335,0.9078282828282829,0.010360809138663194,-0.25064672097129403,-0.8069196983401633,23,Pax6
PGC-1a / mito biogenesis,0.19969669814572275,0.4992417453643069,0.02547945991225791,0.4114087218123777,1.2317401947596964,17,Pax6
Activity-dependent (IEGs),0.13112844998253173,0.3445814977973568,0.029241387868230263,-0.48933303239794146,-1.3338916647619847,14,Pvalb
Antioxidant / ROS / NRF2,0.20914997292907417,0.3445814977973568,0.021667670453002517,-0.32856202457173184,-1.183488397947007,43,Pvalb
Glycolysis (HALLMARK),0.6542292113414343,0.718894382751074,0.009068160873370635,-0.20428910218389326,-0.9188757899775105,156,Pvalb
Mito dynamics (fission/fusion),0.2297209985315712,0.3445814977973568,0.021514496438831753,-0.45384629312219316,-1.2106122650663578,13,Pvalb
Mito quality control / mitophagy,0.1675602460635476,0.3445814977973568,0.025135113633891665,-0.3951535267076351,-1.2536211228977265,25,Pvalb
PGC-1a / mito biogenesis,0.718894382751074,0.718894382751074,0.012857469655017162,0.25115462024290547,0.8359794097309219,23,Pvalb
Activity-dependent (IEGs),0.35677825654623796,0.5435443210465354,0.017815328041113965,0.5461597032693972,1.113304631303569,5,Sncg
Antioxidant / ROS / NRF2,0.45295360087211284,0.5435443210465354,0.015611781295420084,-0.27526993206582756,-0.9982466204909499,35,Sncg
Glycolysis (HALLMARK),0.1547249647390691,0.4641748942172073,0.02965640729114754,-0.25359884825008266,-1.1686225475266874,119,Sncg
Mito dynamics (fission/fusion),0.018516015677794297,0.11109609406676578,0.08683742256225187,-0.6154167702851479,-1.6637166997190709,12,Sncg
Mito quality control / mitophagy,0.3946476964769648,0.5435443210465354,0.01696966193644607,-0.31501265381398835,-1.0409823322059302,24,Sncg
PGC-1a / mito biogenesis,0.7761536444677504,0.7761536444677504,0.010315331595789913,0.24732584167059474,0.7888723847501532,22,Sncg
Activity-dependent (IEGs),0.3236291273584906,0.45352318364366556,0.020116762558517732,0.3930246104508176,1.1094673498219054,13,Sst
Antioxidant / ROS / NRF2,0.30669596391812187,0.45352318364366556,0.017974263579033103,-0.29496016089213556,-1.0970952013794817,44,Sst
Glycolysis (HALLMARK),0.2490093517197654,0.45352318364366556,0.01929486975611268,-0.23833218047343363,-1.103452859518393,151,Sst
Mito dynamics (fission/fusion),0.3779359863697213,0.45352318364366556,0.016302125413588896,-0.3898934473433092,-1.0647382496959712,13,Sst
Mito quality control / mitophagy,0.08913830987588336,0.45352318364366556,0.03630067612708554,-0.42037203151304103,-1.372249012320505,25,Sst
PGC-1a / mito biogenesis,0.6392749244712991,0.6392749244712991,0.013287029429199397,0.2642062606386625,0.8806088873062463,23,Sst
Glycolysis (HALLMARK),0.9631228638244288,0.9631228638244288,0.011180626325258772,0.1821856665276459,0.6172194270806649,23,Sst Chodl
Mito dynamics (fission/fusion),0.5998456148684758,0.8997684223027136,0.011690497252577599,-0.4546688674980838,-0.9066058986938585,5,Sst Chodl
Mito quality control / mitophagy,0.2802773497688752,0.8408320493066256,0.022423644767841876,0.5195713575829541,1.161938324693233,6,Sst Chodl
Activity-dependent (IEGs),0.9072541851067923,0.9072541851067923,0.008818877518505824,0.23227212116519466,0.6588478836427922,15,Vip
Antioxidant / ROS / NRF2,0.7659295352323838,0.9072541851067923,0.010019199153141315,0.22070328261557062,0.8267012189026365,46,Vip
Glycolysis (HALLMARK),0.5688257911860396,0.9072541851067923,0.012127735426776908,0.20420133717098563,0.955576908464021,161,Vip
Mito dynamics (fission/fusion),0.27031887666874177,0.9072541851067923,0.021523991156322645,-0.42107215487643396,-1.160769550922095,13,Vip
Mito quality control / mitophagy,0.6170847888218483,0.9072541851067923,0.012035530012451837,0.27541978535799005,0.8935913974807513,25,Vip
PGC-1a / mito biogenesis,0.6041162227602905,0.9072541851067923,0.012254154431066406,0.28358280799060054,0.9000634174267407,23,Vip
Glycolysis (HALLMARK),0.4259862778730703,0.5372031662269129,0.018700369837640042,0.3369044221530918,1.015966492662225,15,VLMC
PGC-1a / mito biogenesis,0.5372031662269129,0.5372031662269129,0.012562192280803594,-0.45171964956445504,-0.9519992343617206,6,VLMC
