pathway,source,k_cells,mean_NES,sd_NES,p_fisher,n_pos_NES,n_neg_NES,n_sig_per_ct,padj_fisher,stouffer_Z,p_stouffer,padj_stouffer
GOCC_CLATHRIN_COATED_VESICLE,C5:GO:CC,23,-0.2784100437922427,1.0275253194413607,0.200955125327997,9,14,0,0.4109387132036291,-1.7927679885222922,0.0730100300837201,0.13320057327983048
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE,C5:GO:CC,23,-0.49209161880660646,1.075842658244525,0.0010782518971423206,8,15,0,0.006749152232909899,-4.007130165567597,6.14609945801202e-5,3.1187881435772624e-4
GOCC_CLATHRIN_COAT_OF_COATED_PIT,C5:GO:CC,23,-0.30025270373044155,0.9049681199475672,0.9615015247050709,8,15,0,0.9999994617856818,-1.0638477081045337,0.28739769500388235,0.40109033552782436
GOCC_CLATHRIN_VESICLE_COAT,C5:GO:CC,23,-0.6426803298508112,0.8480137050868717,0.35607457437259094,5,18,0,0.6056484555416278,-3.1218362932151487,0.001797268485831027,0.0059086265287522826
GOCC_CLEAVAGE_FURROW,C5:GO:CC,22,-0.731459234017072,0.6526423543458616,0.8741018645819082,3,19,0,0.9858980859270468,-2.7096610677049795,0.006735199434947411,0.018317919545830976
GOCC_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS,C5:GO:CC,23,-0.8140330203292062,0.7296290613492862,0.06128695610002311,3,20,0,0.17026136185372007,-3.984650134737689,6.75796196015524e-5,3.399904841219076e-4
GOCC_CMG_COMPLEX,C5:GO:CC,2,0.2729197357652842,1.384293370832658,0.4703927901377333,1,1,0,0.7189092932323132,0.7705788270340179,0.44095661508434275,0.5568097998345115
GOCC_COATED_VESICLE,C5:GO:CC,23,-0.5298091319930028,0.9906504843470432,0.0037844989339011754,6,17,0,0.01924248892024186,-2.908358796485113,0.003633312148734279,0.010759932533992515
GOCC_COATED_VESICLE_MEMBRANE,C5:GO:CC,23,-0.6037494538386685,1.0445432129357979,5.531715701452927e-6,7,16,1,7.005922522719073e-5,-5.115583435711018,3.127726491637534e-7,2.8101702607806877e-6
GOCC_COHESIN_COMPLEX,C5:GO:CC,5,1.2772311258959814,0.3298042245241208,0.026677167144644444,5,0,0,0.09070646288222037,3.13364587582561,0.0017264907769688057,0.005727719402133262
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX,C5:GO:CC,23,-0.8437595027659831,0.7906889027685409,2.055491244912021e-4,3,20,0,0.0016506610554566882,-4.564460782403166,5.00779800145174e-6,3.38148128533041e-5
GOCC_COLLAGEN_TRIMER,C5:GO:CC,18,-1.0756565132314388,0.60770729829027,0.0011350447038863739,1,17,0,0.007053162248641364,-5.073314064916204,3.909464620410126e-7,3.427850896219533e-6
GOCC_COMPACT_MYELIN,C5:GO:CC,5,0.6438948419965036,0.9994733973677377,0.36351247819037746,4,1,0,0.6114513945935294,1.2265424544767958,0.21999460927821296,0.3259650087601821
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS,C5:GO:CC,10,-0.9933581267657849,0.7876886244576504,0.029035278063021783,1,9,0,0.09640974720317277,-3.3029113589023247,9.568662937639284e-4,0.0034179550446562772
GOCC_CONDENSED_CHROMOSOME,C5:GO:CC,23,1.0338231191428435,0.6303474988183067,2.094016359642365e-8,21,2,0,4.5303124471922784e-7,7.3613957703282935,1.8199709262501356e-13,6.587259698470277e-12
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION,C5:GO:CC,23,0.99409039369107155,0.617270283770961,3.922069410667213e-5,21,2,1,3.905194796514408e-4,6.233567225990846,4.559315616430248e-10,7.651993446166058e-9
GOCC_CONDENSED_NUCLEAR_CHROMOSOME,C5:GO:CC,20,0.8220671802256618,0.6655993506555943,0.236701510535378,17,3,0,0.4599012328773678,3.907330614780012,9.33214199449127e-5,4.505029608845122e-4
GOCC_CONTRACTILE_MUSCLE_FIBER,C5:GO:CC,23,0.7533872796627665,0.9665103325548422,9.340378051604999e-9,18,5,1,2.1881124901873427e-7,5.930853296109731,3.013643882712892e-9,4.184581514959701e-8
GOCC_COP9_SIGNALOSOME,C5:GO:CC,21,-0.07104500822231438,0.9187594333117384,0.9845582460353505,8,13,0,0.9999994617856818,0.6847195014903562,0.4935209406005377,0.6052838194848863
GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE,C5:GO:CC,21,-0.5568334295798782,0.9655394820313372,0.07207597441618051,6,15,0,0.19300288100153243,-3.1239278963771984,0.0017845418123143544,0.005874373198553761
GOCC_COPII_VESICLE_COAT,C5:GO:CC,18,-0.3168283801932822,0.8849105653228794,0.9693973398401254,6,12,0,0.9999994617856818,-0.9628085094816137,0.33564362954624866,0.45208296275920656
