x,y
-0.09600000000045839,-4.095999999999776
-1.0960000000004584,-3.2959999999998217
-1.8959999999997308,-2.6959999999999127
-2.2960000000002765,-2.0959999999997763
-2.2960000000002765,-1.6959999999999127
-2.4960000000000946,-0.6959999999999127
-2.6959999999999127,-0.4959999999998672
-2.4960000000000946,0.3040000000000873
-2.4960000000000946,0.9040000000002237
-1.8959999999997308,2.104000000000269
-0.8959999999997308,3.504000000000133
-0.2960000000002765,3.9040000000002237
1.1040000000002692,3.9040000000002237
1.5039999999999054,3.7040000000001783
2.3040000000000873,3.104000000000269
2.3040000000000873,2.504000000000133
2.5039999999999054,1.9040000000002237
2.7039999999997235,1.7040000000001783
2.7039999999997235,-0.6959999999999127
2.5039999999999054,-1.0959999999997763
2.5039999999999054,-1.8959999999997308
2.3040000000000873,-2.495999999999867
1.5039999999999054,-3.6959999999999127
1.1040000000002692,-4.095999999999776
-0.09600000000045839,-4.095999999999776
