x,y
-1.0000000000004547,-9.208000000000538
-2.4000000000005457,-8.808000000000902
-5.000000000000455,-7.808000000000902
-5.800000000000182,-7.4080000000003565
-6.800000000000182,-6.608000000000175
-8.600000000000364,-2.2080000000005384
-8.800000000000182,-0.4080000000003565
-8.200000000000273,1.7919999999994616
-7.200000000000273,4.391999999999825
-6.000000000000455,6.191999999999098
-4.400000000000546,7.5919999999996435
-0.6000000000003638,9.191999999999098
0.3999999999996362,9.591999999999643
1.5999999999994543,9.591999999999643
2.5999999999994543,8.99199999999928
4.199999999999818,8.591999999999643
6.599999999999454,6.99199999999928
8.199999999999818,4.791999999999462
9.399999999999636,1.3919999999998254
9.399999999999636,-1.8080000000009022
8.799999999999727,-2.808000000000902
7.199999999999818,-6.208000000000538
5.799999999999727,-7.4080000000003565
1.5999999999994543,-9.208000000000538
-1.0000000000004547,-9.208000000000538
