source,term_name,p_value,term_size,intersection_size,intersection,query_set,correction
GO:CC,plasma membrane,0.0022602610970243273,3158,77,"HEG1,ELFN1,PTPRN2,PLD1,ARSA,ADGRB1,GRAMD1B,FTCD,EPHB6,MICAL1,XPC,PCSK6,ABCB8,IGSF9B,VAV2,ASPSCR1,GGT7,SEMA4G,TMC7,GRM4,DGAT1,SLC4A8,DNM1,NPDC1,AGRN,SLCO4A1,CNTN6,CDH4,DRD3,IRAK1,BEST4,COL26A1,PTPRE,RNH1,GRIP2,CORO1A,ADAM12,MME,ITGB5,RASGRP2,TFRC,PROM1,FKRP,ATAD3B,CAPN1,ATP2B2,PICK1,RASGRF2,SLC44A2,STX1A,ZYX,SLC4A3,CSNK1D,LPAR1,FAT1,PTPN5,SHC2,SLC27A4,PRKCQ,GPC1,PKD1,ABCC8,MCC,EXOC7,SDK1,VCL,CYTH3,ABCA3,IGF1,FLT3,HGSNAT,SVOP,CACNG8,RALGPS1,EVL,NETO2,FARP1",down,fdr
GO:CC,cell periphery,0.0022602610970243273,3352,81,"HEG1,ELFN1,PTPRN2,PLD1,ARSA,ADGRB1,GRAMD1B,FTCD,EPHB6,MICAL1,XPC,PCSK6,ABCB8,IGSF9B,VAV2,ASPSCR1,GGT7,SEMA4G,TMC7,GRM4,DGAT1,SLC4A8,DNM1,NPDC1,AGRN,SLCO4A1,CNTN6,CDH4,COL11A2,LRRN2,DRD3,IRAK1,BEST4,COL26A1,PTPRE,RNH1,GRIP2,ADAMTS9,CORO1A,ADAM12,MME,ITGB5,RASGRP2,TFRC,PROM1,FKRP,ATAD3B,CAPN1,ATP2B2,PICK1,RASGRF2,COL24A1,SLC44A2,STX1A,ZYX,SLC4A3,CSNK1D,LPAR1,FAT1,PTPN5,SHC2,SLC27A4,PRKCQ,GPC1,PKD1,ABCC8,MCC,EXOC7,SDK1,VCL,CYTH3,ABCA3,IGF1,FLT3,HGSNAT,SVOP,CACNG8,RALGPS1,EVL,NETO2,FARP1",down,fdr
GO:CC,membrane,0.004106688294531112,5959,122,"HEG1,ELFN1,PTPRN2,SLC25A25,PLD1,RNPS1,ARSA,ADGRB1,GRAMD1B,FTCD,EPHB6,MICAL1,XPC,PCSK6,PITPNM2,ABCB8,IGSF9B,TBC1D13,VAV2,NAT8L,CNTNAP1,TOMM40,ASPSCR1,UQCC2,GGT7,BAALC,SEMA4G,TMC7,TMEM121,GRM4,DGAT1,SLC4A8,OS9,DNM1,NPDC1,IQSEC1,AGRN,SLCO4A1,CNTN6,CDH4,IFFO1,LRRN2,DRD3,IRAK1,BEST4,COL26A1,TMEM132B,PTPRE,RNH1,GRIP2,NECAB3,C3orf18,CORO1A,DHDDS,ADAM12,SLC39A13,MME,ITGB5,POMT1,SEC23B,RASGRP2,TFRC,PROM1,APMAP,TIMM13,FKRP,ATAD3B,CAPN1,ULK3,ATP2B2,SLC25A44,PICK1,RNF112,RASGRF2,RNF144B,TMEM132D,RUBCNL,AFG3L2,SLC44A2,STX1A,ZYX,SLC4A3,CSNK1D,LPAR1,FAT1,RMDN3,ACADVL,TANGO6,QTRT1,PTPN5,SHC2,GSTK1,SLC27A4,PEX14,PRKCQ,GPC1,HK1,PKD1,AATK,MMS19,NDUFS2,ABCC8,MCC,EXOC7,LPCAT4,SREBF2,GALNT11,SDK1,VCL,GLCE,CYTH3,ABCA3,IGF1,FLT3,HGSNAT,SVOP,CCDC136,CACNG8,RALGPS1,EVL,NETO2,FARP1",down,fdr
GO:CC,cell junction,0.00546273511923532,1838,50,"HEG1,ELFN1,PTPRN2,PLD1,ADGRB1,MICAL1,TLE2,IGSF9B,CNTNAP1,BAALC,GRM4,SLC4A8,DNM1,IQSEC1,AGRN,CNTN6,CDH4,DRD3,GRIP2,CORO1A,MME,ITGB5,RASGRP2,TFRC,CAPN1,ATP2B2,PICK1,RNF112,RASGRF2,STX1A,ZYX,LPAR1,FAT1,RMDN3,PTPN5,NMU,GPC1,ABCC8,SDK1,VCL,CYTH3,GIT2,SST,HDAC4,SVOP,AHI1,CACNG8,EVL,NETO2,FARP1",down,fdr
GO:CC,synapse,0.018560997434165623,1337,38,"ELFN1,PTPRN2,PLD1,ADGRB1,MICAL1,IGSF9B,CNTNAP1,BAALC,GRM4,SLC4A8,DNM1,IQSEC1,AGRN,CNTN6,DRD3,GRIP2,CORO1A,MME,RASGRP2,TFRC,ATP2B2,PICK1,RNF112,RASGRF2,STX1A,LPAR1,RMDN3,NMU,GPC1,ABCC8,SDK1,GIT2,SST,HDAC4,SVOP,CACNG8,NETO2,FARP1",down,fdr
GO:CC,secretory vesicle,0.019952138366182405,657,23,"PTPRN2,PLD1,ARSA,DGAT1,SLC4A8,DNM1,IQSEC1,MME,POMT1,ATAD3B,CAPN1,PICK1,RNF112,SLC44A2,STX1A,ABCC8,VCL,ABCA3,IGF1,HGSNAT,SST,SVOP,CCDC136",down,fdr
GO:CC,exocytic vesicle,0.053618762964468804,189,10,"PTPRN2,SLC4A8,IQSEC1,MME,PICK1,RNF112,STX1A,ABCC8,IGF1,SVOP",down,fdr
GO:CC,presynapse,0.05733410614986399,504,18,"ELFN1,PTPRN2,MICAL1,GRM4,SLC4A8,DNM1,IQSEC1,CNTN6,MME,PICK1,RNF112,STX1A,LPAR1,RMDN3,NMU,ABCC8,GIT2,SVOP",down,fdr
GO:CC,cytoplasmic vesicle,0.07979723749754525,1705,42,"PTPRN2,PLD1,ARSA,MICAL1,GRM4,OCIAD2,DGAT1,SLC4A8,DNM1,IQSEC1,IRAK1,CORO1A,SLC39A13,MME,ITGB5,POMT1,SEC23B,TFRC,ATAD3B,CAPN1,PICK1,RNF112,RUBCNL,SLC44A2,STX1A,ZYX,LPAR1,GPC1,PKD1,ABCC8,VPS9D1,SREBF2,VCL,ABCA3,IGF1,FLT3,HGSNAT,SST,SVOP,CCDC136,CACNG8,TRAPPC9",down,fdr
GO:CC,intracellular vesicle,0.07979723749754525,1710,42,"PTPRN2,PLD1,ARSA,MICAL1,GRM4,OCIAD2,DGAT1,SLC4A8,DNM1,IQSEC1,IRAK1,CORO1A,SLC39A13,MME,ITGB5,POMT1,SEC23B,TFRC,ATAD3B,CAPN1,PICK1,RNF112,RUBCNL,SLC44A2,STX1A,ZYX,LPAR1,GPC1,PKD1,ABCC8,VPS9D1,SREBF2,VCL,ABCA3,IGF1,FLT3,HGSNAT,SST,SVOP,CCDC136,CACNG8,TRAPPC9",down,fdr
GO:CC,synaptic vesicle,0.07979723749754525,178,9,"PTPRN2,SLC4A8,IQSEC1,MME,PICK1,RNF112,STX1A,ABCC8,SVOP",down,fdr
GO:CC,cellular_component,0.07979723749754525,11423,190,"RBFOX3,FGF9,HEG1,SCRN2,ELFN1,IDH3A,PTPRN2,SLC25A25,PLD1,RNPS1,TRIM67,ARSA,ADGRB1,ABLIM2,GRAMD1B,LENG8,FNBP4,RPS6KL1,PFKFB3,STK36,FTCD,SPATA2L,EPHB6,SDR39U1,MICAL1,XPC,PCSK6,PITPNM2,TLE2,ABCB8,DOT1L,IGSF9B,TBC1D13,VAV2,NAT8L,CNTNAP1,BICDL1,TOMM40,MPPED1,ASPSCR1,UQCC2,GGT7,BAALC,SEMA4G,TMC7,TMEM121,GRM4,OCIAD2,DGAT1,SLC4A8,OS9,PPP6R2,DNMT1,DNM1,NPDC1,ACSF3,KCP,ZNF18,PDIA2,IQSEC1,AGRN,BOLA3,SLCO4A1,BOP1,CNTN6,CDH4,COL11A2,IFFO1,LRRN2,DRD3,IRAK1,BEST4,COL26A1,DTD1,TMEM132B,PTPRE,RNH1,GRIP2,ACTR3B,NECAB3,ADAMTS9,C3orf18,CORO1A,DHDDS,ADAM12,SLC39A13,MME,ITGB5,CCNL2,POMT1,GFM1,HSPBP1,EML1,SEC23B,RASGRP2,SSU72,TFRC,TCEA2,PROM1,CCDC57,TUBGCP5,APMAP,TIMM13,FKRP,ATAD3B,CAPN1,ULK3,ATP2B2,SLC25A44,PICK1,D2HGDH,RNF112,TALDO1,RASGRF2,RNF144B,COL24A1,TMEM132D,RUBCNL,AFG3L2,SLC44A2,RBP4,STX1A,MCRIP1,MVD,ZYX,SLC4A3,CSNK1D,LPAR1,FAT1,RMDN3,PRDM5,ACADVL,TANGO6,OSGEP,QTRT1,PTPN5,SHC2,GSTK1,SLC27A4,PEX14,ZSWIM8,PRKCQ,NMU,CAMK1D,GPC1,HK1,CREB5,PKD1,AATK,MMS19,NDUFS2,ABCC8,MCC,BRSK2,MAP7D1,PNMA3,VPS9D1,EXOC7,SECISBP2,LPCAT4,SREBF2,GALNT11,NR2C1,SDK1,VCL,GLCE,CYTH3,ABCA3,IGF1,CIRBP,GIT2,FLT3,HGSNAT,SST,MROH1,HDAC4,SVOP,CCDC136,AHI1,R3HDM2,CACNG8,ANKS1A,SUGP2,TRAPPC9,RALGPS1,NAV2,EVL,NETO2,FARP1,PGLS",down,fdr
GO:CC,hippocampal mossy fiber,0.08641626882918761,5,2,"MICAL1,SLC4A8",down,fdr
GO:CC,cell surface,0.09659053886932369,429,15,"HEG1,ARSA,EPHB6,PCSK6,IRAK1,ADAMTS9,MME,ITGB5,TFRC,PROM1,APMAP,SLC4A3,LPAR1,GPC1,PKD1",down,fdr
GO:CC,vesicle membrane,0.09659053886932369,895,25,"PTPRN2,PLD1,MICAL1,ASPSCR1,DGAT1,SLC4A8,IRAK1,CORO1A,SLC39A13,MME,SEC23B,TFRC,ATAD3B,PICK1,SLC44A2,STX1A,PKD1,ABCC8,SREBF2,ABCA3,FLT3,HGSNAT,SVOP,CCDC136,CACNG8",down,fdr
GO:CC,secretory granule membrane,0.09659053886932369,191,9,"PTPRN2,PLD1,DGAT1,MME,ATAD3B,SLC44A2,ABCA3,HGSNAT,CCDC136",down,fdr
