gene,metric,label,scz_over_ctrl,p
SST,m_raw,Raw dots / cell,0.6995145890914811,0.0016096352275311678
SST,m_area,Dots / cell area (grains/100 um2),0.7167853633850503,0.001804818419911139
SST,m_libnorm,Lib-size-normalised,0.7570778046008972,0.01119358918041557
SST,m_lib,Library size,0.9009916483370348,0.011074890975166524
PVALB,m_raw,Raw dots / cell,0.8629128792089881,0.06532648379464427
PVALB,m_area,Dots / cell area (grains/100 um2),0.8749515660058437,0.08648330189595432
PVALB,m_libnorm,Lib-size-normalised,0.8675351553388563,0.06017386509106793
PVALB,m_lib,Library size,0.9832830767949097,0.6903979966235829
