gene,celltype,logFC,p,fdr
SST,Sst,-0.3179680656808681,0.05214671325698206,0.30400269858563467
FGFR3,Astrocyte,-0.14671711108778038,0.07461030842049615,0.5138649953340643
PVALB,Pvalb,-0.21944803326463175,0.04380363019480014,0.3922441195169411
