X,cell_type,genes,estimate,se,pval,ci.lb,ci.ub,k,tau2,I2,padj,direction
344,Astro,D2HGDH,-0.300892274681936,0.0470539523749215,1.60944205241607e-10,-0.393116326667045,-0.208668222696827,6,7.93262921113403e-07,0.0052135580526982,1.84522531309503e-06,down
4327,Astro,PYGM,-0.487488467044477,0.0853950170255278,1.13889868967478e-08,-0.654859624873696,-0.320117309215257,6,0.0,0.0,6.52873673856067e-05,down
1738,Astro,CASKIN1,-0.329032940569861,0.059611303633672,3.39694715908873e-08,-0.44586894876334,-0.212196932376382,7,7.73411387004737e-07,0.0026577028234104,9.73649979473807e-05,down
4459,Astro,LRRC4B,-0.273949648699069,0.0499971578593451,4.27001119874542e-08,-0.371942277432749,-0.175957019965389,6,0.0,0.0,9.79113567872326e-05,down
3867,Astro,SUGP2,-0.196414356703953,0.0362887219200608,6.21350767248879e-08,-0.267538944712261,-0.125289768695645,7,0.0004157699064847,4.08012974529063,0.0001017683792358,down
4675,Astro,MSI1,-0.282999646791635,0.0521377830771959,5.70150040120177e-08,-0.385187823856701,-0.180811469726569,6,0.0,0.0,0.0001017683792358,down
2094,Astro,NSMF,-0.254814613576979,0.0478695814775169,1.02013106539967e-07,-0.348637269227918,-0.16099195792604,7,0.0,0.0,0.0001063254787709,down
4350,Astro,SPACA6,-0.285799481492376,0.0532533159195749,8.0149299075972e-08,-0.390174062752076,-0.181424900232676,6,0.0,0.0,0.0001063254787709,down
467,Astro,FGFR3,-0.291137878858053,0.0556820665527663,1.70821242714928e-07,-0.400272723886237,-0.182003033829868,7,0.0,0.0,0.0001506511959789,down
4427,Astro,EMID1,-0.316884838789366,0.06154910547933,2.62594404374118e-07,-0.437518868809509,-0.196250808769222,6,0.0,0.0,0.0002150460604392,down
4403,Astro,GAREM2,-0.37622255081662,0.0739693450122303,3.6531746030208e-07,-0.521199803000609,-0.231245298632631,6,0.0,0.0,0.0002792243121575,down
4368,Astro,MDGA1,-0.409099683150152,0.0807850001989702,4.10431179430913e-07,-0.567435374031195,-0.25076399226911,6,0.0068207127448877,17.2890279626738,0.0002940995920109,down
4604,Astro,TNK2,-0.229044337051323,0.0453439212165358,4.38884807022258e-07,-0.317916789553554,-0.140171884549091,6,0.0,0.0,0.0002959890772064,down
2462,Astro,SRRM2,-0.224034876276701,0.0446279976907559,5.16574501949178e-07,-0.311504144452719,-0.136565608100683,7,0.0,0.0,0.0002961263332423,down
4421,Astro,ZSCAN1,-0.345996793380819,0.0688372493420975,5.0002864296675e-07,-0.480915322886134,-0.211078263875504,6,0.0,0.0,0.0002961263332423,down
7999,Astro,SCD,-0.365985102747517,0.0728208671897674,5.01266827553813e-07,-0.508711379762436,-0.223258825732599,6,0.001681040443216,4.8082543134137,0.0002961263332423,down
