x,y
0.04800000000022919,-8.327999999999975
-1.3519999999998618,-7.927999999999884
-3.951999999999771,-6.927999999999884
-6.751999999999953,-5.3279999999999745
-7.951999999999771,-3.3279999999999745
-8.55199999999968,-1.7280000000000655
-9.151999999999589,-0.7280000000000655
-9.351999999999862,0.6720000000000255
-7.351999999999862,5.2719999999999345
-5.951999999999771,6.871999999999844
-2.55199999999968,8.471999999999753
-1.3519999999998618,9.072000000000116
-0.1519999999995889,9.471999999999753
1.0480000000002292,9.672000000000025
2.6480000000001382,9.471999999999753
7.44800000000032,6.6720000000000255
8.848000000000411,3.8719999999998436
9.44800000000032,2.6720000000000255
9.248000000000047,-0.5280000000002474
9.04800000000023,-1.1280000000001564
7.048000000000229,-5.3279999999999745
6.248000000000047,-6.128000000000156
2.048000000000229,-8.128000000000156
1.2480000000000473,-8.327999999999975
0.04800000000022919,-8.327999999999975
