"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"Chandelier-1","SGCZ",0.183565727687053,0.37664114244806,0.625992134806608,-0.554637346607165,0.921768801981272,7,0.863980146767806,93.9599389254015,0.919027308242445
"Chandelier-1","ADARB2",0.418646096044885,0.474714995813738,0.377836650334368,-0.511778198671124,1.34907039076089,7,1.2807661821627,93.8417291051256,0.816373607242741
"Chandelier-1","DSCAM",0.162572965549526,0.382179369898234,0.670556812717081,-0.586484835085223,0.911630766184275,7,0.759837061027837,92.1657295312228,0.941215580946534
"Chandelier-1","SLC39A11",0.349738460905799,0.408055322232162,0.391397416023047,-0.450035274369125,1.14951219618072,6,0.842334018099519,93.9857915422564,0.824032696338506
"Chandelier-1","COBL",0.271216091121895,0.28386362937919,0.339352696280957,-0.285146398982144,0.827578581225934,7,0.429144683978163,89.4828361474193,0.803692779816876
"Chandelier-1","EGFR",0.863167710230646,0.659762524075506,0.190771369600279,-0.429943075306587,2.15627849576788,5,1.76980311942442,92.1428563515527,0.674779608597112
"Chandelier-1","CADPS2",0.300622137260129,0.478923353744138,0.530197820156202,-0.638050387433518,1.23929466195378,6,1.1300511538117,94.291628788578,0.893638477023554
"Chandelier-1","ANKRD6",0.506648346202791,0.30446814574915,0.0961036662464512,-0.0900982539052356,1.10339494631082,7,0.4999950535007,91.533509086456,0.523453241196608
"Chandelier-1","KIRREL3",0.47498560509777,0.472943963758202,0.315225900937957,-0.451967530573923,1.40193874076946,6,1.06186759130558,93.7610224935978,0.781521108578627
"Chandelier-1","GABRB1",0.383785958343707,0.239246837956639,0.108682703168302,-0.0851292274663948,0.852701144153809,7,0.276716829047647,82.7200298287316,0.547032502835669
"Chandelier-1","PCBP1",-0.381808954345908,0.423808684855183,0.36764185488549,-1.21245871299735,0.448840804305536,5,0.815181233654442,94.7450010077044,0.814869467607942
"Chandelier-1","TGFBR3",0.780450361559055,0.448595966870106,0.0819007607432944,-0.0987815771162756,1.65968230023439,6,1.01500998625416,90.6287118596162,0.48578047788512
"Chandelier-1","PVALB",-0.129470888878864,0.29776636793561,0.663702553393272,-0.713082245839961,0.454140468082234,7,0.492162693765665,90.9613954332557,0.938189048852408
"Chandelier-1","LDB2",0.181695634977641,0.397545685035604,0.647639845048591,-0.597479589901447,0.960870859856729,7,0.849969327808038,92.9507417196185,0.931930447400975
"Chandelier-1","SUFU",0.125775453566129,0.25297332425699,0.619056057981909,-0.370043151026944,0.621594058159202,7,0.373103164250098,93.2520139558114,0.916755574751309
"Chandelier-1","ARPP21",0.270002204708172,0.438540202491304,0.538103071160939,-0.589520797947686,1.12952520736403,5,0.878278797436201,94.6539607822338,0.893866815696205
"Chandelier-1","ASIC2",0.078410039959199,0.447896368333067,0.861030204605497,-0.799450710779898,0.956270790698296,7,1.1284915614591,95.046946131049,0.980196541936094
"Chandelier-1","MRFAP1",-0.0949188048869937,0.254726410962501,0.709423542483911,-0.594173396284644,0.404335786510657,7,0.322732489263472,83.840821851754,0.948971702155608
"Chandelier-1","WWTR1",0.632850527423478,0.297589896908812,0.0334544914584012,0.0495850473192184,1.21611600752774,6,0.39128492161845,85.7846851455472,0.342031942079294
"Chandelier-1","PPT1",-0.328185857328242,0.212237026507141,0.122027874504955,-0.744162785468111,0.0877910708116281,7,0.235381351686806,91.2963187466397,0.560831907882687
"Chandelier-1","BRINP2",0.0291470359320991,0.219806533595383,0.894507251206314,-0.401665853481446,0.459959925345644,7,0.261182241763671,90.1400569505864,0.986303478288935
"Chandelier-1","ZMAT4",0.232113227666947,0.516643052931873,0.653235495676317,-0.780488548942345,1.24471500427624,6,1.23679128614366,92.6794681698224,0.93521109347518
"Chandelier-1","GRIN1",0.0738072272389563,0.167374779217778,0.659234841757197,-0.254241311948232,0.401855766426145,7,0.155416138175005,93.5255332687582,0.937508142982998
"Chandelier-1","SPARCL1",0.0403049437570805,0.163411089979576,0.805181007389898,-0.279974907277322,0.360584794791483,7,0.15293768281857,91.1776209598904,0.969994586268887
"Chandelier-1","PID1",0.0802838437076007,0.235601868257849,0.733283782651454,-0.381487332768133,0.542055020183334,7,0.305556679728924,89.1308033942808,0.955638624435571
"Chandelier-1","NRG1",0.278761836634007,0.449977166605354,0.535585584805646,-0.603177203777867,1.16070087704588,6,0.935910292880798,94.436203693399,0.893866815696205
"Chandelier-1","CPSF2",-0.22109670627393,0.247642234378613,0.371960567497666,-0.706466566707038,0.264273154159178,7,0.321342135228075,91.095288054862,0.815562901069524
"Chandelier-1","ADAMTS19",0.491124401624166,0.456566126718032,0.282065152243924,-0.403728763304127,1.38597756655246,5,0.914581672381552,91.6113481626757,0.752392086684
"Chandelier-1","KCNK12",0.250403260859576,0.254263239933812,0.324713003152611,-0.247943532003163,0.748750053722315,7,0.339962218716704,90.8589629727755,0.790058750628361
"Chandelier-1","GRM8",0.136509524112876,0.390523291628437,0.72667238981805,-0.628902062602894,0.901921110828646,6,0.73064764640107,89.586161528818,0.952706972295966
"Chandelier-1","KAZN",0.0121194362362601,0.125642534174982,0.923155510452108,-0.234135405673048,0.258374278145569,7,0.0908521387767313,92.8475259042747,0.988442631557991
"Chandelier-1","GALNTL6",-0.258211855365485,0.147493761123396,0.0800039938403929,-0.547294315111694,0.0308706043807245,7,0.0974880441770168,73.0210473073404,0.481617073062826
"Chandelier-1","CACNA2D3",0.193355916716858,0.253886884122151,0.446308966889165,-0.304253232309653,0.690965065743369,7,0.293981846460183,83.2373302397363,0.854749548428531
"Chandelier-1","TVP23A",-0.00847449034370013,0.0440215837461962,0.847344599146229,-0.0947552090286585,0.0778062283412582,7,0,0,0.977247382973417
"Chandelier-1","RPS24",-0.142868210104361,0.188054193747557,0.447422994853034,-0.51144765699129,0.225711236782568,7,0.17561240415306,84.2542205337331,0.855747341282771
"Chandelier-1","FAM135B",0.0319397672560245,0.162854053881233,0.844512252463225,-0.287248313087537,0.351127847599586,7,0.155466487203564,92.3585065713646,0.976796946728627
"Chandelier-1","MAGI3",0.149120535335839,0.289629205730746,0.606645926005405,-0.418542276767365,0.716783347439043,7,0.423940574585932,88.1853875475417,0.913699624501991
"Chandelier-1","RAB5A",-0.155397646017065,0.156268454436974,0.320014793059801,-0.461678188633273,0.150882896599142,7,0.115050652871586,85.1471911778203,0.786540423795864
"Chandelier-1","CDH12",-0.131472590405,0.162371597058946,0.418111526611921,-0.449715072752785,0.186769891942784,7,0.153997469601041,90.3739932844226,0.83882432775689
"Chandelier-1","SYN3",0.105467101013541,0.157592644821134,0.503343205846352,-0.203408807064295,0.414343009091377,7,0.142616977169639,91.3334378104723,0.885495939872269
"Chandelier-1","DIAPH2",0.213094553607348,0.220623373517818,0.334106840712836,-0.219319312635304,0.64550841985,7,0.221571927885763,85.0150087388839,0.798258724884164
"Chandelier-1","SNU13",-0.0745398843852119,0.20927872490554,0.721709389414805,-0.484718647930535,0.335638879160111,7,0.213099781563704,83.3955192821905,0.951670508275875
"Chandelier-1","TRPM3",0.370676879411585,0.405750853753088,0.360949220532051,-0.424580180640846,1.16593393946402,5,0.702236865801625,93.5438679445048,0.812168124290737
"Chandelier-1","INO80D",0.131419693329256,0.0433673622647337,0.00244244245401976,0.046421225185877,0.216418161472636,7,1.77516795351419e-06,0.0112429337937891,0.111453718397109
"Chandelier-1","SORCS3",0.491591868131769,0.520080622478363,0.344545332155352,-0.527747420982995,1.51093115724653,6,1.34975225479765,94.8504314390571,0.80549440704868
"Chandelier-1","PTHLH",-0.314642577862769,0.168867707823538,0.0624272500454691,-0.645617203348737,0.0163320476231988,7,0.132258316481173,77.9390455965272,0.437941419100702
"Chandelier-1","PRELID2",0.0673727283063282,0.252994529352973,0.790007305164883,-0.42848743751116,0.563232894123816,6,0.3083239827734,87.2469111215406,0.966774686406326
"Chandelier-1","NFIX",0.280196340714447,0.426232954654952,0.510937632341257,-0.555204899433353,1.11559758086225,5,0.805590449932346,93.3649607531423,0.887239392437502
"Chandelier-1","DYNLRB1",-0.0981358625987971,0.26593528700227,0.712111631829485,-0.619359447341568,0.423087722143974,6,0.331871014106875,84.0458571793699,0.950287737404361
"Chandelier-1","RAB39A",0.425250384536199,0.299857243013527,0.156139348958781,-0.162459012273789,1.01295978134619,6,0.386934076639891,80.0736763755394,0.622883324464846
"Chandelier-1","KIAA1671",0.0325369952074193,0.218559565184958,0.881656095719332,-0.395831881031833,0.460905871446671,7,0.256309853030023,91.7443479716254,0.985274548950886
"Chandelier-1","MLXIP",0.118708318879146,0.168717188710673,0.481685954655417,-0.211971294566621,0.449387932324913,7,0.122313975989174,78.9941368116804,0.875286675283101
"Chandelier-1","THSD7A",-0.0823853226689679,0.0767985562376792,0.283385219894753,-0.232907726959493,0.0681370816215572,7,0.021769392833879,67.9390314116316,0.752943866317452
"Chandelier-1","FBXL7",0.125901189693204,0.472614710673261,0.789936654984485,-0.800406621790206,1.05220900117661,6,1.00728131888897,93.0679149372735,0.966774686406326
"Chandelier-1","DSCAML1",0.0331409496583711,0.0943236391358741,0.725323092000877,-0.151729985938695,0.218011885255437,7,0.0385726615107692,76.4552784910272,0.951967159916968
"Chandelier-1","PSMA7",-0.121532786268294,0.200109870846467,0.543631739305082,-0.513740926078331,0.270675353541743,7,0.185883944461429,81.252705185225,0.896614350324213
"Chandelier-1","PDE7B",0.125437429182621,0.281144733064607,0.655476805812219,-0.425596122067136,0.676470980432378,6,0.333441073033478,83.9254847010993,0.935538893394425
"Chandelier-1","NCOR2",-0.00257824302269999,0.0549722871360122,0.962592308203902,-0.110321945957078,0.105165459911678,7,4.10282664503239e-06,0.0162294986559002,0.993518716976841
"Chandelier-1","PEX5L",0.271550648450376,0.0959569925418671,0.00465595897837928,0.083478399003538,0.459622897897214,7,0.0349032452308896,66.9267281957152,0.148652630880664
"Chandelier-1","FAM50A",0.158072996147929,0.320403634592502,0.621761197156387,-0.469906588169108,0.786052580464965,5,0.45107381518298,94.3989647489663,0.918027750502273
"Chandelier-1","DLX5",-0.0313375612087644,0.308102172786152,0.918985604090447,-0.635206723428159,0.57253160101063,6,0.451478088776524,88.4624230976546,0.988435576896656
"Chandelier-1","ZDHHC6",-0.0620095461523731,0.0733622574456389,0.397970525079822,-0.205796928570381,0.0817778362656345,7,0.00382997101128466,9.63179272101609,0.827156458580225
"Chandelier-1","DPY19L1",-0.0803948498235375,0.0454596678797966,0.0769794568989593,-0.169494161617091,0.00870446197001604,7,1.22508337314941e-06,0.00740417690726807,0.472896750043307
"Chandelier-1","ERBB4",-0.0371660495297343,0.108388669444514,0.731676643250827,-0.249603937973198,0.17527183891373,7,0.0634924613849668,85.94280053548,0.955158208863786
"Chandelier-1","ADGRB3",-0.0480434552285208,0.103629452356557,0.642928538129422,-0.251153449584981,0.15506653912794,7,0.0593398947882379,88.6225103043485,0.929103490290872
"Chandelier-1","ALG14",0.155238617103179,0.157874348908909,0.325457410953885,-0.154189420840993,0.464666655047351,7,0.11383064690208,79.6811212044547,0.79006170531695
"Chandelier-1","TFRC",-0.172350245159336,0.0477343752155953,0.000305476903896615,-0.265907901406424,-0.078792588912248,7,2.10891824883228e-06,0.0105708738611368,0.0393677138463514
"Chandelier-1","TMEM47",0.0171756656176392,0.184193316258253,0.925706510665006,-0.343836600441532,0.378187931676811,7,0.158710288462107,81.2730808579153,0.988442631557991
"Chandelier-1","SLC35E4",0.215006227585561,0.228546941264771,0.346831436021244,-0.232937546070181,0.662950001241303,7,0.240084315137599,81.2095887113671,0.807147193780673
"Chandelier-1","CASTOR2",0.340821277537345,0.373431472800107,0.361413907312193,-0.391090959844612,1.0727335149193,5,0.561415678596407,96.7207249423052,0.812168124290737
"Chandelier-1","COX7B",-0.0783773346450232,0.200236682872002,0.695484256416045,-0.470834021457916,0.314079352167869,6,0.168042014082389,79.7562364320187,0.946555247125608
"Chandelier-1","PRPS1",-0.189878110202867,0.241378630684705,0.431492578038729,-0.662971532982484,0.28321531257675,6,0.231613303951658,77.5426517544365,0.84375852273986
"Chandelier-1","RBFOX3",0.160296548158012,0.270415396122237,0.553329112850675,-0.369707889106705,0.690300985422729,7,0.344178749897478,83.5008022019879,0.898652612866162
"Chandelier-1","MAP3K5",0.0709352498843952,0.196416823834251,0.717989928259048,-0.314034650788486,0.455905150557277,7,0.154705055563873,72.3956974162549,0.951223577920847
"Chandelier-1","ZNF618",0.103974966143064,0.201487084590908,0.60582795928978,-0.290932463005091,0.49888239529122,7,0.214412373996181,88.1945482641937,0.913384594864224
"Chandelier-1","NAT8L",-0.0868907579775122,0.059358593181493,0.143241008677486,-0.203231462786203,0.0294499468311789,6,8.15849825594025e-07,0.00350391370672187,0.602621492347298
"Chandelier-1","ATP6V1G1",0.0805300174140396,0.228360684616889,0.724355372624321,-0.367048699919973,0.528108734748052,7,0.263049351731805,84.7821350159669,0.951835625477816
"Chandelier-1","NSG1",-0.0864776144417241,0.168350143606262,0.607477761377548,-0.416437832702143,0.243482603818695,7,0.121768839240069,79.1452950847997,0.914098594426256
"Chandelier-1","SUV39H2",0.19804854130877,0.0830099792383808,0.0170401559313005,0.0353519716441262,0.360745110973414,6,1.88281761581701e-06,0.00377024238943679,0.25105218419631
"Chandelier-1","CNTN5",-0.090208791041816,0.119712842885152,0.451123600290219,-0.324841651583616,0.144424069499984,7,0.0737153342842548,86.3342377084363,0.857473827714557
"Chandelier-1","CDH13",0.00603825845145624,0.0938754648122429,0.948713829440709,-0.177954271612497,0.190030788515409,6,3.97571820263957e-07,0.00060651717625481,0.993130821325888
"Chandelier-1","NFIA",0.201993938616301,0.26349798241499,0.44332753426657,-0.314452616916048,0.71844049414865,6,0.284233496951046,84.0327243636549,0.853026328197869
"Chandelier-1","DLX6-AS1",-0.202176833232201,0.248336779576328,0.415574146758212,-0.688907977238466,0.284554310774064,5,0.241590883448141,84.6890413292381,0.836335405812137
"Chandelier-1","GLIS1",0.450692986645192,0.432698613166201,0.297603481122651,-0.39738071132099,1.29876668461137,5,0.683332895105954,82.3941952881866,0.766621002501829
