"cell_type","genes","estimate","se","pval","ci.lb","ci.ub","k","tau2","I2","padj"
"Pvalb-3","MT-ND3",-0.451517484597796,0.837215116917656,0.589673794018708,-2.09242896106889,1.1893939918733,5,3.31771435137965,96.5788161647386,0.999826568579755
"Pvalb-3","MT-ATP6",-0.418536182919838,0.645408819457988,0.516673068040669,-1.68351422436201,0.846441858522333,5,1.94351012354187,94.9258182754989,0.999826568579755
"Pvalb-3","MT-CO2",-0.471956721538048,0.647912897041164,0.466352737397637,-1.74184266485774,0.797929221781641,5,1.96745622720827,95.4751392161194,0.999826568579755
"Pvalb-3","MT-ND4",-0.327887046256442,0.621554887114181,0.597827603254818,-1.5461122394151,0.890338146902212,5,1.80543628807295,95.3896828426636,0.999826568579755
"Pvalb-3","MT-CO3",-0.459710786303572,0.576319993854105,0.425064417854847,-1.58927721782796,0.66985564522082,5,1.53955394265771,95.006652187132,0.999826568579755
"Pvalb-3","MT-ND1",-0.404990260977599,0.593396810727362,0.494926104901337,-1.56802663854416,0.758046116588961,5,1.63337676611154,95.2335064479267,0.999826568579755
"Pvalb-3","MT-ND2",-0.429348156523313,0.581110890974916,0.460003965284216,-1.56830457385813,0.709608260811505,5,1.55941253032069,95.0346273682254,0.999826568579755
"Pvalb-3","MT-CO1",-0.381217868283786,0.494653812637717,0.440898945128017,-1.35072152586914,0.588285789301564,5,1.10421803446837,93.0560265892249,0.999826568579755
"Pvalb-3","MT-CYB",-0.287212051380112,0.546953638473859,0.599505166340918,-1.35922148400202,0.784797381241793,5,1.36362935095579,93.3525844351461,0.999826568579755
"Pvalb-3","MT-ND5",-0.372457674140375,0.471365881866773,0.429430357779759,-1.29631782614021,0.551402477859462,5,0.987805219793715,91.840510710364,0.999826568579755
"Pvalb-3","MT-ND4L",-0.236689440438244,0.660407886229996,0.720044836865789,-1.53106511255526,1.05768623167877,5,2.00001567466953,94.7218265790419,0.999826568579755
"Pvalb-3","KCNQ5",0.0069865709516872,0.227730529551956,0.975525447674544,-0.439357065150381,0.453330207053756,5,0.233209335873487,91.4810671374535,0.999826568579755
"Pvalb-3","ATAD1",-0.101297669011747,0.184989998030441,0.583977184859853,-0.463871402651546,0.261276064628053,5,0.139852335343711,85.7735420996143,0.999826568579755
"Pvalb-3","GDI1",-0.171880161260534,0.241302999306876,0.47627893462252,-0.644825349263504,0.301065026742437,5,0.23292478722193,84.5357864649773,0.999826568579755
"Pvalb-3","NUDT3",-0.136584929807945,0.237297357619188,0.564895351234075,-0.601679204368076,0.328509344752186,5,0.221989695273834,82.1186838542773,0.999826568579755
"Pvalb-3","NAP1L3",-0.32473790178592,0.306834899749805,0.289897115158787,-0.926123254495495,0.276647450923656,5,0.361191325369537,82.5371763081619,0.999826568579755
"Pvalb-3","CERS4",0.314187460732382,0.275566973788753,0.254224153382286,-0.225913883222266,0.854288804687029,5,0.294834329357801,82.7496312626136,0.999826568579755
"Pvalb-3","SNPH",-0.21038701751119,0.25616391229166,0.41147630505418,-0.712459059741721,0.291685024719341,5,0.247514585832473,81.5444502134107,0.999826568579755
"Pvalb-3","SV2A",-0.107779012213644,0.177256193646473,0.543160360205656,-0.455194767797388,0.2396367433701,5,0.117621769291509,81.3323437954614,0.999826568579755
"Pvalb-3","TSPYL4",-0.379209021166729,0.376696728830896,0.314093734067875,-1.11752104276934,0.359103000435878,5,0.579216380072518,87.7417894816464,0.999826568579755
"Pvalb-3","WDR82",-0.109768297070656,0.290171793221935,0.705217197066677,-0.678494561115052,0.45895796697374,5,0.349957652353616,87.9973083581791,0.999826568579755
"Pvalb-3","SLITRK4",-0.117932182725687,0.219633603540113,0.591302405862255,-0.548406135459058,0.312541770007683,5,0.187398385831958,83.3508750060741,0.999826568579755
"Pvalb-3","CEND1",-0.278768402693801,0.265839978655778,0.294347358882062,-0.799805186510023,0.242268381122421,5,0.285559134116561,84.9784297317545,0.999826568579755
"Pvalb-3","ELAVL3",-0.0767669056161396,0.136082223735222,0.572671459746229,-0.343483163073296,0.189949351841016,5,0.0653311005719713,75.7550837491026,0.999826568579755
"Pvalb-3","PPP2R1A",-0.191813053549223,0.279646475678994,0.492768196358048,-0.739910074283607,0.35628396718516,5,0.316457059541134,86.831478279138,0.999826568579755
"Pvalb-3","FEM1B",-0.229069842215397,0.304447001848787,0.451802809732469,-0.825775001040218,0.367635316609424,5,0.374074022054864,86.6471156126279,0.999826568579755
"Pvalb-3","FAIM2",-0.131523875817239,0.192007271101013,0.493347552172717,-0.507851211945042,0.244803460310563,5,0.145099016158946,83.4528697293104,0.999826568579755
"Pvalb-3","PNMA2",-0.2001969448079,0.239797359558974,0.403797193328506,-0.670191133131291,0.269797243515492,5,0.23906563254553,87.2490319625317,0.999826568579755
"Pvalb-3","SCAMP1",-0.0923838206362225,0.113059001004543,0.413854548988489,-0.313975390733204,0.129207749460759,5,0.038335592232768,64.9938838973714,0.999826568579755
"Pvalb-3","DIRAS1",-0.376086392520158,0.432950713508316,0.385033851804467,-1.22465419807738,0.47248141303706,5,0.808412699525062,90.7480027700598,0.999826568579755
"Pvalb-3","PURA",-0.0860049620854854,0.159349849208411,0.58938728195892,-0.398324927475859,0.226315003304888,5,0.0922926207143912,77.9005892464902,0.999826568579755
"Pvalb-3","SDCBP",-0.177130348399667,0.230145686368534,0.441510834738739,-0.628207604879245,0.273946908079911,5,0.191890537326713,77.4156926680871,0.999826568579755
"Pvalb-3","FAM199X",-0.16010359865237,0.241976618615574,0.508196167699837,-0.634369056239679,0.314161858934939,5,0.216560513992594,80.5384374459236,0.999826568579755
"Pvalb-3","MIPOL1",-0.0845270616604776,0.15066955772782,0.574791022891746,-0.379833968373583,0.210779845052628,5,0.0766125939348844,71.4146159931899,0.999826568579755
